CODE,CODE2,PH,Panum,EC18,EC24,SUBMER
Y1,YIELD,119.5,11,63.33,3.33,90.91
Y2,YIELD,126.58,13,90,0,83.33
Y3,YIELD,119.58,14,63.33,6.67,76.19
Y4,YIELD,116.17,12,50,0,52.17
Y5,YIELD,116.17,14,83.33,3.33,41.67
Y6,YIELD,117,15,80,3.33,61.9
Y7,YIELD,128.17,13,86.67,13.33,68.18
Y8,YIELD,130,14,73.33,3.33,39.13
Y9,YIELD,127.58,13,60,0,66.67
Y10,YIELD,130.08,13,73.33,13.33,86.96
Y11,YIELD,131.83,13,86.67,26.67,77.27
Y12,YIELD,128.75,12,83.33,6.67,52
Y13,YIELD,104.92,13,86.67,16.67,79.17
Y14,YIELD,106,15,86.67,10,76.19
Y15,YIELD,107.33,14,86.67,13.33,68
Y16,YIELD,111.08,14,73.33,0,44
Y17,YIELD,103.92,14,86.67,13.33,50
Y18,YIELD,109.08,14,83.33,10,25
Y19,YIELD,115.42,12,86.67,6.67,29.17
Y20,YIELD,115.08,14,93.33,6.67,4
Y21,YIELD,111.17,13,83.33,10,24
Y22,YIELD,118.08,13,80,10,34.78
Y23,YIELD,119,13,86.67,3.33,34.78
Y24,YIELD,114.42,12,86.67,3.33,0
Y25,YIELD,117.17,13,70,0,4.17
Y26,YIELD,124.83,12,70,0,0
D1,DROUGHT,132.58,11,80,6.67,0
D2,DROUGHT,135.67,11,66.67,6.67,0
D3,DROUGHT,130.75,12,83.33,6.67,4.17
D4,DROUGHT,107.5,13,90,6.67,4.35
D5,DROUGHT,104.75,13,76.67,0,13.64
D6,DROUGHT,107.67,12,76.67,6.67,4.76
D7,DROUGHT,119.08,14,73.33,3.33,0
D8,DROUGHT,123.5,10,66.67,3.33,5
D9,DROUGHT,116.17,13,86.67,0,23.81
D10,DROUGHT,117.58,13,73.33,6.67,9.52
D11,DROUGHT,104.58,14,76.67,10,8.7
D12,DROUGHT,95.08,15,80,16.67,8.33
D13,DROUGHT,103.67,13,90,3.33,0
D14,DROUGHT,106.92,13,60,3.33,0
D15,DROUGHT,105.17,12,86.67,16.67,47.62
D16,DROUGHT,103.04,15,90,3.33,31.82
D17,DROUGHT,112.92,13,83.33,16.67,31.82
D18,DROUGHT,102.92,11,83.33,10,31.82
D19,DROUGHT,114.33,12,56.67,0,30
D20,DROUGHT,113.83,12,36.67,3.33,22.73
D21,DROUGHT,105.5,11,43.33,3.33,13.64
S1,SAL,118.25,11,66.67,0,0
S2,SAL,123.33,11,63.33,0,0
S3,SAL,120,11,83.33,3.33,21.74
S4,SAL,118.17,14,80,13.33,31.82
S5,SAL,124.08,10,93.33,13.33,34.78
S6,SAL,132.25,11,73.33,6.67,41.67
S7,SAL,91.67,10,70,6.67,17.39
S8,SAL,105,10,43.33,6.67,27.27
S9,SAL,99.92,12,46.67,0,17.39
S10,SAL,98.92,12,73.33,6.67,23.81
S11,SAL,103.42,12,66.67,3.33,13.64
S12,SAL,111.25,14,73.33,33.33,0
S13,SAL,105.5,11,63.33,6.67,4.17
S14,SAL,101.92,11,70,3.33,13.04
S15,SAL,102.33,14,53.33,0,4.76
S16,SAL,103.42,13,53.33,0,10.53
S17,SAL,115,11,80,0,0
S18,SAL,111.5,10,86.67,3.33,14.29
S19,SAL,106.67,10,66.67,3.33,14.29
S20,SAL,109.42,11,73.33,20,0
S21,SAL,108.67,12,70,6.67,30.43
S22,SAL,107.42,10,80,3.33,18.18
S23,SAL,110.33,12,60,0,0
S24,SAL,113.42,11,73.33,0,25
S25,SAL,114.75,11,86.67,0,8.7
S26,SAL,110.83,11,66.67,0,21.74
S27,SAL,105.08,11,73.33,0,22.73
S28,SAL,118.42,10,90,0,4.35
