Grp,GY14,N,P,K
1,1678,1,0.1,0.4
1,4265,1.2,0.1,0.4
1,2431,1.1,0.1,0.4
1,2431,1,0.1,0.4
1,4461,1.2,0.1,0.4
1,3110,1.2,0.1,0.4
1,4469,1.2,0.1,0.4
1,4194,1.2,0.1,0.4
1,3379,1,0.3,0.3
1,7132,1.5,0.2,0.3
1,4359,1,0.3,0.3
1,3646,1,0.2,0.3
1,6917,1.5,0.3,0.3
1,6692,1.5,0.3,0.3
1,7028,1.6,0.3,0.3
1,7196,1.6,0.3,0.3
1,4220,0.9,0.3,0.3
1,7250,1.7,0.2,0.2
1,4915,1,0.3,0.3
1,4185,0.8,0.2,0.3
1,7463,1.6,0.3,0.3
1,7367,1.7,0.2,0.2
1,7860,1.6,0.3,0.3
1,7624,1.6,0.3,0.3
1,2830,0.9,0.3,0.3
1,3705,1.1,0.2,0.2
1,3280,1,0.3,0.3
1,2906,0.9,0.3,0.3
1,4041,1,0.2,0.3
1,3295,1.1,0.2,0.2
1,4147,1.2,0.3,0.3
1,4102,0.1,0.3,0.3
1,3509,0.9,0.2,0.4
1,5087,1.3,0.3,0.3
1,4353,1.1,0.3,0.4
1,3915,1,0.2,0.4
1,5122,1.5,0.3,0.3
1,4660,1.3,0.2,0.3
1,5150,1.3,0.3,0.3
1,5730,1.3,0.3,0.3
1,3744,1,0.2,0.3
1,5363,1.7,0.2,0.2
1,4628,1,0.2,0.3
1,4212,0.9,0.2,0.3
1,5063,1.7,0.3,0.3
1,5015,1.8,0.1,0.2
1,6244,1.6,0.2,0.3
1,5483,1.7,0.2,0.3
2,7250,1.7,0.2,0.1
2,7367,1.7,0.2,0.1
2,3705,1.1,0.2,0.1
2,3295,1.1,0.2,0.1
2,5363,1.7,0.2,0.1
2,5015,1.8,0.1,0.1
2,3379,1,0.3,0.3
2,7132,1.5,0.2,0.3
2,4359,1,0.3,0.3
2,3646,1,0.2,0.3
2,6917,1.5,0.3,0.3
2,6692,1.5,0.3,0.3
2,7028,1.6,0.3,0.3
2,7196,1.6,0.3,0.3
2,4220,0.9,0.3,0.3
2,4915,1,0.3,0.3
2,4185,0.8,0.2,0.3
2,7463,1.6,0.3,0.3
2,7860,1.6,0.3,0.3
2,7624,1.6,0.3,0.3
2,2830,0.9,0.3,0.3
2,3280,1,0.3,0.3
2,2906,0.9,0.3,0.3
2,4041,1,0.2,0.3
2,4147,1.2,0.3,0.3
2,4102,0.1,0.3,0.3
2,5087,1.3,0.3,0.3
2,5122,1.5,0.3,0.3
2,4660,1.3,0.2,0.3
2,5150,1.3,0.3,0.3
2,5730,1.3,0.3,0.3
2,3744,1,0.2,0.3
2,4628,1,0.2,0.3
2,4212,0.9,0.2,0.3
2,5063,1.7,0.3,0.3
2,6244,1.6,0.2,0.3
2,5483,1.7,0.2,0.3
2,1678,1,0.1,0.4
2,4265,1.2,0.1,0.4
2,2431,1.1,0.1,0.4
2,2431,1,0.1,0.4
2,4461,1.2,0.1,0.4
2,3110,1.2,0.1,0.4
2,4469,1.2,0.1,0.4
2,4194,1.2,0.1,0.4
2,3509,0.9,0.2,0.4
2,4353,1.1,0.3,0.4
2,3915,1,0.2,0.4
3,7250,1.7,0.2,0.1
3,7367,1.7,0.2,0.1
3,3705,1.1,0.2,0.1
3,3295,1.1,0.2,0.1
3,5363,1.7,0.2,0.1
3,5015,1.8,0.1,0.1
3,3379,1,0.3,0.3
3,7132,1.5,0.2,0.3
3,4359,1,0.3,0.3
3,3646,1,0.2,0.3
3,6917,1.5,0.3,0.3
3,6692,1.5,0.3,0.3
3,7028,1.6,0.3,0.3
3,7196,1.6,0.3,0.3
3,4220,0.9,0.3,0.3
3,4915,1,0.3,0.3
3,4185,0.8,0.2,0.3
3,7463,1.6,0.3,0.3
3,7860,1.6,0.3,0.3
3,7624,1.6,0.3,0.3
3,2830,0.9,0.3,0.3
3,3280,1,0.3,0.3
3,2906,0.9,0.3,0.3
3,4041,1,0.2,0.3
3,4147,1.2,0.3,0.3
3,4102,0.1,0.3,0.3
3,5087,1.3,0.3,0.3
3,5122,1.5,0.3,0.3
3,4660,1.3,0.2,0.3
3,5150,1.3,0.3,0.3
3,5730,1.3,0.3,0.3
3,3744,1,0.2,0.3
3,4628,1,0.2,0.3
3,4212,0.9,0.2,0.3
3,5063,1.7,0.3,0.3
3,6244,1.6,0.2,0.3
3,5483,1.7,0.2,0.3
3,1678,1,0.1,0.4
3,4265,1.2,0.1,0.4
3,2431,1.1,0.1,0.4
3,2431,1,0.1,0.4
3,4461,1.2,0.1,0.4
3,3110,1.2,0.1,0.6
3,4469,1.2,0.1,0.6
3,4194,1.2,0.1,0.6
3,3509,0.9,0.2,0.6
3,4353,1.1,0.3,0.6
3,3915,1,0.2,0.6
