NTRT,SITE,REP,YIELD
1,1,1,1.979
1,1,2,1.511
1,1,3,3.664
2,1,1,4.572
2,1,2,4.34
2,1,3,4.132
3,1,1,5.63
3,1,2,6.78
3,1,3,4.933
4,1,1,7.153
4,1,2,6.504
4,1,3,6.326
5,1,1,7.223
5,1,2,7.107
5,1,3,6.051
6,1,1,7.234
6,1,2,6.829
6,1,3,5.874
1,2,4,3.617
1,2,5,3.58
1,2,6,3.939
2,2,4,6.065
2,2,5,5.463
2,2,6,5.435
3,2,4,6.092
3,2,5,6.571
3,2,6,6.084
4,2,4,5.916
4,2,5,6.982
4,2,6,7.145
5,2,4,7.191
5,2,5,6.109
5,2,6,7.967
6,2,4,5.805
6,2,5,6.89
6,2,6,7.113
1,3,7,4.32
1,3,8,4.068
1,3,9,3.856
2,3,7,5.862
2,3,8,4.626
2,3,9,4.913
3,3,7,5.136
3,3,8,5.836
3,3,9,4.898
4,3,7,6.336
4,3,8,5.456
4,3,9,5.663
5,3,7,5.571
5,3,8,5.854
5,3,9,5.533
6,3,7,6.765
6,3,8,5.263
6,3,9,3.91
