environment,block,respvar,Grain_yield,Th_grain_weight,p1,p2
Normal,1,145,56.14,32.03,P1,P2
Normal,2,153,48.46,25.86,P1,P2
Normal,3,147,28.98,28.22,P1,P2
Saline,1,117.7,33.63,24.17,P1,P2
Saline,2,125.3,26.67,24.84,P1,P2
Saline,3,115,19.21,24.82,P1,P2
Normal,1,170.3,38.42,23.91,P1,P3
Normal,2,159.7,23.14,23.54,P1,P3
Normal,3,161.7,32.34,25.29,P1,P3
Saline,1,135,30.57,21.82,P1,P3
Saline,2,154.3,25.91,22.81,P1,P3
Saline,3,140.3,35.73,21.63,P1,P3
Normal,1,151,47.88,27.2,P1,P4
Normal,2,162,19.09,26.99,P1,P4
Normal,3,145.7,15.99,26.24,P1,P4
Saline,1,120.3,25.53,26.15,P1,P4
Saline,2,134.7,6.38,21.79,P1,P4
Saline,3,130.7,6.8,18.31,P1,P4
Normal,1,142.7,51.27,25.42,P1,P5
Normal,2,144.7,32.9,26.32,P1,P5
Normal,3,139.7,45.47,25.47,P1,P5
Saline,1,118.3,40.47,29.37,P1,P5
Saline,2,121,25.13,19.2,P1,P5
Saline,3,107,31.7,23.56,P1,P5
Normal,1,164.3,32.63,25.58,P1,P6
Normal,2,163,12.43,22.71,P1,P6
Normal,3,154.7,21.02,25.85,P1,P6
Saline,1,135,21.08,24.1,P1,P6
Saline,2,164.3,5.51,20.83,P1,P6
Saline,3,145.3,6.18,20.05,P1,P6
Normal,1,184.7,37.37,29.79,P1,P7
Normal,2,217,11.14,26.46,P1,P7
Normal,3,172.3,31.07,27.4,P1,P7
Saline,1,165.7,16.59,23.65,P1,P7
Saline,2,181.3,9.46,24.12,P1,P7
Saline,3,172.7,28.71,23.75,P1,P7
Normal,1,147,40.92,26.56,P2,P3
Normal,2,146.7,56.25,25.68,P2,P3
Normal,3,135,44.38,25.5,P2,P3
Saline,1,119.3,34.15,23.53,P2,P3
Saline,2,124.3,19.91,21.59,P2,P3
Saline,3,111,23.21,27.3,P2,P3
Normal,1,142.3,28.6,27.02,P2,P4
Normal,2,145.7,31.08,27.64,P2,P4
Normal,3,143.7,33.9,26.6,P2,P4
Saline,1,121.7,13.89,24.37,P2,P4
Saline,2,133,13.07,24.78,P2,P4
Saline,3,116.7,22.79,23.13,P2,P4
Normal,1,131.7,29.77,27.48,P2,P5
Normal,2,130.7,31.73,26.27,P2,P5
Normal,3,132.3,40.3,26.32,P2,P5
Saline,1,112,30.36,25.16,P2,P5
Saline,2,114.3,16.32,23.36,P2,P5
Saline,3,115.3,23.58,23.67,P2,P5
Normal,1,144.3,61.5,24.41,P2,P6
Normal,2,143.3,42.18,24.33,P2,P6
Normal,3,143,43.58,24.56,P2,P6
Saline,1,118.3,18.42,24.14,P2,P6
Saline,2,107.7,12.13,19.36,P2,P6
Saline,3,117.7,17.68,22.8,P2,P6
Normal,1,180.7,37.02,32.34,P2,P7
Normal,2,193,27.88,28.86,P2,P7
Normal,3,186.3,27.72,30.75,P2,P7
Saline,1,156.7,33.95,28.61,P2,P7
Saline,2,173,32.9,21.99,P2,P7
Saline,3,165.7,27.15,28.38,P2,P7
Normal,1,165.3,29.08,28.3,P3,P4
Normal,2,158.7,17.6,26.05,P3,P4
Normal,3,166.7,19.47,25.95,P3,P4
Saline,1,143.3,22.56,25.03,P3,P4
Saline,2,158.3,9.97,16.11,P3,P4
Saline,3,134.7,27.57,20.86,P3,P4
Normal,1,138,41.18,20.99,P3,P5
Normal,2,137,38.21,22.62,P3,P5
Normal,3,135.7,47.29,24.53,P3,P5
Saline,1,130.3,9.99,24.11,P3,P5
Saline,2,124,12.72,20.71,P3,P5
Saline,3,122.3,26.67,17.37,P3,P5
Normal,1,158,34.1,21.66,P3,P6
Normal,2,181,31.4,20.85,P3,P6
Normal,3,160.3,17.21,20.92,P3,P6
Saline,1,137.7,14.11,16.88,P3,P6
Saline,2,143.3,25.2,18.92,P3,P6
Saline,3,139,16.81,15.8,P3,P6
Normal,1,184.3,53.01,26.83,P3,P7
Normal,2,199.7,39.67,28.43,P3,P7
Normal,3,185.3,27.29,23.73,P3,P7
Saline,1,161.7,37.14,21.3,P3,P7
Saline,2,173,28.9,20.63,P3,P7
Saline,3,162.7,25.63,22.52,P3,P7
Normal,1,155,40.69,26.46,P4,P5
Normal,2,157.7,49.8,27.26,P4,P5
Normal,3,136.7,31.67,25.83,P4,P5
Saline,1,128.7,36.02,22.24,P4,P5
Saline,2,130,13.73,22.6,P4,P5
Saline,3,123.3,43.47,22.59,P4,P5
Normal,1,168,30.26,29.49,P4,P6
Normal,2,165.7,22.77,27.46,P4,P6
Normal,3,160.7,29.77,29.68,P4,P6
Saline,1,149,22.87,21.68,P4,P6
Saline,2,159,18.1,18.15,P4,P6
Saline,3,132.3,13.81,19.14,P4,P6
Normal,1,198,53.35,29.02,P4,P7
Normal,2,204.7,33.5,26.59,P4,P7
Normal,3,198,36.02,30.19,P4,P7
Saline,1,194,42.1,24.27,P4,P7
Saline,2,201,10.3,17.56,P4,P7
Saline,3,175.7,19.06,22.37,P4,P7
Normal,1,135.3,30.62,24.73,P5,P6
Normal,2,144.7,30.98,22.6,P5,P6
Normal,3,136.7,36.56,21.74,P5,P6
Saline,1,119.3,15.43,21.08,P5,P6
Saline,2,132.7,13.74,19.73,P5,P6
Saline,3,126.7,38,20.89,P5,P6
Normal,1,172.3,22.52,28.87,P5,P7
Normal,2,184.3,31.11,27.5,P5,P7
Normal,3,170.7,24.24,27.1,P5,P7
Saline,1,152,43.4,24.83,P5,P7
Saline,2,159,36.2,24.57,P5,P7
Saline,3,159.7,17.68,24.84,P5,P7
Normal,1,199,58.6,31.38,P6,P7
Normal,2,198.7,52.17,27.86,P6,P7
Normal,3,189,65.03,28.16,P6,P7
Saline,1,184.3,36.66,25.31,P6,P7
Saline,2,190,20.84,26.09,P6,P7
Saline,3,170.7,50.37,23.59,P6,P7
