Rgn,PH,FLL,FLW,TN,SD,PL,GL,GW,GLWR,GT,KGW
1,102.6,35.59,1.49,18.5,4.76,24.19,9.07,2.98,3.4,2.01,26.32
1,105,33.42,1.57,1.7,6.62,19.88,8.2,2.79,2.75,2.05,28.4
1,104.1,32.19,1.56,12.3,7.33,19.03,8.85,3.62,2.09,2.21,19.82
1,102,32.41,1.26,11.7,5.66,18.08,7.12,3.07,3.6,2.06,25.88
1,106.3,33.56,1.13,8.3,5.72,18.37,5.97,3.02,2.24,2.27,29.54
1,103.9,32.61,0.83,13.3,4.67,21.18,7.63,2.52,2.01,2.1,28.19
1,99.4,41.77,1.61,14.9,5.99,27.19,8.25,2.7,3.95,2.12,36.64
1,104.2,30.86,1.44,20.8,5.61,21.91,8.13,2.29,3.05,2.13,24.92
1,106.7,35.68,1.66,-5.1,5.41,26.32,9.53,2.68,2.79,2.18,33.17
1,111.2,21.13,1.55,16.8,5.31,24.02,6.92,3.22,2.25,2.11,29.76
1,105.9,30.23,1.61,10.7,4.98,20.22,9.12,3.27,4,2.12,29.82
1,103.2,27.6,1.84,12.8,4.7,23.03,7.95,3.04,4.26,2.19,23.5
1,111.2,32.33,1.38,9.1,5.38,21.56,8.57,2.92,2.47,2.48,24.23
1,118.4,27.38,1.75,19.2,2.56,28.64,8.05,2.19,3.73,2.05,23.91
1,114,39.05,1.02,14.8,5.82,26.47,8.71,2.63,2.54,2.15,24.2
1,99.5,34.67,1.66,2.9,4.22,22.94,9.14,3.3,3.47,1.96,27.29
1,105.8,24.46,1.33,22,3.19,22.96,8.22,3.49,2.21,2.14,26.78
1,102.4,42.73,1.61,5.9,4.3,24.01,9.15,3.04,3.53,2.13,25.51
1,107.2,31.58,1.35,9.2,7.83,18.54,8.54,2.71,3.46,1.89,25.07
1,113.2,27.13,1.67,11.5,5.62,24.63,8.63,2.54,2.75,2.23,28.32
2,96.7,28.97,1.46,6.1,3.68,28.99,9.8,2.94,2.24,2.06,23.06
2,102.5,26.29,1.32,2.4,5.43,24.82,10.92,2.6,4.11,2.19,26.74
2,104.4,30.11,1.51,7,3.94,21.5,9.76,3.8,3.48,1.95,31.23
2,104.6,36.73,1.04,7.5,6.16,22.22,8.54,2.94,3.19,2.12,24.43
2,85.9,30.47,1.97,9.8,4.63,19.06,8.99,2.9,3.68,2.2,23.37
2,102.9,32.95,1.65,13.5,5.31,20.39,9.97,2.51,3.79,2.13,21.48
2,101.5,31.72,1.35,6,4.26,25.98,10.04,2.18,2.32,2.14,23.98
2,86.8,37.67,1.47,8.7,4.02,26.02,9.65,2.74,3.82,2.23,26.19
2,106.4,39.63,1.62,5.5,4.91,22.78,8.74,2.97,4.5,2.06,24.75
2,104.3,27.84,1.26,4.7,5.3,25.78,10.37,3.15,3.98,2.01,38.2
2,85.4,31.86,1.85,13.8,6.26,23.59,9.08,3.19,2.98,1.77,21.67
2,101.6,37.6,1.32,9.9,5.94,23.26,8.48,2.24,3.05,2.02,17.37
2,87.1,36.17,1.26,7.9,4.86,20.35,10.34,3.05,3.17,2.02,27.76
2,82.8,29.58,1.28,8.6,5.69,28.27,9.77,3.05,3.85,1.77,23.71
2,102.9,29.69,1.06,9.7,4.57,24.35,9.27,1.96,2.73,1.93,21.98
2,109.6,35.54,1.4,7.9,5.02,20.44,9.07,2.66,3.54,2.15,28.21
2,86.3,31.49,1.67,10.5,4.19,26.97,9.28,2.43,3.59,1.94,32.5
2,106.2,29.28,1.3,5.8,6.13,22.76,8.15,3.49,3.12,2.06,27.22
2,93.8,33.62,1.44,10.8,5.12,20.99,9.11,2.85,2.48,2.05,26.88
2,78.2,28.86,1.26,8.2,5.6,24.42,9.89,2.53,3.23,1.83,25.36
3,117.9,36.23,1.43,5.5,6.12,20.77,9.18,3.11,3.08,2.18,22.21
3,111.8,27.86,1.48,14.6,5.33,26.06,9.37,3.32,3.32,1.8,28.07
3,104.9,34.54,1.64,12.7,7.71,19.58,7.16,2.97,3.22,1.9,21.27
3,103.9,36.49,1.29,17.4,3.96,27.88,10.39,3.01,3.04,2.18,28.67
3,106.2,25.09,1.71,27.5,5.12,19.4,7.52,2.95,3.31,2.22,28.22
3,98.5,29.33,1.19,28.4,5.7,18.62,9.01,3.97,2.95,1.98,23.12
3,110.3,25.45,1,11.9,7.03,19.76,10.61,3.01,3.64,1.99,20.13
3,102.8,42.31,1.67,-3.5,5.23,25.56,9.92,2.7,3.02,1.86,22.13
3,95.2,31.99,1.77,25.4,4.69,23.82,8.23,3.04,3.42,2.08,24.72
3,105.2,36.22,1.65,22.3,8.1,25.92,10.09,3.15,2.94,1.96,21.63
3,120.7,36.68,2.49,23.3,5.07,23.44,9.26,3.19,2.79,2.37,27.04
3,128.9,32.69,1.45,14.7,3.64,20.56,8.54,2.37,3.52,2.06,23.36
3,120.1,38.32,1.99,13.1,3.27,19.93,7.62,2.83,3.21,2.09,19.83
3,103.1,56.08,1.26,-4.9,6.43,27.74,8.36,3.23,3.05,2.32,27.04
3,109.6,33.93,1.64,22,5.38,24.11,8.19,2.84,3.56,2.26,28.05
3,129.9,39.74,1.15,20,5.95,24.82,8.84,3.45,3.65,2.13,23.85
3,145.3,27.68,1.38,22.6,4.55,23.82,7.6,3.32,3.66,2.46,23.84
3,106,27.08,1.68,10.3,6.13,15.84,9.6,3.16,3.82,2.05,28.89
3,135.7,49.58,1.34,28.2,4.8,21.55,8.2,3.7,2.92,2.16,22.07
3,144.5,34.61,1.28,25.8,4.11,26.52,7.97,2.83,3.48,2.31,19.87
