X,Reg,Rgn,PH,Rgn,FLL,Rgn,FLW,Rgn,TN,Rgn,SD,Rgn,PL,Rgn,GL,Rgn,GW,Rgn,GLWR,Rgn,GT,Rgn,KGW
25,1,2,78.2,1,21.13,1,0.83,1,-5.1,1,2.56,3,15.84,1,5.97,2,1.96,1,2.01,2,1.77,2,17.37
26,1,2,82.8,1,24.46,3,1,3,-4.9,1,3.19,1,18.08,1,6.92,2,2.18,1,2.09,2,1.77,1,19.82
39,1,2,85.4,3,25.09,1,1.02,3,-3.5,3,3.27,1,18.37,1,7.12,1,2.19,1,2.21,3,1.8,3,19.83
40,1,2,85.9,3,25.45,2,1.04,1,1.7,3,3.64,1,18.54,3,7.16,2,2.24,2,2.24,2,1.83,3,19.87
38,1,2,86.3,2,26.29,2,1.06,2,2.4,2,3.68,3,18.62,3,7.52,1,2.29,1,2.24,3,1.86,3,20.13
34,1,2,86.8,3,27.08,1,1.13,1,2.9,2,3.94,1,19.03,3,7.6,3,2.37,1,2.25,1,1.89,3,21.27
24,1,2,87.1,1,27.13,3,1.15,2,4.7,3,3.96,2,19.06,3,7.62,2,2.43,2,2.32,3,1.9,2,21.48
32,1,2,93.8,1,27.38,3,1.19,2,5.5,2,4.02,3,19.4,1,7.63,2,2.51,1,2.47,2,1.93,3,21.63
58,1,3,95.2,1,27.6,2,1.26,3,5.5,3,4.11,3,19.58,1,7.95,1,2.52,2,2.48,2,1.94,2,21.67
33,1,2,96.7,3,27.68,2,1.26,2,5.8,2,4.19,3,19.76,3,7.97,2,2.53,1,2.54,2,1.95,2,21.98
43,1,3,98.5,2,27.84,1,1.26,1,5.9,1,4.22,1,19.88,1,8.05,1,2.54,2,2.73,1,1.96,3,22.07
13,1,1,99.4,3,27.86,3,1.26,2,6,2,4.26,3,19.93,1,8.13,2,2.6,1,2.75,3,1.96,3,22.13
17,1,1,99.5,2,28.86,2,1.26,2,6.1,1,4.3,1,20.22,2,8.15,1,2.63,1,2.75,3,1.98,3,22.21
30,1,2,101.5,2,28.97,2,1.28,2,7,3,4.55,2,20.35,3,8.19,2,2.66,1,2.79,3,1.99,2,23.06
29,1,2,101.6,2,29.28,3,1.28,2,7.5,2,4.57,2,20.39,1,8.2,1,2.68,3,2.79,1,2.01,3,23.12
4,1,1,102,3,29.33,3,1.29,2,7.9,2,4.63,2,20.44,3,8.2,1,2.7,3,2.92,2,2.01,3,23.36
15,1,1,102.4,2,29.58,2,1.3,2,7.9,1,4.67,3,20.56,1,8.22,3,2.7,3,2.94,2,2.02,2,23.37
28,1,2,102.5,2,29.69,2,1.32,2,8.2,3,4.69,3,20.77,3,8.23,1,2.71,3,2.95,2,2.02,1,23.5
9,1,1,102.6,2,30.11,2,1.32,1,8.3,1,4.7,2,20.99,1,8.25,2,2.74,2,2.98,2,2.05,2,23.71
55,1,3,102.8,1,30.23,1,1.33,2,8.6,1,4.76,1,21.18,3,8.36,1,2.79,3,3.02,1,2.05,3,23.84
22,2,2,102.9,2,30.47,3,1.34,2,8.7,3,4.8,2,21.5,2,8.48,3,2.83,3,3.04,3,2.05,3,23.85
37,2,2,102.9,1,30.86,2,1.35,1,9.1,2,4.86,3,21.55,2,8.54,3,2.83,2,3.05,1,2.05,1,23.91
44,2,3,103.1,2,31.49,1,1.35,1,9.2,2,4.91,1,21.56,1,8.54,3,2.84,3,3.05,2,2.06,2,23.98
20,2,1,103.2,1,31.58,1,1.38,2,9.7,1,4.98,1,21.91,3,8.54,2,2.85,1,3.05,1,2.06,1,24.2
1,2,1,103.9,2,31.72,3,1.38,2,9.8,2,5.02,2,22.22,1,8.57,2,2.9,3,3.08,2,2.06,1,24.23
46,2,3,103.9,2,31.86,2,1.4,2,9.9,3,5.07,2,22.76,1,8.63,1,2.92,2,3.12,2,2.06,2,24.43
11,2,1,104.1,3,31.99,3,1.43,3,10.3,2,5.12,2,22.78,1,8.71,2,2.94,2,3.17,3,2.06,3,24.72
8,2,1,104.2,1,32.19,2,1.44,2,10.5,3,5.12,1,22.94,2,8.74,2,2.94,2,3.19,3,2.08,2,24.75
23,2,2,104.3,1,32.33,1,1.44,1,10.7,3,5.23,1,22.96,3,8.84,3,2.95,3,3.21,3,2.09,1,24.92
35,2,2,104.4,1,32.41,3,1.45,2,10.8,2,5.3,1,23.03,1,8.85,3,2.97,3,3.22,1,2.1,1,25.07
21,2,2,104.6,1,32.61,2,1.46,1,11.5,2,5.31,2,23.26,2,8.99,2,2.97,2,3.23,1,2.11,2,25.36
52,2,3,104.9,3,32.69,2,1.47,1,11.7,1,5.31,3,23.44,3,9.01,1,2.98,3,3.31,1,2.12,1,25.51
12,2,1,105,2,32.95,3,1.48,3,11.9,3,5.33,2,23.59,1,9.07,3,3.01,3,3.32,2,2.12,1,25.88
54,2,3,105.2,1,33.42,1,1.49,1,12.3,3,5.38,3,23.82,2,9.07,3,3.01,1,3.4,1,2.12,2,26.19
5,2,1,105.8,1,33.56,2,1.51,3,12.7,1,5.38,3,23.82,2,9.08,1,3.02,3,3.42,1,2.13,1,26.32
14,2,1,105.9,2,33.62,1,1.55,1,12.8,1,5.41,1,24.01,2,9.11,3,3.04,1,3.46,2,2.13,2,26.74
56,2,3,106,3,33.93,1,1.56,3,13.1,2,5.43,1,24.02,1,9.12,1,3.04,1,3.47,1,2.13,1,26.78
27,2,2,106.2,3,34.54,1,1.57,1,13.3,2,5.6,3,24.11,1,9.14,1,3.04,2,3.48,3,2.13,2,26.88
57,2,3,106.2,3,34.61,1,1.61,2,13.5,1,5.61,1,24.19,1,9.15,2,3.05,3,3.48,2,2.14,3,27.04
3,2,1,106.3,1,34.67,1,1.61,2,13.8,1,5.62,2,24.35,3,9.18,2,3.05,3,3.52,1,2.14,3,27.04
36,3,2,106.4,2,35.54,1,1.61,3,14.6,1,5.66,2,24.42,3,9.26,1,3.07,1,3.53,2,2.15,2,27.22
16,3,1,106.7,1,35.59,2,1.62,3,14.7,2,5.69,1,24.63,2,9.27,3,3.11,2,3.54,1,2.15,1,27.29
6,3,1,107.2,1,35.68,3,1.64,1,14.8,3,5.7,2,24.82,2,9.28,2,3.15,3,3.56,3,2.16,2,27.76
31,3,2,109.6,2,36.17,3,1.64,1,14.9,1,5.72,3,24.82,3,9.37,3,3.15,2,3.59,3,2.18,3,28.05
53,3,3,109.6,3,36.22,2,1.65,1,16.8,1,5.82,3,25.56,1,9.53,3,3.16,1,3.6,1,2.18,3,28.07
41,3,3,110.3,3,36.23,3,1.65,3,17.4,2,5.94,2,25.78,3,9.6,2,3.19,3,3.64,3,2.18,1,28.19
7,3,1,111.2,3,36.49,1,1.66,1,18.5,3,5.95,3,25.92,2,9.65,3,3.19,3,3.65,2,2.19,2,28.21
10,3,1,111.2,3,36.68,1,1.66,1,19.2,1,5.99,2,25.98,2,9.76,1,3.22,3,3.66,1,2.19,3,28.22
51,3,3,111.8,2,36.73,2,1.67,3,20,3,6.12,2,26.02,2,9.77,3,3.23,2,3.68,2,2.2,1,28.32
18,3,1,113.2,2,37.6,3,1.67,1,20.8,3,6.13,3,26.06,2,9.8,1,3.27,1,3.73,1,2.21,1,28.4
2,3,1,114,2,37.67,1,1.67,1,22,2,6.13,1,26.32,2,9.89,1,3.3,2,3.79,3,2.22,3,28.67
49,3,3,117.9,3,38.32,3,1.68,3,22,2,6.16,1,26.47,3,9.92,3,3.32,2,3.82,2,2.23,3,28.89
19,3,1,118.4,1,39.05,3,1.71,3,22.3,2,6.26,3,26.52,2,9.97,3,3.32,3,3.82,1,2.23,1,29.54
59,3,3,120.1,2,39.63,1,1.75,3,22.6,3,6.43,2,26.97,2,10.04,3,3.45,2,3.85,3,2.26,1,29.76
60,3,3,120.7,3,39.74,3,1.77,3,23.3,1,6.62,1,27.19,3,10.09,1,3.49,1,3.95,1,2.27,1,29.82
50,3,3,128.9,1,41.77,1,1.84,3,25.4,3,7.03,3,27.74,2,10.34,2,3.49,2,3.98,3,2.31,2,31.23
