GENOTYPE,YLD,ENV
2,8,AguaFria
3,7.5,AguaFria
4,6,AguaFria
5,8.5,AguaFria
6,9,AguaFria
7,10,AguaFria
8,9,AguaFria
9,3.5,AguaFria
10,7,AguaFria
11,7.5,AguaFria
12,5.5,AguaFria
13,9.5,AguaFria
14,8,AguaFria
15,11,AguaFria
16,10,AguaFria
17,10,AguaFria
18,7.5,AguaFria
19,8.5,AguaFria
20,6.5,AguaFria
21,9.5,AguaFria
22,4,AguaFria
23,3,AguaFria
24,8,AguaFria
25,5.5,AguaFria
26,8,AguaFria
27,9,AguaFria
28,6,AguaFria
29,2,AguaFria
30,8,AguaFria
2,29.5,Ameca
3,8,Ameca
4,15.5,Ameca
5,26,Ameca
6,22.5,Ameca
7,39.5,Ameca
8,20,Ameca
9,29,Ameca
10,16,Ameca
11,25.5,Ameca
12,14.5,Ameca
13,22,Ameca
14,27,Ameca
15,6.5,Ameca
16,28,Ameca
17,19,Ameca
18,19.5,Ameca
19,23.5,Ameca
20,27.5,Ameca
21,10.5,Ameca
22,29.5,Ameca
23,34,Ameca
24,15,Ameca
25,18.5,Ameca
26,22,Ameca
27,19,Ameca
28,24.5,Ameca
29,28,Ameca
30,19.5,Ameca
2,12.8104169,Batan
3,7.684283296,Batan
4,8.418213095,Batan
5,2.885445514,Batan
6,7.202237205,Batan
7,7.277649316,Batan
8,8.858234781,Batan
9,8.641183904,Batan
10,12.29560322,Batan
11,11.37119847,Batan
12,5.403399423,Batan
13,10.18871262,Batan
14,11.00529981,Batan
15,9.646194539,Batan
16,11.21705088,Batan
17,8.540411048,Batan
18,9.007082562,Batan
19,9.022457139,Batan
20,11.02688646,Batan
21,9.751890386,Batan
22,11.70381546,Batan
23,11.14176522,Batan
24,12.34471019,Batan
25,9.885991727,Batan
26,11.37304845,Batan
27,11.6745328,Batan
28,4.047817884,Batan
29,4.569714119,Batan
30,10.38987483,Batan
2,8.133429341,Celaya
3,19.49855381,Celaya
4,13.01132945,Celaya
5,14.07729373,Celaya
6,14.72098235,Celaya
7,7.789681835,Celaya
