Obs,TRT,ENTNO,NAME,Rep,DTF,HT,GY,TDMY,HI,F10,Trial,Env
2040,S,e47,M4FNS-3076,3,77,63.167,100.95,2875.17,3.1129,,G,SG
2340,S,e47,M4FNS-3076,3,77,63.167,100.95,2875.17,3.1129,,H,SH
1657,S,e20,DK167,1,86,112.667,381.57,11074.3,3.0548,,F,SF
254,S,e45,IR81025-B-425-B,2,86,75.967,458.4,908.56,50.453,,A,SA
2012,S,e38,IR78908-121-B-2-B,2,68,104.333,556.6,2893.28,17.0561,,G,SG
2312,S,e38,IR78908-121-B-2-B,2,68,104.333,556.6,2893.28,17.0561,,H,SH
1721,S,e41,IR78910-23-1-3-3,2,68,148.667,601.6,3264.71,16.3377,,F,SF
1981,S,e28,IR74371-54-1-1,1,73,91.833,637.27,2014.53,28.0461,,G,SG
2281,S,e28,IR74371-54-1-1,1,73,91.833,637.27,2014.53,28.0461,,H,SH
1918,S,e7,DGI-196,1,81,72.667,647.15,3478.83,16.4929,,G,SG
2218,S,e7,DGI-196,1,81,72.667,647.15,3478.83,16.4929,,H,SH
2015,S,e39,IR78908-156-B-2-B,2,70,92,647.71,2513.92,22.8431,,G,SG
2315,S,e39,IR78908-156-B-2-B,2,70,92,647.71,2513.92,22.8431,,H,SH
2597,S,e33,IR77298-14-1-2-13,2,73,58.333,665.66,2469.97,26.9502,,I,SI
1933,S,e12,DK109,1,77,71.167,666.33,4030.43,14.6576,,G,SG
2233,S,e12,DK109,1,77,71.167,666.33,4030.43,14.6576,,H,SH
1927,S,e10,DK106,1,77,62.5,737.63,3926.58,16.6553,,G,SG
2227,S,e10,DK106,1,77,62.5,737.63,3926.58,16.6553,,H,SH
163,S,e13,DK117,1,83,69.8,766.68,4815.13,15.9222,,A,SA
2014,S,e39,IR78908-156-B-2-B,1,70,90.833,768.5,3224.15,21.1328,,G,SG
2314,S,e39,IR78908-156-B-2-B,1,70,90.833,768.5,3224.15,21.1328,,H,SH
211,S,e30,IR75870-8-1-2-B-6-2-B-B-B,1,84,76.667,769.99,2070.72,37.1847,,A,SA
472,S,e23,DSU-4-18,1,83,78,792.33,4472.6,17.7153,,B,SB
178,S,e18,DK142,1,86,58,810.98,3906.97,20.7574,,A,SA
2002,S,e35,IR77298-5-6-25,1,77,76,815.81,2283.83,31.6704,,G,SG
2302,S,e35,IR77298-5-6-25,1,77,76,815.81,2283.83,31.6704,,H,SH
193,S,e23,DSU-4-18,1,86,64.333,818.15,3871.82,21.1309,,A,SA
1644,S,e15,DK124,3,89,113,822.77,7982.07,9.1388,,F,SF
1967,S,e23,DSU-4-18,2,81,67.333,828.67,3270.96,22.4612,,G,SG
2267,S,e23,DSU-4-18,2,81,67.333,828.67,3270.96,22.4612,,H,SH
2011,S,e38,IR78908-121-B-2-B,1,66,100.667,831.18,2683.52,27.461,,G,SG
2311,S,e38,IR78908-121-B-2-B,1,66,100.667,831.18,2683.52,27.461,,H,SH
201,S,e25,IR71525-19-1-1,3,82,77.1,837.74,1829.54,45.7896,,A,SA
1669,S,e24,IR70215-70-CPA-3-4-1-3,1,93,119.167,855.37,8685.7,8.7312,,F,SF
2601,S,e34,IR77298-5-6-18,3,77,62,867.19,3448.38,25.1477,,I,SI
2020,S,e41,IR78910-23-1-3-3,1,67,93,883.77,3181.42,24.6289,,G,SG
2320,S,e41,IR78910-23-1-3-3,1,67,93,883.77,3181.42,24.6289,,H,SH
2017,S,e40,IR78908-193-B-3-B,1,73,95.833,889.84,2978.07,26.4915,,G,SG
2317,S,e40,IR78908-193-B-3-B,1,73,95.833,889.84,2978.07,26.4915,,H,SH
1997,S,e33,IR77298-14-1-2-13,2,75,65.667,890.53,3212.94,24.5738,,G,SG
2297,S,e33,IR77298-14-1-2-13,2,75,65.667,890.53,3212.94,24.5738,,H,SH
205,S,e27,IR74371-46-1-1,1,75,72.667,909.16,2385.26,38.1157,,A,SA
2564,S,e22,DSL-89-3,2,75,56.333,943.79,2802.56,33.676,,I,SI
1911,S,e4,D6-547-2R,3,81,66.5,949.16,4146.93,20.2928,,G,SG
2211,S,e4,D6-547-2R,3,81,66.5,949.16,4146.93,20.2928,,H,SH
2648,S,e50,URI,2,73,86.667,956.4,2894.61,33.0408,,I,SI
1984,S,e29,IR75282-58-1-2-3,1,77,72.5,956.61,4122.53,20.5731,,G,SG
2284,S,e29,IR75282-58-1-2-3,1,77,72.5,956.61,4122.53,20.5731,,H,SH
1996,S,e33,IR77298-14-1-2-13,1,75,72,966.82,1059.65,80.893,,G,SG
2296,S,e33,IR77298-14-1-2-13,1,75,72,966.82,1059.65,80.893,,H,SH
140,S,e4,D6-547-2R,2,88,64.333,979.29,4639.54,21.1075,,A,SA
1013,S,e5,D6-547-5S,2,81,83.667,982.16,1880.78,46.299,,D,SD
1339,S,e14,DK122,1,74,60.833,996.26,5219.95,16.9213,,E,SE
