Type,Plant,ELISA,REDUC_21,REDUC_70
S,1,0.72,36.91,35.34
S,2,0.79,38.14,32.76
S,3,0.77,35.67,41.38
S,4,0.86,34.43,31.03
S,5,0.68,41.86,34.48
S,6,0.66,36.91,40.52
S,7,0.73,33.20,21.55
S,8,1.97,22.06,27.59
S,9,0.88,51.75,50.86
S,10,0.65,33.20,30.17
S,11,0.71,35.67,29.31
S,12,1.00,35.67,34.48
T,1,0.05,18.24,13.68
T,2,0.58,24.53,18.80
T,3,0.11,10.69,17.09
T,4,0.02,18.24,17.09
T,5,0.11,-1.89,7.69
T,6,0.15,14.47,-2.56
T,7,0.58,20.75,3.42
T,8,0.03,14.47,5.98
T,9,0.16,19.50,7.69
T,10,0.04,19.50,9.40
T,11,0.34,10.69,12.82
T,12,0.14,13.21,13.68
T,13,0.60,13.21,14.53
,,,,
,,,,
,,,,
