"Levels","type","Yield_Mean","PC1","PC2"
"G1","GEN",1.222125,1.29577210639261,-1.36581432669058
"G10","GEN",1.1746916666,-1.27362884710051,-0.365041312787229
"G11","GEN",1.5066083333,-0.707680196034503,0.966118788013842
"G12","GEN",1.3078916666,0.941721708176423,1.14816852767223
"G2","GEN",1.0758361591,-0.306147908906202,-0.738391540248712
"G3","GEN",1.4961500001,-0.236717566255934,0.948582679004849
"G4","GEN",1.2750717218,-0.606358171735922,-0.194120622920247
"G5","GEN",1.2743104418,-0.844238625651223,-0.520760392473407
"G6","GEN",1.2563095119,1.61536548088937,0.919560156238337
"G7","GEN",1.3393083334,1.59223456315224,-0.795716841946132
"G8","GEN",1.2566333333,-0.820575900188777,-0.751064642258252
"G9","GEN",1.3583083334,-0.649746642737576,0.748479528395298
"E1","ENV",1.31599032375,-0.00766861918845952,0.0054361975217334
"E10","ENV",1.24668055558333,0.20454486990647,0.110179377939936
"E2","ENV",2.13618985483333,0.149950587598247,0.745941476018613
"E3","ENV",0.328791666666667,0.0114819576427164,0.0430075660170972
"E4","ENV",1.00083333341667,0.0308489377293262,0.24637463055424
"E5","ENV",1.82263292658333,-0.854770722208957,0.0874740722578878
"E6","ENV",1.07283333333333,0.247695512106966,-0.472368042074578
"E7","ENV",1.36077083333333,0.144139283086385,-0.216840419955214
"E8","ENV",1.16113370141667,0.269566522573382,0.301724498532581
"E9","ENV",1.50684722216667,-0.22159787940947,0.00338175119640839
