Genotype,EnvCode,Env,Rep,Yield
STBN 1,11,BIHAR,1,3285.714286
STBN 1,11,BIHAR,2,3571.428571
STBN 1,11,BIHAR,3,2142.857143
STBN 2,11,BIHAR,1,3857.142857
STBN 2,11,BIHAR,2,3000
STBN 2,11,BIHAR,3,1714.285714
STBN 3,11,BIHAR,1,2142.857143
STBN 3,11,BIHAR,2,2714.285714
STBN 3,11,BIHAR,3,1428.571429
STBN 4,11,BIHAR,1,2000
STBN 4,11,BIHAR,2,2857.142857
STBN 4,11,BIHAR,3,1714.285714
STBN 5,11,BIHAR,1,2285.714286
STBN 5,11,BIHAR,2,1428.571429
STBN 5,11,BIHAR,3,1571.428571
STBN 6,11,BIHAR,1,2571.428571
STBN 6,11,BIHAR,2,1857.142857
STBN 6,11,BIHAR,3,1428.571429
STBN 7,11,BIHAR,1,2285.714286
STBN 7,11,BIHAR,2,2714.285714
STBN 7,11,BIHAR,3,3285.714286
STBN 8,11,BIHAR,1,2142.857143
STBN 8,11,BIHAR,2,1857.142857
STBN 8,11,BIHAR,3,2714.285714
STBN 9,11,BIHAR,1,1714.285714
STBN 9,11,BIHAR,2,2000
STBN 9,11,BIHAR,3,2571.428571
STBN 10,11,BIHAR,1,2428.571429
STBN 10,11,BIHAR,2,1285.714286
STBN 10,11,BIHAR,3,2857.142857
STBN 11,11,BIHAR,1,2142.857143
STBN 11,11,BIHAR,2,3000
STBN 11,11,BIHAR,3,2000
STBN 12,11,BIHAR,1,2142.857143
STBN 12,11,BIHAR,2,3142.857143
STBN 12,11,BIHAR,3,2714.285714
STBN 13,11,BIHAR,1,1857.142857
STBN 13,11,BIHAR,2,3285.714286
STBN 13,11,BIHAR,3,3000
STBN 14,11,BIHAR,1,2142.857143
STBN 14,11,BIHAR,2,2714.285714
STBN 14,11,BIHAR,3,2285.714286
STBN 15,11,BIHAR,1,1857.142857
STBN 15,11,BIHAR,2,1714.285714
STBN 15,11,BIHAR,3,3000
STBN 16,11,BIHAR,1,2142.857143
STBN 16,11,BIHAR,2,1714.285714
STBN 16,11,BIHAR,3,2571.428571
STBN 17,11,BIHAR,1,2428.571429
STBN 17,11,BIHAR,2,1571.428571
STBN 17,11,BIHAR,3,2000
STBN 18,11,BIHAR,1,2571.428571
STBN 18,11,BIHAR,2,2000
STBN 18,11,BIHAR,3,1714.285714
STBN 19,11,BIHAR,1,2714.285714
STBN 19,11,BIHAR,2,3571.428571
STBN 19,11,BIHAR,3,2142.857143
STBN 20,11,BIHAR,1,2000
STBN 20,11,BIHAR,2,3142.857143
STBN 20,11,BIHAR,3,2285.714286
STBN 21,11,BIHAR,1,2000
STBN 21,11,BIHAR,2,3285.714286
STBN 21,11,BIHAR,3,2000
STBN 22,11,BIHAR,1,1714.285714
STBN 22,11,BIHAR,2,2428.571429
STBN 22,11,BIHAR,3,2000
STBN 23,11,BIHAR,1,2142.857143
STBN 23,11,BIHAR,2,3142.857143
STBN 23,11,BIHAR,3,2428.571429
STBN 24,11,BIHAR,1,2857.142857
STBN 24,11,BIHAR,2,3428.571429
STBN 24,11,BIHAR,3,2714.285714
STBN 25,11,BIHAR,1,2714.285714
STBN 25,11,BIHAR,2,3142.857143
STBN 25,11,BIHAR,3,2428.571429
STBN 26,11,BIHAR,1,1857.142857
STBN 26,11,BIHAR,2,2571.428571
STBN 26,11,BIHAR,3,2000
STBN 1,1,CARI,1,1875
STBN 1,1,CARI,2,312.5
STBN 1,1,CARI,3,1093.75
STBN 2,1,CARI,1,2916.666667
STBN 2,1,CARI,2,1250
STBN 2,1,CARI,3,2083.333333
STBN 3,1,CARI,1,3020.833333
STBN 3,1,CARI,2,2500
STBN 3,1,CARI,3,2760.416667
STBN 4,1,CARI,1,
STBN 4,1,CARI,2,
STBN 4,1,CARI,3,
STBN 5,1,CARI,1,1041.666667
STBN 5,1,CARI,2,1250
STBN 5,1,CARI,3,1145.833333
STBN 6,1,CARI,1,1041.666667
STBN 6,1,CARI,2,2500
STBN 6,1,CARI,3,1770.833333
STBN 7,1,CARI,1,1979.166667
STBN 7,1,CARI,2,2395.833333
STBN 7,1,CARI,3,2187.5
STBN 8,1,CARI,1,3333.333333
STBN 8,1,CARI,2,4583.333333
STBN 8,1,CARI,3,3958.333333
STBN 9,1,CARI,1,4166.666667
STBN 9,1,CARI,2,4166.666667
STBN 9,1,CARI,3,4166.666667
STBN 10,1,CARI,1,1025
STBN 10,1,CARI,2,750
STBN 10,1,CARI,3,887.5
STBN 11,1,CARI,1,5208.333333
STBN 11,1,CARI,2,5416.666667
STBN 11,1,CARI,3,5312.5
STBN 12,1,CARI,1,4062.5
STBN 12,1,CARI,2,4166.666667
STBN 12,1,CARI,3,4114.583333
STBN 13,1,CARI,1,5208.333333
STBN 13,1,CARI,2,5416.666667
STBN 13,1,CARI,3,5312.5
STBN 14,1,CARI,1,2062.5
STBN 14,1,CARI,2,3020.833333
STBN 14,1,CARI,3,2541.666667
STBN 15,1,CARI,1,3333.333333
STBN 15,1,CARI,2,2395.833333
STBN 15,1,CARI,3,2864.583333
STBN 16,1,CARI,1,520.8333333
STBN 16,1,CARI,2,312.5
STBN 16,1,CARI,3,416.6666667
STBN 17,1,CARI,1,3125
STBN 17,1,CARI,2,2166.666667
STBN 17,1,CARI,3,2645.833333
STBN 18,1,CARI,1,6250
STBN 18,1,CARI,2,5208.333333
STBN 18,1,CARI,3,5729.166667
STBN 19,1,CARI,1,1250
STBN 19,1,CARI,2,520.8333333
STBN 19,1,CARI,3,885.4166667
STBN 20,1,CARI,1,1145.833333
STBN 20,1,CARI,2,625
STBN 20,1,CARI,3,885.4166667
STBN 21,1,CARI,1,4583.333333
STBN 21,1,CARI,2,4166.666667
STBN 21,1,CARI,3,4375
STBN 22,1,CARI,1,3541.666667
STBN 22,1,CARI,2,6541.666667
STBN 22,1,CARI,3,5041.666667
STBN 23,1,CARI,1,4166.666667
STBN 23,1,CARI,2,2291.666667
STBN 23,1,CARI,3,3229.166667
STBN 24,1,CARI,1,4166.666667
STBN 24,1,CARI,2,4583.333333
STBN 24,1,CARI,3,4375
STBN 25,1,CARI,1,1354.166667
STBN 25,1,CARI,2,937.5
STBN 25,1,CARI,3,1145.833333
STBN 26,1,CARI,1,3645.833333
STBN 26,1,CARI,2,3750
STBN 26,1,CARI,3,3697.916667
STBN 1,2,CRRI,1,
STBN 1,2,CRRI,2,
STBN 1,2,CRRI,3,
STBN 2,2,CRRI,1,1003.1
STBN 2,2,CRRI,2,1543.2
STBN 2,2,CRRI,3,1157
STBN 3,2,CRRI,1,1774.7
STBN 3,2,CRRI,2,1774.7
STBN 3,2,CRRI,3,1698
STBN 4,2,CRRI,1,1929
STBN 4,2,CRRI,2,2160.5
STBN 4,2,CRRI,3,1543
STBN 5,2,CRRI,1,1388.9
STBN 5,2,CRRI,2,1388.9
STBN 5,2,CRRI,3,1235
STBN 6,2,CRRI,1,1851.8
STBN 6,2,CRRI,2,2083.3
STBN 6,2,CRRI,3,2238
STBN 7,2,CRRI,1,1080.2
STBN 7,2,CRRI,2,2392
STBN 7,2,CRRI,3,694
STBN 8,2,CRRI,1,
STBN 8,2,CRRI,2,
STBN 8,2,CRRI,3,
STBN 9,2,CRRI,1,1697.5
STBN 9,2,CRRI,2,2160.5
STBN 9,2,CRRI,3,1698
STBN 10,2,CRRI,1,1851.8
STBN 10,2,CRRI,2,2392
STBN 10,2,CRRI,3,2006
STBN 11,2,CRRI,1,1018.5
STBN 11,2,CRRI,2,1234.6
STBN 11,2,CRRI,3,772
STBN 12,2,CRRI,1,1157.4
STBN 12,2,CRRI,2,771.6
STBN 12,2,CRRI,3,1080
STBN 13,2,CRRI,1,1466
STBN 13,2,CRRI,2,1929
STBN 13,2,CRRI,3,1698
STBN 14,2,CRRI,1,540.1
STBN 14,2,CRRI,2,771.6
STBN 14,2,CRRI,3,1080
STBN 15,2,CRRI,1,1543.2
STBN 15,2,CRRI,2,1543.2
STBN 15,2,CRRI,3,1852
STBN 16,2,CRRI,1,1635.8
STBN 16,2,CRRI,2,1543.2
STBN 16,2,CRRI,3,2006
