"Gen","Site","Y1_means","Y3_means"
"1","Env1",NA,20.3009266183922
"1","Env2",46.479591630776,25.2778066598492
"2","Env1",43.2472506102509,19.750478287286
"2","Env2",40.5012794163884,15.7689742117633
"3","Env1",38.293856884034,18.7322763978747
"3","Env2",41.7085138456437,23.7091564393316
"4","Env1",40.7654200760139,20.2982609039747
"4","Env2",38.0194488821513,16.316756828452
"5","Env1",33.7984657276801,20.2511281986933
"5","Env2",37.2131226892898,25.2280082401502
"6","Env1",51.5122145591724,19.7255790774365
"6","Env2",48.7662433653099,15.7440750019138
"7","Env1",44.4750197240206,20.2262289888438
"7","Env2",47.8896766856303,25.2031090303008
"8","Env1",46.0100430917601,20.0243695956303
"8","Env2",43.2640718978975,16.0428655201076
