,REP,TPL,CULT,DFF,PLHT,PNCLE,GRNYLD,yldSp,yldDot,yldNA,yldSp2,yldDot2,yldNA2,yldNA3,yldSp3,yldDot3,yldNA2,yldNA4,GYLDL500,TPL2,CULT2
7,1,D,CN2,139,125.6,240,2200,,.,NA,,.,NA,2200,2200,2200,NA,2200,1700,.,CN2
8,2,D,CN2,138,128.4,236,1450,,.,NA,1450,1450,1450,1450,1450,1450,NA,1450,950,.,CN2
9,3,D,CN2,139,123.2,237,2250,,.,NA,2250,2250,2250,2250,2250,2250,NA,2250,1750,.,CN2
10,1,N,CN2,116,150.6,234,3740,3740,3740,3740,3740,3740,3740,3740,3740,3740,NA,3740,3240,N,CN2
11,2,N,CN2,116,148.4,230,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,NA,4000,3500,N,CN2
12,3,N,CN2,114,153.2,232,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,NA,3550,3050,N,CN2
19,1,D,CR2,124,120.7,193,2100,,.,NA,,.,NA,2100,2100,2100,2100,2100,1600,D,CR2
20,2,D,CR2,125,124.3,190,3100,,.,NA,,.,NA,3100,3100,3100,3100,3100,2600,D,CR2
21,3,D,CR2,123,124.2,196,2750,,.,NA,,.,NA,2750,2750,2750,2750,2750,2250,D,CR2
22,1,N,CR2,112,150.7,235,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,3550,N,CR2
23,2,N,CR2,113,154.3,245,4560,4560,4560,4560,4560,4560,4560,4560,4560,4560,4560,NA,4060,N,CR2
24,3,N,CR2,113,154.2,242,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,NA,3700,N,CR2
145,1,D,S1,137,115.3,198,2260,,.,NA,,.,NA,2260,2260,2260,2260,2260,1760,D,S1
146,2,D,S1,139,112.4,205,2455,,.,NA,,.,NA,2455,2455,2455,2455,2455,1955,D,S1
147,3,D,S1,134,115.5,216,2440,,.,NA,,.,NA,2440,2440,2440,2440,2440,1940,D,S1
148,1,N,S1,115,125.3,289,3510,3510,3510,3510,3510,3510,3510,3510,3510,3510,3510,3510,3010,N,S1
149,2,N,S1,115,122.4,291,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3420,N,S1
150,3,N,S1,116,125.5,290,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,2750,N,S1
151,1,D,S2,130,120,125,2160,,.,NA,,.,NA,2160,2160,2160,2160,2160,1660,D,S2
152,2,D,S2,128,119.6,135,2330,,.,NA,,.,NA,2330,2330,2330,2330,2330,1830,D,S2
153,3,D,S2,130,120.8,133,2000,,.,NA,,.,NA,2000,2000,2000,2000,2000,1500,D,S2
154,1,N,S2,116,140,287,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4050,N,S2
155,2,N,S2,116,139.6,280,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,3500,N,S2
156,3,N,S2,118,130.8,284,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,3730,N,S2
1,1,D,CN1,136,115.8,239,1680,,.,NA,,.,NA,1680,1680,1680,1680,1680,1180,,
13,1,D,CR1,137,120.5,31,3500,,.,NA,3500,3500,3500,3500,,.,3500,3500,3000,D,
2,2,D,CN1,133,120.5,231,1350,,.,NA,,.,NA,1350,1350,1350,1350,1350,850,,
14,2,D,CR1,140,121.8,299,2700,,.,NA,,.,NA,2700,,.,2700,2700,2200,D,
3,3,D,CN1,135,117.8,234,1900,,.,NA,,.,NA,1900,1900,1900,1900,1900,1400,,
15,3,D,CR1,138,119.2,307,3200,,.,NA,,.,NA,3200,,.,3200,3200,2700,D,
4,1,N,CN1,106,140.2,274,3700,3700,3700,3700,3700,3700,3700,NA,3700,3700,3700,3700,3200,N,
16,1,N,CR1,124,130.6,227,5000,5000,5000,5000,5000,5000,5000,5000,,.,5000,5000,4500,N,
5,2,N,CN1,106,145.9,270,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3250,N,
17,2,N,CR1,127,135.2,220,4750,4750,4750,4750,4750,4750,4750,4750,,.,4750,4750,4250,N,
6,3,N,CN1,106,143.8,285,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3100,N,
18,3,N,CR1,125,133.1,210,5350,5350,5350,5350,5350,5350,5350,5350,,.,5350,5350,4850,N,
