NewColumn,X,Xal,REP,TPL,TPL2,CULT,DFF,PLHT,PNCLE,GRNYLD,yldSp,yldDot,yldNA,yldSp2,yldDot2,yldNA2,yldNA3,yldSp3,yldDot3,yldNA2.1,yldNA3.1,GYLDL500
NA,1,A,1,D,NA,CN1,136,115.8,239,1680,,.,NA,,.,NA,1680,1680,1680,1680,1680,1180
NA,2,B,2,D,NA,CN1,133,120.5,231,1350,,.,NA,,.,NA,1350,1350,1350,1350,1350,850
NA,3,C,3,D,NA,CN1,135,117.8,234,1900,,.,NA,,.,NA,1900,1900,1900,1900,1900,1400
NA,4,D,1,N,NA,CN1,106,140.2,274,3700,3700,3700,3700,3700,3700,3700,NA,3700,3700,3700,3700,3200
NA,5,E,2,N,NA,CN1,106,145.9,270,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3250
NA,6,F,3,N,NA,CN1,106,143.8,285,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3100
NA,7,G,1,D,NA,CN2,139,125.6,240,2200,,.,NA,,.,NA,2200,2200,2200,NA,2200,1700
NA,8,H,2,D,NA,CN2,138,128.4,236,1450,,.,NA,1450,1450,1450,1450,1450,1450,NA,1450,950
NA,9,I,3,D,NA,CN2,139,123.2,237,2250,,.,NA,2250,2250,2250,2250,2250,2250,NA,2250,1750
NA,10,J,1,N,D,CN2,116,150.6,234,3740,3740,3740,3740,3740,3740,3740,3740,3740,3740,NA,3740,3240
NA,11,K,2,N,D,CN2,116,148.4,230,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,NA,4000,3500
NA,12,L,3,N,D,CN2,114,153.2,232,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,NA,3550,3050
NA,13,M,1,D,D,CR1,137,120.5,31,3500,,.,NA,3500,3500,3500,3500,,.,3500,3500,3000
NA,14,N,2,D,D,CR1,140,121.8,299,2700,,.,NA,,.,NA,2700,,.,2700,2700,2200
NA,15,O,3,D,D,CR1,138,119.2,307,3200,,.,NA,,.,NA,3200,,.,3200,3200,2700
NA,16,P,1,N,D,CR1,124,130.6,227,5000,5000,5000,5000,5000,5000,5000,5000,,.,5000,5000,4500
NA,17,Q,2,N,D,CR1,127,135.2,220,4750,4750,4750,4750,4750,4750,4750,4750,,.,4750,4750,4250
NA,18,R,3,N,D,CR1,125,133.1,210,5350,5350,5350,5350,5350,5350,5350,5350,,.,5350,5350,4850
n,19,S,1,D,N,CR2,124,120.7,193,2100,,.,NA,,.,NA,2100,2100,2100,2100,2100,1600
n,20,T,2,D,N,CR2,125,124.3,190,3100,,.,NA,,.,NA,3100,3100,3100,3100,3100,2600
n,21,U,3,D,N,CR2,123,124.2,196,2750,,.,NA,,.,NA,2750,2750,2750,2750,2750,2250
n,22,V,1,N,N,CR2,112,150.7,235,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,3550
n,23,W,2,N,N,CR2,113,154.3,245,4560,4560,4560,4560,4560,4560,4560,4560,4560,4560,4560,NA,4060
n,24,X,3,N,N,CR2,113,154.2,242,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,NA,3700
n,145,Y,1,D,N,S1,137,115.3,198,2260,,.,NA,,.,NA,2260,2260,2260,2260,2260,1760
n,146,Z,2,D,N,S1,139,112.4,205,2455,,.,NA,,.,NA,2455,2455,2455,2455,2455,1955
n,147,AA,3,D,N,S1,134,115.5,216,2440,,.,NA,,.,NA,2440,2440,2440,2440,2440,1940
n,148,AB,1,N,N,S1,115,125.3,289,3510,3510,3510,3510,3510,3510,3510,3510,3510,3510,3510,3510,3010
n,149,AC,2,N,N,S1,115,122.4,291,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3420
n,150,AD,3,N,N,S1,116,125.5,290,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,2750
n,151,AE,1,D,N,S2,130,120,125,2160,,.,NA,,.,NA,2160,2160,2160,2160,2160,1660
n,152,AF,2,D,N,S2,128,119.6,135,2330,,.,NA,,.,NA,2330,2330,2330,2330,2330,1830
n,153,AG,3,D,N,S2,130,120.8,133,2000,,.,NA,,.,NA,2000,2000,2000,2000,2000,1500
n,154,AH,1,N,N,S2,116,140,287,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4550,4050
n,155,AI,2,N,N,S2,116,139.6,280,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,3500
n,156,AJ,3,N,N,S2,118,130.8,284,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,4230,3730
