KernelNumber,KernelColor,KernelType,KernelCategory
1,white,sweet,white sweet
2,yellow,sweet,yellow sweet
3,yellow,flint,yellow flint
4,yellow,flint,yellow flint
5,yellow,sweet,yellow sweet
6,yellow,flint,yellow flint
7,,,
8,yellow,flint,yellow flint
9,yellow,flint,yellow flint
10,yellow,flint,yellow flint
11,yellow,flint,yellow flint
12,yellow,flint,yellow flint
13,,,
14,yellow,sweet,yellow sweet
15,yellow,flint,yellow flint
16,yellow,sweet,yellow sweet
17,yellow,sweet,yellow sweet
18,yellow,flint,yellow flint
19,yellow,sweet,yellow sweet
20,yellow,flint,yellow flint
21,yellow,flint,yellow flint
22,yellow,flint,yellow flint
23,yellow,sweet,yellow sweet
24,yellow,flint,yellow flint
25,yellow,flint,yellow flint
26,yellow,flint,yellow flint
27,yellow,flint,yellow flint
28,yellow,sweet,yellow sweet
29,yellow,flint,yellow flint
30,,,
31,white,flint,white flint
32,white,flint,white flint
33,yellow,flint,yellow flint
34,yellow,flint,yellow flint
35,yellow,flint,yellow flint
36,yellow,flint,yellow flint
37,yellow,sweet,yellow sweet
38,yellow,flint,yellow flint
39,yellow,sweet,yellow sweet
40,white,flint,white flint
41,yellow,sweet,yellow sweet
42,yellow,sweet,yellow sweet
43,,flint,yellow flint
44,yellow,flint,yellow flint
45,white,flint,white flint
46,yellow,flint,yellow flint
47,yellow,sweet,yellow sweet
48,white,flint,white flint
49,white,flint,white flint
50,yellow,flint,yellow flint
51,yellow,flint,yellow flint
52,yellow,flint,yellow flint
53,white,flint,white flint
54,yellow,flint,yellow flint
55,white,flint,white flint
56,yellow,sweet,yellow sweet
57,yellow,sweet,yellow sweet
58,white,,white sweet
59,white,flint,white flint
60,yellow,flint,yellow flint
61,white,flint,white flint
62,yellow,flint,yellow flint
63,yellow,flint,yellow flint
64,yellow,flint,yellow flint
65,white,flint,white flint
66,yellow,sweet,yellow sweet
67,yellow,flint,yellow flint
68,white,flint,white flint
69,yellow,flint,yellow flint
70,yellow,flint,yellow flint
71,yellow,flint,yellow flint
72,yellow,sweet,yellow sweet
73,,,
74,yellow,flint,yellow flint
75,yellow,flint,yellow flint
76,yellow,flint,yellow flint
77,yellow,flint,yellow flint
78,yellow,flint,yellow flint
79,yellow,sweet,yellow sweet
80,yellow,sweet,yellow sweet
81,yellow,sweet,yellow sweet
82,yellow,flint,yellow flint
83,yellow,flint,yellow flint
84,white,flint,white flint
85,yellow,flint,yellow flint
86,white,sweet,white sweet
87,yellow,flint,yellow flint
88,yellow,sweet,yellow sweet
89,yellow,flint,yellow flint
90,yellow,flint,yellow flint
91,yellow,flint,yellow flint
92,white,flint,white flint
93,yellow,flint,yellow flint
94,,,
95,yellow,flint,yellow flint
96,yellow,flint,yellow flint
