ENV,GENOTYPES,GENO,YLD
AR_2010,FLIP 02-24C,1,0.79
AR_2010,FLIP 03-127C,2,0.98
AR_2010,FLIP 00-20C,3,1.2
AR_2010,FLIP 01-37C,4,0.87
AR_2010,FLIP 01-47C,5,0.77
AR_2010,FLIP 01-24C,6,0.74
AR_2010,FLIP 03-114C,7,0.6
AR_2010,FLIP 03-125C,8,0.7
AR_2010,FLIP 01-57C,9,0.95
AR_2010,FLIP 01-52C,10,1.01
AR_2010,FLIP 01-40C,11,1.06
AR_2010,FLIP 01-7C,12,1.04
AR_2010,FLIP 01-46C,13,1.1
AR_2010,FLIP 01-12C,14,1.08
AR_2010,FLIP 01-58C,15,1.16
AR_2010,Arerti,16,1.4
AR_2010,Habru,17,1.45
AR_2010,DZ-10-4,18,1.44
AR_2011,FLIP 02-24C,1,1.34
AR_2011,FLIP 03-127C,2,2.16
AR_2011,FLIP 00-20C,3,2
AR_2011,FLIP 01-37C,4,1.71
AR_2011,FLIP 01-47C,5,1.23
AR_2011,FLIP 01-24C,6,1.11
AR_2011,FLIP 03-114C,7,2.23
AR_2011,FLIP 03-125C,8,1.7
AR_2011,FLIP 01-57C,9,1.33
AR_2011,FLIP 01-52C,10,1.66
AR_2011,FLIP 01-40C,11,1.61
AR_2011,FLIP 01-7C,12,1.35
AR_2011,FLIP 01-46C,13,1.19
AR_2011,FLIP 01-12C,14,1.61
AR_2011,FLIP 01-58C,15,1.67
AR_2011,Arerti,16,2.06
AR_2011,Habru,17,2.03
AR_2011,DZ-10-4,18,1.59
Ak_2010,FLIP 02-24C,1,2.01
Ak_2010,FLIP 03-127C,2,2.02
Ak_2010,FLIP 00-20C,3,2.67
Ak_2010,FLIP 01-37C,4,1.61
Ak_2010,FLIP 01-47C,5,1.95
Ak_2010,FLIP 01-24C,6,1.96
Ak_2010,FLIP 03-114C,7,2.18
Ak_2010,FLIP 03-125C,8,1.94
Ak_2010,FLIP 01-57C,9,2.18
Ak_2010,FLIP 01-52C,10,1.84
Ak_2010,FLIP 01-40C,11,2.04
Ak_2010,FLIP 01-7C,12,2.13
Ak_2010,FLIP 01-46C,13,2.01
Ak_2010,FLIP 01-12C,14,2.07
Ak_2010,FLIP 01-58C,15,1.82
Ak_2010,Arerti,16,1.91
Ak_2010,Habru,17,1.67
Ak_2010,DZ-10-4,18,1.35
Ak_2011,FLIP 02-24C,1,3.06
Ak_2011,FLIP 03-127C,2,2.81
Ak_2011,FLIP 00-20C,3,3.48
Ak_2011,FLIP 01-37C,4,2.97
Ak_2011,FLIP 01-47C,5,2.8
Ak_2011,FLIP 01-24C,6,3.21
Ak_2011,FLIP 03-114C,7,3.31
Ak_2011,FLIP 03-125C,8,3.07
Ak_2011,FLIP 01-57C,9,3.27
Ak_2011,FLIP 01-52C,10,2.42
Ak_2011,FLIP 01-40C,11,3.13
Ak_2011,FLIP 01-7C,12,2.8
Ak_2011,FLIP 01-46C,13,2.96
Ak_2011,FLIP 01-12C,14,3.32
Ak_2011,FLIP 01-58C,15,3.15
Ak_2011,Arerti,16,2.94
Ak_2011,Habru,17,2.8
Ak_2011,DZ-10-4,18,1.41
CD_2010,FLIP 02-24C,1,0.78
CD_2010,FLIP 03-127C,2,0.52
CD_2010,FLIP 00-20C,3,1.32
CD_2010,FLIP 01-37C,4,1.1
CD_2010,FLIP 01-47C,5,1.49
CD_2010,FLIP 01-24C,6,0.99
CD_2010,FLIP 03-114C,7,0.41
CD_2010,FLIP 03-125C,8,0.8
CD_2010,FLIP 01-57C,9,1.65
CD_2010,FLIP 01-52C,10,1.73
CD_2010,FLIP 01-40C,11,1.84
CD_2010,FLIP 01-7C,12,1.52
CD_2010,FLIP 01-46C,13,1.52
CD_2010,FLIP 01-12C,14,1.64
CD_2010,FLIP 01-58C,15,1.18
CD_2010,Arerti,16,2.05
CD_2010,Habru,17,0.87
CD_2010,DZ-10-4,18,1.26
CD_2011,FLIP 02-24C,1,2.71
CD_2011,FLIP 03-127C,2,2.32
CD_2011,FLIP 00-20C,3,2.55
CD_2011,FLIP 01-37C,4,1.97
CD_2011,FLIP 01-47C,5,2.14
CD_2011,FLIP 01-24C,6,2.2
CD_2011,FLIP 03-114C,7,2.54
CD_2011,FLIP 03-125C,8,2.22
CD_2011,FLIP 01-57C,9,2.3
CD_2011,FLIP 01-52C,10,2.17
CD_2011,FLIP 01-40C,11,2.11
CD_2011,FLIP 01-7C,12,1.38
CD_2011,FLIP 01-46C,13,2.5
CD_2011,FLIP 01-12C,14,2.7
CD_2011,FLIP 01-58C,15,2.48
CD_2011,Arerti,16,2.8
CD_2011,Habru,17,2.94
CD_2011,DZ-10-4,18,2.41
DZ_2010,FLIP 02-24C,1,2.59
DZ_2010,FLIP 03-127C,2,2.28
DZ_2010,FLIP 00-20C,3,2.04
DZ_2010,FLIP 01-37C,4,2.06
DZ_2010,FLIP 01-47C,5,2.22
DZ_2010,FLIP 01-24C,6,2.4
DZ_2010,FLIP 03-114C,7,2.11
DZ_2010,FLIP 03-125C,8,1.94
DZ_2010,FLIP 01-57C,9,2.55
DZ_2010,FLIP 01-52C,10,2.66
DZ_2010,FLIP 01-40C,11,2.45
DZ_2010,FLIP 01-7C,12,2.36
DZ_2010,FLIP 01-46C,13,2.39
DZ_2010,FLIP 01-12C,14,2.56
DZ_2010,FLIP 01-58C,15,2.56
DZ_2010,Arerti,16,2.55
DZ_2010,Habru,17,2.2
DZ_2010,DZ-10-4,18,2.02
DZ_2011,FLIP 02-24C,1,2.26
DZ_2011,FLIP 03-127C,2,2.74
DZ_2011,FLIP 00-20C,3,2.85
DZ_2011,FLIP 01-37C,4,2.68
DZ_2011,FLIP 01-47C,5,2.33
DZ_2011,FLIP 01-24C,6,2.85
DZ_2011,FLIP 03-114C,7,2.73
DZ_2011,FLIP 03-125C,8,3.06
DZ_2011,FLIP 01-57C,9,2.7
DZ_2011,FLIP 01-52C,10,2.49
DZ_2011,FLIP 01-40C,11,2.82
DZ_2011,FLIP 01-7C,12,2.3
DZ_2011,FLIP 01-46C,13,2.49
DZ_2011,FLIP 01-12C,14,2.79
DZ_2011,FLIP 01-58C,15,2.59
DZ_2011,Arerti,16,2.69
DZ_2011,Habru,17,2.87
DZ_2011,DZ-10-4,18,1.63
Gin_2010,FLIP 02-24C,1,1.77
Gin_2010,FLIP 03-127C,2,1.51
Gin_2010,FLIP 00-20C,3,2.63
Gin_2010,FLIP 01-37C,4,2.35
Gin_2010,FLIP 01-47C,5,1.84
Gin_2010,FLIP 01-24C,6,1.87
Gin_2010,FLIP 03-114C,7,1.78
Gin_2010,FLIP 03-125C,8,2.05
Gin_2010,FLIP 01-57C,9,1.63
Gin_2010,FLIP 01-52C,10,1.91
Gin_2010,FLIP 01-40C,11,1.64
Gin_2010,FLIP 01-7C,12,1.67
Gin_2010,FLIP 01-46C,13,1.9
Gin_2010,FLIP 01-12C,14,2.15
Gin_2010,FLIP 01-58C,15,1.86
Gin_2010,Arerti,16,2.59
Gin_2010,Habru,17,2.42
Gin_2010,DZ-10-4,18,1.41
Gin_2011,FLIP 02-24C,1,3.44
Gin_2011,FLIP 03-127C,2,3.84
Gin_2011,FLIP 00-20C,3,3.61
Gin_2011,FLIP 01-37C,4,2.99
Gin_2011,FLIP 01-47C,5,3.52
Gin_2011,FLIP 01-24C,6,3.51
Gin_2011,FLIP 03-114C,7,3.95
Gin_2011,FLIP 03-125C,8,3.74
Gin_2011,FLIP 01-57C,9,3.55
Gin_2011,FLIP 01-52C,10,3.58
Gin_2011,FLIP 01-40C,11,3.46
Gin_2011,FLIP 01-7C,12,2.94
Gin_2011,FLIP 01-46C,13,3.61
Gin_2011,FLIP 01-12C,14,3.26
Gin_2011,FLIP 01-58C,15,3.9
Gin_2011,Arerti,16,4.82
Gin_2011,Habru,17,3.75
Gin_2011,DZ-10-4,18,3.24
