Statistical Tool for Agricultural Research (STAR)
Fri Sep 13 13:46:33 2013


POINTS
            MDS1        MDS2
1   -3.33243e-04 -0.01044496
2   -1.33662e-02 -0.01433130
3    3.27781e-04 -0.01379938
4    3.09714e-03 -0.00933469
5    3.91663e-03 -0.00626260
6   -1.54940e-03 -0.00773352
7    1.21854e-02 -0.00508739
8    5.90100e-03  0.00845880
9   -2.53871e-03  0.02776766
10   4.35511e-03  0.01897755
11   1.50819e-03  0.02104200
12   1.05154e-02  0.00637706
13   2.76755e-02  0.02009048
14   6.40127e-03  0.01336053
15  -6.11087e-04  0.02925178
16   1.11978e-02 -0.00320492
17  -7.83619e-05  0.02761343
18   2.67915e-03  0.02865695
19   1.24045e-03  0.01321465
20   9.02640e-03 -0.00248701
21   9.62814e-03 -0.00171490
22   2.82397e-03  0.01458760
23   2.84733e-03  0.02005748
24   5.10937e-03  0.01524009
25   5.55618e-03  0.01876887
26   8.89128e-03  0.01455844
27   1.04732e-02  0.01437843
28   6.06755e-03  0.01827219
29   3.66894e-03  0.01735523
30   1.49943e-02  0.01276181
31  -3.29329e-03  0.03164183
32  -3.40255e-03  0.03553066
33   8.64148e-02  0.00241958
34   8.67519e-02  0.00554813
35   2.25277e-02  0.00240076
36   2.56948e-02  0.00760753
37   2.95677e-02  0.01292191
38   8.73479e-02  0.00773453
39   1.87683e-02  0.00386855
40   2.80178e-02  0.00288150
41   3.00849e-02  0.00535622
42   3.11566e-02  0.00113666
43  -6.72899e-03 -0.01993803
44  -7.80506e-03 -0.01831312
45   2.02859e-03 -0.02101741
46  -5.56353e-03 -0.01461197
47  -8.41915e-03 -0.01783949
48  -3.28892e-03 -0.02472802
49  -3.20574e-03 -0.02171915
50  -5.39241e-03 -0.01743552
51  -8.02024e-04 -0.01283819
52  -4.59638e-03 -0.01882825
53  -7.20791e-03 -0.02025518
54  -3.20017e-03 -0.01879833
55  -9.82315e-03 -0.01524315
56  -1.60363e-03 -0.01498378
57  -1.10951e-03 -0.01501553
58  -4.90128e-03 -0.01954900
59  -2.29530e-03 -0.02157888
60  -3.09730e-03 -0.02102239
61  -5.38397e-03 -0.02076672
62  -5.09643e-03 -0.01990999
63  -8.38458e-03 -0.01467613
64   6.03418e-04 -0.01418403
65  -6.59720e-03 -0.01836204
66   4.40895e-03 -0.01207809
67  -3.02748e-03 -0.01858311
68  -6.75602e-04 -0.02259713
69   8.67186e-03 -0.02146072
70   2.16408e-03 -0.02334041
71  -3.17390e-03 -0.01255791
72  -1.24226e-02 -0.00944984
73   3.17432e-03 -0.01989610
74  -2.57544e-03 -0.02061224
75  -6.62196e-03 -0.00864010
