Row,Grp,SPKLT,SPKWD,SLLT,SLWD,AWLT,AWWD
1,1,8.56,2.18,3.65,0.31,25.07,0.18
2,1,7.47,2.33,2.11,0.56,53.8,0.2
3,1,7.55,2.55,2.72,0.42,44.3,0.2
4,1,7.63,2.49,1.83,0.36,30.6,0.21
5,1,7.72,2.65,2.06,0.39,27.67,0.2
6,2,8.37,2.18,2.51,0.45,38.53,0.21
7,2,6.04,2.22,0.88,0.4,33.4,0.15
8,2,5.84,2.37,1.41,0.68,10.83,0.13
9,2,5.65,1.78,2.11,0.49,23.68,0.14
10,2,6.03,2.12,1.37,0.53,17.3,0.16
11,3,6.4,2,1.55,0.46,22.41,0.17
12,3,6.1,2.12,0.84,0.48,18.9,0.13
13,3,6.19,2.28,1.62,0.62,3.69,0.05
14,3,6.38,2.09,1.2,0.58,10.23,0.14
15,3,5.36,1.74,1.98,0.53,20.78,0.15
16,4,6.16,2.31,1,0.44,35.2,0.16
17,4,5.62,1.83,1.99,0.55,19.57,0.14
18,4,5.2,1.73,1.87,0.51,14.02,0.1
19,4,5.55,1.9,1.52,0.55,16.72,0.15
20,4,6.1,2.31,0.98,0.45,35.95,0.18
