Env,MODULE,METNO,Geno,Mean_Yield,Rank
Nueva Ecija,2,MT4829,PR38012-3B-3-1,9.15,1
Nueva Ecija,2,MT4353,IR 07A179,8.87,2
Nueva Ecija,2,MT4818,PR37704-2B-6-1-2-1-1,8.80,3
Nueva Ecija,2,MT4471,IR 10N225,8.68,4
Nueva Ecija,2,MT4867,PR35786-B-3-3-2-1-1,8.63,5
Nueva Ecija,2,MT4488,IR 10N304,8.61,6
Nueva Ecija,2,MT4835,PR35251-2B-5-5-3-1-1,8.53,7
Nueva Ecija,2,MT5432,NSIC Rc124H (MESTIZO 4),8.45,8
Nueva Ecija,2,MT4413,IR 10N230,8.44,9
Nueva Ecija,2,MT4874,PR36831-31-1-1-1-1-1,8.38,10
Nueva Ecija,2,MT4377,IR 09N142,8.31,11
Nueva Ecija,2,MT4843,PR37952-B-4-1-3,8.28,12
Nueva Ecija,2,MT4889,PR34859-B-4-1-1-2-1(G),8.21,13
Nueva Ecija,2,MT4414,IR 10N226,8.13,14
Nueva Ecija,2,MT4398,IR 04A115,8.05,15
Nueva Ecija,2,MT4447,IR 04A409,7.97,16
Nueva Ecija,2,MT4886,PR36933-B-1-36-1-1-1,7.94,17
Nueva Ecija,2,MT4494,IR 10F203,7.81,18
Nueva Ecija,2,MT4406,IR 05N170,7.75,19
Nueva Ecija,2,MT4479,IR 09N272,7.49,20
Nueva Ecija,2,MT4903,NSIC RC222,7.32,21
Nueva Ecija,2,MT4457,IR 10F336,7.29,22
Nueva Ecija,2,MT4363,IR 05N419,7.26,23
Nueva Ecija,2,MT5435,NSIC Rc158,7.08,24
Nueva Ecija,2,MT4404,IR 06N234,6.81,25
Nueva Ecija,2,MT4904,PSB Rc18,5.73,26
Isabela,2,MT4398,IR 04A115,6.95,1
Isabela,2,MT4889,PR34859-B-4-1-1-2-1(G),6.81,2
Isabela,2,MT4835,PR35251-2B-5-5-3-1-1,6.55,3
Isabela,2,MT4886,PR36933-B-1-36-1-1-1,6.53,4
Isabela,2,MT4488,IR 10N304,6.35,5
Isabela,2,MT5435,NSIC Rc158,6.26,6
Isabela,2,MT4818,PR37704-2B-6-1-2-1-1,6.16,7
Isabela,2,MT4414,IR 10N226,6.14,8
Isabela,2,MT4829,PR38012-3B-3-1,6.00,9
Isabela,2,MT4874,PR36831-31-1-1-1-1-1,5.99,10
Isabela,2,MT4903,NSIC RC222,5.91,11
Isabela,2,MT5432,NSIC Rc124H (MESTIZO 4),5.85,12
Isabela,2,MT4377,IR 09N142,5.81,13
Isabela,2,MT4471,IR 10N225,5.77,14
Isabela,2,MT4413,IR 10N230,5.76,15
Isabela,2,MT4867,PR35786-B-3-3-2-1-1,5.75,16
Isabela,2,MT4363,IR 05N419,5.59,17
Isabela,2,MT4406,IR 05N170,5.56,18
Isabela,2,MT4447,IR 04A409,5.08,19
Isabela,2,MT4404,IR 06N234,5.05,20
Isabela,2,MT4904,PSB Rc18,5.05,21
Isabela,2,MT4457,IR 10F336,5.03,22
Isabela,2,MT4494,IR 10F203,4.89,23
Isabela,2,MT4479,IR 09N272,4.63,24
