Env,Genotype,Yield
E1,G1,0.79
E1,G2,0.59
E1,G3,1.18
E1,G4,2.17
E1,G5,0.99
E1,G6,1.57
E1,G7,2.38
E1,G8,0.98
E2,G1,2.11
E2,G2,0.92
E2,G3,3.44
E2,G4,4.46
E2,G5,4.83
E2,G6,3.94
E2,G7,4.74
E2,G8,2.56
E3,G1,6.21
E3,G2,10.11
E3,G3,4.08
E3,G4,6.51
E3,G5,6.71
E3,G6,7.49
E3,G7,9.94
E3,G8,12.02
E4,G1,0.56
E4,G2,0.74
E4,G3,0.5
E4,G4,0.35
E4,G5,1.43
E4,G6,0.61
E4,G7,1.31
E4,G8,3.31
E5,G1,4.06
E5,G2,4.01
E5,G3,6.91
E5,G4,4.8
E5,G5,5.83
E5,G6,5.88
E5,G7,5.74
E5,G8,5.41
E6,G1,2.13
E6,G2,1.12
E6,G3,4.27
E6,G4,5.99
E6,G5,2.95
E6,G6,2.74
E6,G7,5.59
E6,G8,2.03
E7,G1,5.61
E7,G2,4.58
E7,G3,6.87
E7,G4,5.44
E7,G5,3.66
E7,G6,7.22
E7,G7,9.01
E7,G8,5.92
E8,G1,0.2
E8,G2,0.7
E8,G3,0.3
E8,G4,1.2
E8,G5,0.5
E8,G6,1.19
E8,G7,0.7
E8,G8,0.3
E9,G1,3.32
E9,G2,2.61
E9,G3,4.57
E9,G4,4.21
E9,G5,1.54
E9,G6,4.81
E9,G7,4.47
E9,G8,4.39
E10,G1,3.01
E10,G2,1.49
E10,G3,2.88
E10,G4,3.59
E10,G5,2.55
E10,G6,3.72
E10,G7,3.59
E10,G8,4.19
E11,G1,5.12
E11,G2,4.59
E11,G3,6.61
E11,G4,4.89
E11,G5,5.7
E11,G6,5.59
E11,G7,4.85
E11,G8,6.1
E12,G1,0.77
E12,G2,0.2
E12,G3,0.59
E12,G4,0.39
E12,G5,1.83
E12,G6,0.38
E12,G7,3.48
E12,G8,0.39
E13,G1,0.78
E13,G2,1.33
E13,G3,0.97
E13,G4,2.26
E13,G5,0.39
E13,G6,1.36
E13,G7,2.35
E13,G8,1.97
E14,G1,0.62
E14,G2,0.62
E14,G3,1.02
E14,G4,2.05
E14,G5,1.44
E14,G6,1.43
E14,G7,1.23
E14,G8,0.62
E15,G1,2
E15,G2,2.67
E15,G3,1.45
E15,G4,3.33
E15,G5,1.66
E15,G6,3.94
E15,G7,3.22
E15,G8,4.93
E16,G1,5.87
E16,G2,5.58
E16,G3,5.32
E16,G4,8.55
E16,G5,5.36
E16,G6,9.15
E16,G7,11.21
E16,G8,8.89
E17,G1,2.5
E17,G2,2.22
E17,G3,2.65
E17,G4,2.1
E17,G5,1.32
E17,G6,2.5
E17,G7,2.89
E17,G8,3.45
E18,G1,0.49
E18,G2,0.93
E18,G3,2.73
E18,G4,2.39
E18,G5,1.19
E18,G6,2.56
E18,G7,3.01
E18,G8,2.95
E19,G1,0.42
E19,G2,0.4
E19,G3,1.31
E19,G4,0.03
E19,G5,0.08
E19,G6,0.08
E19,G7,0.33
E19,G8,0.01
E20,G1,0.73
E20,G2,0.68
E20,G3,2.63
E20,G4,1.81
E20,G5,1.03
E20,G6,0.68
E20,G7,0.91
E20,G8,0.62
E21,G1,5.66
E21,G2,4.28
E21,G3,6.51
E21,G4,6.05
E21,G5,5.38
E21,G6,6.46
E21,G7,9.15
E21,G8,8.35
E22,G1,4.61
E22,G2,3.89
E22,G3,5.42
E22,G4,6.31
E22,G5,2.45
E22,G6,6.02
E22,G7,7.03
E22,G8,5.71
E23,G1,3.98
E23,G2,2.98
E23,G3,5.43
E23,G4,6.53
E23,G5,5.18
E23,G6,5.28
E23,G7,6.39
E23,G8,5.86
E24,G1,0.32
E24,G2,1.78
E24,G3,0.6
E24,G4,1.94
E24,G5,0.54
E24,G6,2.52
E24,G7,2.13
E24,G8,0.38
