Env,Genotype,Yield
Env1,Geno1,0.79
Env1,Geno2,0.59
Env1,Geno3,1.18
Env1,Geno4,2.17
Env1,Geno5,0.99
Env1,Geno6,1.57
Env1,Geno7,2.38
Env1,Geno8,0.98
Env2,Geno1,2.11
Env2,Geno2,0.92
Env2,Geno3,3.44
Env2,Geno4,4.46
Env2,Geno5,4.83
Env2,Geno6,3.94
Env2,Geno7,4.74
Env2,Geno8,2.56
Env3,Geno1,6.21
Env3,Geno2,10.11
Env3,Geno3,4.08
Env3,Geno4,6.51
Env3,Geno5,6.71
Env3,Geno6,7.49
Env3,Geno7,9.94
Env3,Geno8,12.02
Env4,Geno1,0.56
Env4,Geno2,0.74
Env4,Geno3,0.5
Env4,Geno4,0.35
Env4,Geno5,1.43
Env4,Geno6,0.61
Env4,Geno7,1.31
Env4,Geno8,3.31
Env5,Geno1,4.06
Env5,Geno2,4.01
Env5,Geno3,6.91
Env5,Geno4,4.8
Env5,Geno5,5.83
Env5,Geno6,5.88
Env5,Geno7,5.74
Env5,Geno8,5.41
Env6,Geno1,2.13
Env6,Geno2,1.12
Env6,Geno3,4.27
Env6,Geno4,5.99
Env6,Geno5,2.95
Env6,Geno6,2.74
Env6,Geno7,5.59
Env6,Geno8,2.03
Env7,Geno1,5.61
Env7,Geno2,4.58
Env7,Geno3,6.87
Env7,Geno4,5.44
Env7,Geno5,3.66
Env7,Geno6,7.22
Env7,Geno7,9.01
Env7,Geno8,5.92
Env8,Geno1,0.2
Env8,Geno2,0.7
Env8,Geno3,0.3
Env8,Geno4,1.2
Env8,Geno5,0.5
Env8,Geno6,1.19
Env8,Geno7,0.7
Env8,Geno8,0.3
Env9,Geno1,3.32
Env9,Geno2,2.61
Env9,Geno3,4.57
Env9,Geno4,4.21
Env9,Geno5,1.54
Env9,Geno6,4.81
Env9,Geno7,4.47
Env9,Geno8,4.39
Env10,Geno1,3.01
Env10,Geno2,1.49
Env10,Geno3,2.88
Env10,Geno4,3.59
Env10,Geno5,2.55
Env10,Geno6,3.72
Env10,Geno7,3.59
Env10,Geno8,4.19
Env11,Geno1,5.12
Env11,Geno2,4.59
Env11,Geno3,6.61
Env11,Geno4,4.89
Env11,Geno5,5.7
Env11,Geno6,5.59
Env11,Geno7,4.85
Env11,Geno8,6.1
Env12,Geno1,0.77
Env12,Geno2,0.2
Env12,Geno3,0.59
Env12,Geno4,0.39
Env12,Geno5,1.83
Env12,Geno6,0.38
Env12,Geno7,3.48
Env12,Geno8,0.39
Env13,Geno1,0.78
Env13,Geno2,1.33
Env13,Geno3,0.97
Env13,Geno4,2.26
Env13,Geno5,0.39
Env13,Geno6,1.36
Env13,Geno7,2.35
Env13,Geno8,1.97
Env14,Geno1,0.62
Env14,Geno2,0.62
Env14,Geno3,1.02
Env14,Geno4,2.05
Env14,Geno5,1.44
Env14,Geno6,1.43
Env14,Geno7,1.23
Env14,Geno8,0.62
Env15,Geno1,2
Env15,Geno2,2.67
Env15,Geno3,1.45
Env15,Geno4,3.33
Env15,Geno5,1.66
Env15,Geno6,3.94
Env15,Geno7,3.22
Env15,Geno8,4.93
Env16,Geno1,5.87
Env16,Geno2,5.58
Env16,Geno3,5.32
Env16,Geno4,8.55
Env16,Geno5,5.36
Env16,Geno6,9.15
Env16,Geno7,11.21
Env16,Geno8,8.89
Env17,Geno1,2.5
Env17,Geno2,2.22
Env17,Geno3,2.65
Env17,Geno4,2.1
Env17,Geno5,1.32
Env17,Geno6,2.5
Env17,Geno7,2.89
Env17,Geno8,3.45
Env18,Geno1,0.49
Env18,Geno2,0.93
Env18,Geno3,2.73
Env18,Geno4,2.39
Env18,Geno5,1.19
Env18,Geno6,2.56
Env18,Geno7,3.01
Env18,Geno8,2.95
Env19,Geno1,0.42
Env19,Geno2,0.4
Env19,Geno3,1.31
Env19,Geno4,0.03
Env19,Geno5,0.08
Env19,Geno6,0.08
Env19,Geno7,0.33
Env19,Geno8,0.01
Env20,Geno1,0.73
Env20,Geno2,0.68
Env20,Geno3,2.63
Env20,Geno4,1.81
Env20,Geno5,1.03
Env20,Geno6,0.68
Env20,Geno7,0.91
Env20,Geno8,0.62
Env21,Geno1,5.66
Env21,Geno2,4.28
Env21,Geno3,6.51
Env21,Geno4,6.05
Env21,Geno5,5.38
Env21,Geno6,6.46
Env21,Geno7,9.15
Env21,Geno8,8.35
Env22,Geno1,4.61
Env22,Geno2,3.89
Env22,Geno3,5.42
Env22,Geno4,6.31
Env22,Geno5,2.45
Env22,Geno6,6.02
Env22,Geno7,7.03
Env22,Geno8,5.71
Env23,Geno1,3.98
Env23,Geno2,2.98
Env23,Geno3,5.43
Env23,Geno4,6.53
Env23,Geno5,5.18
Env23,Geno6,5.28
Env23,Geno7,6.39
Env23,Geno8,5.86
Env24,Geno1,0.32
Env24,Geno2,1.78
Env24,Geno3,0.6
Env24,Geno4,1.94
Env24,Geno5,0.54
Env24,Geno6,2.52
Env24,Geno7,2.13
Env24,Geno8,0.38
