Trial,replication,block,cols,Treatment,plots,male,fem,Y,Y2
1,1,1,1,T4,1,2,F2,102.8802169,
1,1,1,2,T12,2,6,F2,238.6283803,
1,1,1,3,T7,3,4,F1,335.364167,
1,1,2,1,T5,4,3,F1,195.0446028,
1,1,2,2,T10,5,5,F2,164.6994591,
1,1,2,3,T1,6,1,F1,52.65835989,
1,1,3,1,T2,7,1,F2,27.66621372,
1,1,3,2,T11,8,6,F1,296.9939831,
1,1,3,3,T9,9,5,F1,104.7811547,
1,1,4,1,T6,10,3,F2,202.1054665,
1,1,4,2,T3,11,2,F1,82.56161232,
1,1,4,3,T8,12,4,F2,311.5313897,
1,2,5,1,T12,13,6,F2,35.35034505,
1,2,5,2,T10,14,5,F2,28.4617129,
1,2,5,3,T9,15,5,F1,89.11891973,
1,2,6,1,T5,16,3,F1,130.4641837,
1,2,6,2,T3,17,2,F1,44.79451417,
1,2,6,3,T4,18,2,F2,122.0254726,
1,2,7,1,T1,19,1,F1,92.24250138,
1,2,7,2,T6,20,3,F2,161.1821747,
1,2,7,3,T2,21,1,F2,46.18562727,
1,2,8,1,T8,22,4,F2,337.3158203,
1,2,8,2,T7,23,4,F1,362.1811731,
1,2,8,3,T11,24,6,F1,187.8475215,
2,1,1,1,T4,1,2,F2,54.568965,
2,1,1,2,T12,2,6,F2,357.9425705,
2,1,1,3,T7,3,4,F1,603.4652,
2,1,2,1,T5,4,3,F1,292.4532,
2,1,2,2,T10,5,5,F2,247.0491887,
2,1,2,3,T1,6,1,F1,41.49932,
2,1,3,1,T2,7,1,F2,128.54245,
2,1,3,2,T11,8,6,F1,445.4909747,
2,1,3,3,T9,9,5,F1,157.1717321,
2,1,4,1,T6,10,3,F2,203.4457,
2,1,4,2,T3,11,2,F1,123.4457,
2,1,4,3,T8,12,4,F2,367.4322,
2,2,5,1,T12,13,6,F2,53.02551758,
2,2,5,2,T10,14,5,F2,42.69256935,
2,2,5,3,T9,15,5,F1,133.6783796,
2,2,6,1,T5,16,3,F1,195.6444,
2,2,6,2,T3,17,2,F1,167.4533,
2,2,6,3,T4,18,2,F2,83.67444,
2,2,7,1,T1,19,1,F1,69.27844,
2,2,7,2,T6,20,3,F2,241.6674,
2,2,7,3,T2,21,1,F2,128.45236,
2,2,8,1,T8,22,4,F2,333.5733,
2,2,8,2,T7,23,4,F1,343.2242,
2,2,8,3,T11,24,6,F1,281.7712823,
