Rep,Treatment,Variety,Ave shoot length,Ave Root Length,Ave shoot fresh weight,Ave Root Fresh weight,Ave Shoot Dry Weight,Ave Root Dry Weight',Si Content
1,No Si,BR29,53,31.125,2.2675,1.615,0.509,0.15475,1.18
1,No Si,BR29-SALTOL,62.125,25.5,2.5525,0.9325,0.52475,0.142,1.25
1,No Si,IR64,58.125,22.75,2.075,2.355,0.5325,0.10575,0.825
1,No Si,FL478,64.125,24.75,3.37,1.305,0.61925,0.18175,0.9
1,Si,BR29-Si,53.875,25,1.8825,0.795,0.3845,0.127,1.88
1,Si,BR29-SALTOL-Si,58.875,27.5,2.8125,1.9225,0.59775,0.21025,1.93
1,Si,IR64-Si,57.875,28.75,2.295,1.1175,0.647,0.137,1.88
1,Si,FL478-Si,63.5,25.5,3.0875,1.385,0.741,0.159,1.4
1,RH,BR29-R,53.875,26.5,2.165,1.3375,0.54275,0.15225,1.35
1,RH,BR29-SALTOL-R,54.25,24.275,1.5,0.8275,0.34625,0.0895,1.53
1,RH,IR64-R,48.125,26.625,1.135,0.61,0.3795,0.074,1.33
1,RH,FL478-R,66.75,25.5,3.64,1.55,0.9895,0.23025,1.05
2,No Si,BR29,54.5,25.625,2.195,1.165,0.473,0.142,1.33
2,No Si,BR29-SALTOL,56.5,32,2.55,2.15,0.58075,0.247,1.15
2,No Si,IR64,50.66666667,24.75,1.5825,0.6625,0.41325,0.08225,0.95
2,No Si,FL478,60.75,25.375,3.3025,1.2725,0.798,0.188,0.65
2,Si,BR29-Si,54,33.75,2.2575,1.2975,0.493,0.14625,1.7
2,Si,BR29-SALTOL-Si,59.125,28.5,2.6375,1.1025,0.54125,0.1325,1.68
2,Si,IR64-Si,58.5,33.5,1.98,1.3725,0.639,0.1285,1.8
2,Si,FL478-Si,66.125,27.75,3.8325,1.195,0.90425,0.178,1.2
2,RH,BR29-R,53.5,26.625,1.8375,0.705,0.3835,0.09475,1.3
2,RH,BR29-SALTOL-R,55.625,24,1.595,0.625,0.31175,0.07025,1.8
2,RH,IR64-R,54.75,30,2.105,1.1125,0.574,0.11725,1.18
2,RH,FL478-R,60,20.25,2.8925,1.24,0.82025,0.13875,1.18
3,No Si,BR29,47.75,25,1.8525,1.5175,0.432,0.136,1.1
3,No Si,BR29-SALTOL,57,22,2.5575,1.63,0.5265,0.1335,1.35
3,No Si,IR64,55.25,27,2.24,0.73,0.6075,0.08675,1.18
3,No Si,FL478,58.5,20.75,3.7375,1.5525,0.85975,0.174,0.775
3,Si,BR29-Si,54.75,27.75,2.19,1.3775,0.47425,0.12075,2.2
3,Si,BR29-SALTOL-Si,54,21.5,2.2925,1.1125,0.493,0.12,1.8
3,Si,IR64-Si,53.25,31,2.3725,1.44,0.70875,0.14425,1.75
3,Si,FL478-Si,65.5,24.25,3.4575,1.585,0.9035,0.17475,1.58
3,RH,BR29-R,53.5,18.75,1.9625,0.86,0.42275,0.078,1.45
3,RH,BR29-SALTOL-R,55.75,26.5,2.1175,1.39,0.49,0.162,1.88
3,RH,IR64-R,52.75,22.5,2.4025,1.105,0.674,0.142,1.38
3,RH,FL478-R,65.75,19.25,4.26,1.805,1.07025,0.2165,1.23
