SPECIES,code,CODE_ACCNO1,SPKLT,SPKWD,SLLT,SLWD,AWLT,AWWD,ANLT,STGLT,STYLT,FLLT,FLWD,LLT_2ND,LWD_2ND,LIGLT,PANLT,DIST,PANBR,CULT,CUDI,DAYS_TO_FLOWERING
O. alta,1,A_100161,8.56,2.18,3.65,0.31,25.07,0.18,3.93,1.91,0.79,36.53,36.53,60.6,39.53,5.03,39.47,39.67,5.93,259.33,6.65,69.67
O. alta,1,A_101395,7.47,2.33,2.11,0.56,53.8,0.2,3.46,2.08,0.66,36.27,43.87,61.93,43.07,4.1,44.67,41.07,5.33,212.27,6.4,36.67
O. alta,1,A_105138,7.55,2.55,2.72,0.42,44.3,0.2,3.3,2.09,0.84,49.8,38.2,66.7,39.2,4.47,44.1,100.7,7,254.8,7.92,75.5
O. alta,1,A_105143,7.63,2.49,1.83,0.36,30.6,0.21,3.44,2.04,0.81,37.27,34.87,61.93,38.8,6.01,41.27,95.4,4.8,206.27,7.48,86.33
O. alta,1,A_105222,7.72,2.65,2.06,0.39,27.67,0.2,2.63,2.39,0.75,33.8,26.93,53.13,28.4,3.61,38.27,101,4.27,239.33,7.89,97.67
O. alta,1,A_105685,8.37,2.18,2.51,0.45,38.53,0.21,4.53,2.79,0.86,29.07,35.33,57.67,38.73,4.36,44.73,81.93,5.67,276.73,8.59,67
O. eichingeri,2,E_100881,6.04,2.22,0.88,0.4,33.4,0.15,2.3,1.51,0.74,30.2,24.75,53.65,28.25,8.6,35.65,43.7,3.6,191.45,6.31,95
O. eichingeri,2,E_100954,5.84,2.37,1.41,0.68,10.83,0.13,2.82,2.32,0.91,29.44,17.32,42.17,17,3.18,33.23,54.04,2.64,146.12,4.53,101.8
O. eichingeri,2,E_101424,5.65,1.78,2.11,0.49,23.68,0.14,1.95,2.2,0.77,15.47,11.6,20.04,11.04,1.08,16.34,26.12,1.08,84.88,1.82,78.2
O. eichingeri,2,E_101425,6.03,2.12,1.37,0.53,17.3,0.16,2.38,2.33,0.86,23.31,14,30.92,13.08,2.08,25.62,63,1.08,103.76,2.68,88.8
O. eichingeri,2,E_101426,6.4,2,1.55,0.46,22.41,0.17,2.57,2.42,0.92,25.43,15.12,27.9,13.8,2.11,23.67,49.6,1,85.68,2.53,89.6
O. eichingeri,2,E_101429,6.1,2.12,0.84,0.48,18.9,0.13,2.63,2.19,0.81,21,18.65,33.95,19.8,5.72,27.95,51.05,2.2,212.95,6.71,124
O. eichingeri,2,E_101430,6.19,2.28,1.62,0.62,3.69,0.05,3.66,2.25,0.7,23.14,13.32,46.2,14.28,5.9,29.51,50.92,1.04,180.88,4.52,112.8
O. eichingeri,2,E_101442,6.38,2.09,1.2,0.58,10.23,0.14,2.24,1.92,0.79,22.7,17.12,32.07,17.44,1.87,25.65,50.2,1.2,102.52,3.04,79.6
O. eichingeri,2,E_105159,5.36,1.74,1.98,0.53,20.78,0.15,1.84,2.22,0.66,14.23,10.75,18.73,10.65,0.99,15.16,27.6,1.05,91.75,1.59,85.75
O. eichingeri,2,E_105160,6.16,2.31,1,0.44,35.2,0.16,2.36,1.5,0.73,28,23.65,49.05,27.35,8.33,35.75,53.15,3.2,190.45,6.42,100.75
O. eichingeri,2,E_105161,5.62,1.83,1.99,0.55,19.57,0.14,1.92,1.77,0.7,13.01,11.16,17.13,10.68,1.3,15.55,30.88,1,78.64,1.62,80.4
O. eichingeri,2,E_105162,5.2,1.73,1.87,0.51,14.02,0.1,1.84,2,0.7,12.19,11.08,15.7,10.72,0.96,14.19,29.88,1,78.56,1.57,80
O. eichingeri,2,E_105163,5.55,1.9,1.52,0.55,16.72,0.15,2.1,1.82,0.66,22.71,16.2,27.27,14.87,3.33,20.46,25,1.93,113.93,3.1,92.67
O. eichingeri,2,E_105181,6.1,2.31,0.98,0.45,35.95,0.18,2.49,1.7,0.73,29.8,24.95,50.35,28,8.52,36.4,49.9,3.55,193.35,6.28,98.75
O. eichingeri,2,E_105182,6.04,2.24,0.92,0.39,33.1,0.16,2.42,1.6,0.74,26.25,21.7,45.25,24.4,8.31,35.15,49.25,3.15,198.85,6.28,92.25
O. eichingeri,2,E_105407,6.35,2.07,1.37,0.56,16.8,0.16,2.51,2.4,0.94,25.76,15.08,35.97,14.76,2.94,30.78,53.04,1.24,114.92,3.37,80.4
O. eichingeri,2,E_105408,6.6,2.06,1.46,0.58,17.28,0.2,2.19,2.01,0.79,21.34,14.72,27.72,13.36,1.69,23.75,49.84,1,94.32,2.41,79.4
O. eichingeri,2,E_105412,5.68,2.13,1.11,0.56,12.76,0.18,2.36,2.2,0.82,23.71,15.8,33.63,14.6,3.21,26.46,60.12,1.08,102.2,2.6,79
O. eichingeri,2,E_105413,5.76,1.92,1.14,0.49,10.82,0.15,2.2,1.96,0.82,17.58,13.92,27.37,13.6,1.66,21.89,53,1.04,90.8,2.52,75.6
O. eichingeri,2,E_105414,5.48,2.1,1.26,0.55,9.05,0.15,2.08,1.9,0.71,26.49,15.6,33.54,14.2,2.06,26.32,51.44,1,101.84,2.68,83.4
O. eichingeri,2,E_105415,5.37,2.03,1.09,0.49,7.97,0.16,1.84,1.73,0.68,23.4,15.6,30.94,14.24,2.4,24.67,55.28,1,89.88,2.48,80.2
O. eichingeri,2,E_81803,5.62,1.99,1.04,0.54,9.65,0.14,2.35,2.04,0.77,21.14,15.08,28.5,14.36,1.67,22.02,50.6,1,86.6,2.53,77.25
O. eichingeri,2,E_81804,5.89,1.94,1.1,0.54,12.68,0.15,2.04,1.98,0.76,21.44,14.36,28.6,13.16,1.88,21.26,48.28,1.08,87.28,2.33,74.4
O. eichingeri,2,E_86466,5.59,2.09,1,0.63,9.92,0.16,3.36,1.88,0.74,28.78,15.6,44.45,16.24,6.39,30.54,55.32,1.24,165.96,3.89,109.2
