QTL ANALYSIS

Method: Interval Mapping

Trait:  T264 

Markers with lod scores above the cut-off:

-------------------------- 
Marker   chr     pos   lod
-------------------------- 
D5M257   5     19.22  5.70
D5M83    5     19.55  6.03
D5M307   5     23.72  5.65
D5M357   5     25.50  6.37
D5M205   5     30.90  6.02
D5M398   5     30.90  6.02
D5M91    5     32.91  5.84
D5M338   5     38.07  4.82
D5M188   5     44.02  3.35
D5M29    5     50.98  3.14
D6M201   6     59.01  3.32
D6M15    6     59.37  3.33
D6M294   6     60.76  3.05
D13M21   13    10.37  3.25
D13M39   13    13.05  3.61
D13M167  13    13.05  3.61
D13M99   13    18.91  4.40
D13M233  13    21.01  3.91
D13M106  13    24.88  4.67
D13M147  13    26.16  5.92
D13M226  13    28.39  4.60
D13M290  13    28.39  4.60
D15M68   15    23.91  3.16
-------------------------- 
