Rep,Nitrogen,Variety,Yield,yld2,yld3
1,0,C4-63       ,3464,6928,2000
2,0,C4-63       ,2944,5888,1944
3,0,C4-63       ,3142,6284,2142
1,60,C4-63       ,4768,9536,3768
2,60,C4-63       ,6004,12008,5004
3,60,C4-63       ,5556,11000,4556
1,90,C4-63       ,6244,12488,5000
2,90,C4-63       ,5724,11448,4724
3,90,C4-63       ,6014,12028,5014
1,120,C4-63       ,5792,11584,4792
2,120,C4-63       ,5880,11760,4880
3,120,C4-63       ,6370,12740,5370
1,150,C4-63       ,7080,14160,6080
2,150,C4-63       ,6662,13324,5662
3,150,C4-63       ,6320,12640,5320
1,180,C4-63       ,5594,11188,4594
2,180,C4-63       ,7122,14244,6122
3,180,C4-63       ,5480,10960,4480
1,0,IR5         ,3944,7888,2944
2,0,IR5         ,5314,10628,4314
3,0,IR5         ,3660,4000,2660
1,60,IR5         ,6502,13004,5502
2,60,IR5         ,5858,11716,4858
3,60,IR5         ,5586,11172,4586
1,90,IR5         ,6008,12016,5008
2,90,IR5         ,6127,12254,5127
3,90,IR5         ,6642,13284,5642
1,120,IR5         ,7139,14278,6139
2,120,IR5         ,6982,13964,5982
3,120,IR5         ,6564,13128,5564
1,150,IR5         ,7682,15364,6682
2,150,IR5         ,6594,13188,5594
3,150,IR5         ,6576,13152,5576
1,180,IR5         ,6228,12456,5228
2,180,IR5         ,7387,14774,6387
3,180,IR5         ,6006,12012,5006
1,0,IR8         ,4430,8860,3430
2,0,IR8         ,4478,8956,3478
3,0,IR8         ,3850,7700,2850
1,60,IR8         ,5418,10836,4418
2,60,IR8         ,5166,10332,4166
3,60,IR8         ,6432,12864,5432
1,90,IR8         ,6076,12152,5076
2,90,IR8         ,6420,12840,5420
3,90,IR8         ,6704,13408,5704
1,120,IR8         ,6462,12924,5462
2,120,IR8         ,7056,14112,6056
3,120,IR8         ,6680,13360,5680
1,150,IR8         ,7290,14580,6290
2,150,IR8         ,7848,15696,6848
3,150,IR8         ,7552,15104,6552
1,180,IR8         ,8452,16904,7452
2,180,IR8         ,8832,17664,7832
3,180,IR8         ,8818,17636,7818
1,0,Peta        ,4126,8252,3126
2,0,Peta        ,4482,8964,3482
3,0,Peta        ,4836,9672,3836
1,60,Peta        ,5192,10384,4192
2,60,Peta        ,4604,9208,3604
3,60,Peta        ,4652,9304,3652
1,90,Peta        ,4546,9092,3546
2,90,Peta        ,5744,11488,4744
3,90,Peta        ,4146,8292,3146
1,120,Peta        ,2774,5548,1774
2,120,Peta        ,5036,10072,4036
3,120,Peta        ,3638,7276,2638
1,150,Peta        ,1414,2828,414
2,150,Peta        ,1960,3920,960
3,150,Peta        ,2766,5532,1766
1,180,Peta        ,2248,4496,1248
2,180,Peta        ,1380,2760,380
3,180,Peta        ,2014,4028,1014
