Env,Block,Female,Male,Y
A,1,P1,1,3.6
A,1,P1,2,4.5
A,1,P1,3,3.7
A,1,P1,4,4.2
A,1,P1,5,4.3
A,1,P1,6,4.2
A,1,P1,7,3.7
A,1,P1,8,3.9
A,1,P1,9,4.5
A,1,P1,10,4.9
A,1,P2,1,3.2
A,1,P2,2,3.6
A,1,P2,3,3.7
A,1,P2,4,3.6
A,1,P2,5,3.8
A,1,P2,6,3.1
A,1,P2,7,3.5
A,1,P2,8,3.8
A,1,P2,9,4.2
A,1,P2,10,4
A,1,F1,1,3.7
A,1,F1,2,3.6
A,1,F1,3,4
A,1,F1,4,3.9
A,1,F1,5,4.2
A,1,F1,6,3.3
A,1,F1,7,4
A,1,F1,8,3.7
A,1,F1,9,4.2
A,1,F1,10,4.6
A,2,P1,1,3.6
A,2,P1,2,4.4
A,2,P1,3,3.8
A,2,P1,4,3.8
A,2,P1,5,5
A,2,P1,6,4.1
A,2,P1,7,4.2
A,2,P1,8,3.9
A,2,P1,9,4.8
A,2,P1,10,4.3
A,2,P2,1,4
A,2,P2,2,3.7
A,2,P2,3,3.8
A,2,P2,4,3.8
A,2,P2,5,3.9
A,2,P2,6,3.2
A,2,P2,7,3.7
A,2,P2,8,3.9
A,2,P2,9,4.1
A,2,P2,10,5
A,2,F1,1,3.4
A,2,F1,2,3.8
A,2,F1,3,4.2
A,2,F1,4,4
A,2,F1,5,4.7
A,2,F1,6,3.4
A,2,F1,7,4.2
A,2,F1,8,4.3
A,2,F1,9,3.8
A,2,F1,10,4.2
A,3,P1,1,3.6
A,3,P1,2,4.3
A,3,P1,3,3.9
A,3,P1,4,4.1
A,3,P1,5,5
A,3,P1,6,4.2
A,3,P1,7,3.8
A,3,P1,8,4.2
A,3,P1,9,4.7
A,3,P1,10,5.2
A,3,P2,1,3.6
A,3,P2,2,4.3
A,3,P2,3,3.9
A,3,P2,4,4.1
A,3,P2,5,5
A,3,P2,6,4.2
A,3,P2,7,3.8
A,3,P2,8,4.2
A,3,P2,9,4.7
A,3,P2,10,5.2
A,3,F1,1,3.8
A,3,F1,2,4.1
A,3,F1,3,4.4
A,3,F1,4,4.2
A,3,F1,5,4
A,3,F1,6,4
A,3,F1,7,4
A,3,F1,8,3.7
A,3,F1,9,4.4
A,3,F1,10,5.1
B,1,P1,1,4.6
B,1,P1,2,4.5
B,1,P1,3,3.7
B,1,P1,4,4.2
B,1,P1,5,4.5
B,1,P1,6,4.2
B,1,P1,7,3.7
B,1,P1,8,3.9
B,1,P1,9,4.5
B,1,P1,10,4.9
B,1,P2,1,3.2
B,1,P2,2,3.6
B,1,P2,3,3.7
B,1,P2,4,3.6
B,1,P2,5,3.8
B,1,P2,6,3.1
B,1,P2,7,3.5
B,1,P2,8,3.8
B,1,P2,9,4.2
B,1,P2,10,4
B,1,F1,1,3.7
B,1,F1,2,3.6
B,1,F1,3,4
B,1,F1,4,3.9
B,1,F1,5,4.2
B,1,F1,6,3.3
B,1,F1,7,4
B,1,F1,8,3.7
B,1,F1,9,4.2
B,1,F1,10,4.6
B,2,P1,1,3.6
B,2,P1,2,4.4
B,2,P1,3,3.8
B,2,P1,4,3.8
B,2,P1,5,5
B,2,P1,6,4.1
B,2,P1,7,4.2
B,2,P1,8,3.9
B,2,P1,9,4.8
B,2,P1,10,4.3
B,2,P2,1,4
B,2,P2,2,3.7
B,2,P2,3,3.8
B,2,P2,4,3.8
B,2,P2,5,3.9
B,2,P2,6,3.2
B,2,P2,7,3.7
B,2,P2,8,3.9
B,2,P2,9,4.1
B,2,P2,10,5
B,2,F1,1,3.4
B,2,F1,2,3.8
B,2,F1,3,4.2
B,2,F1,4,4
B,2,F1,5,4.7
B,2,F1,6,3.4
B,2,F1,7,4.2
B,2,F1,8,4.3
B,2,F1,9,5.8
B,2,F1,10,4.2
B,3,P1,1,3.6
B,3,P1,2,4.3
B,3,P1,3,5.7
B,3,P1,4,4.1
B,3,P1,5,5
B,3,P1,6,4.2
B,3,P1,7,3.8
B,3,P1,8,4.2
B,3,P1,9,4.7
B,3,P1,10,5.2
B,3,P2,1,3.6
B,3,P2,2,4.3
B,3,P2,3,5.9
B,3,P2,4,4.1
B,3,P2,5,4.5
B,3,P2,6,4.2
B,3,P2,7,5.8
B,3,P2,8,4.2
B,3,P2,9,4.7
B,3,P2,10,5.3
B,3,F1,1,3.8
B,3,F1,2,4.1
B,3,F1,3,4.4
B,3,F1,4,4.2
B,3,F1,5,4
B,3,F1,6,4
B,3,F1,7,4.3
B,3,F1,8,3.7
B,3,F1,9,5.4
B,3,F1,10,5.7
