LOC,REP,FERT,YLD_14,PHT,PANICLE,SEED,WT_1K,HEADING,MATURITY,TILLER,GERM
1,1,1,2.775,94.4,21.1,109.2,22.65,117,147,120,88
1,1,2,3.465,98.8,22.8,118.5,23.35,115,145,129,92
1,1,3,3.375,97,21.4,114.8,23.05,116,146,108,91
1,1,4,3.088,95.3,21.4,112.2,22.95,116,146,125,90
1,2,1,2.447,86.6,21.1,118.6,22.11,94,124,101,88
1,2,2,2.912,89.1,22.2,133.9,22.48,92,122,133,91
1,2,3,2.751,88,21.7,128.8,22.31,92,122,110,90
1,2,4,2.663,87.4,21.5,121.7,22.05,93,123,102,89
1,3,1,3.006,86.4,21.1,119.7,22.6,93,123,189,87
1,3,2,2.91,91.2,21.1,128.9,23.11,91,121,154,90
1,3,3,2.832,88.9,21.8,125.6,23.02,91,121,171,90
1,3,4,2.556,87,21.4,124.2,22.9,92,122,215,89
1,4,1,2.073,116.4,20.1,77.6,23.12,114,144,132,90
1,4,2,2.705,122.2,21.7,89.7,23.74,112,142,126,95
1,4,3,2.581,120.4,21,83.3,23.44,113,143,184,94
1,4,4,2.409,117.8,20.4,78.9,23.23,113,143,210,93
