ENV,   BLOCK    ,   ENTRY    ,   YIELD    ,Y2
A,1,57,6.5,7.25
A,1,66,4.199999809,7.03
A,1,42,3.400000095,7.2
A,1,62,4.900000095,
A,1,47,3.849999905,
A,1,19,5.900000095,
A,1,58,7,6.99
A,1,64,4.5,6.82
A,1,37,5.150000095,7.61
A,1,11,3.75,5.95
A,1,65,6.25,3.09
A,1,25,4.800000191,6.88
A,1,61,4.599999905,5.54
A,1,45,5.550000191,7.52
A,1,2,6.5,7.29
A,1,35,5.300000191,6.82
A,1,9,4.199999809,6.36
A,1,63,2.200000048,6.58
A,1,39,5.300000191,6.14
A,1,15,3.400000095,5.97
A,1,29,6.199999809,7.06
A,2,23,5.5,7.11
A,2,54,4.050000191,6.81
A,2,65,5.050000191,7.47
A,2,6,3.5,7.69
A,2,63,3.299999952,7.39
A,2,33,3.900000095,7.62
A,2,12,3.799999952,7.44
A,2,31,2.400000095,7.73
A,2,62,4.5,6.19
A,2,56,3.049999952,7.92
A,2,10,1.049999952,8.16
A,2,60,7.5,7.26
A,2,66,4.300000191,8.35
A,2,27,4.900000095,8.08
A,2,64,5.099999905,6.96
A,2,44,4.050000191,6.54
A,2,5,2,6.81
A,2,21,1.799999952,6.55
A,2,50,4.900000095,7.22
A,2,61,3,6.07
A,2,51,3.200000048,8.88
A,3,46,5.599999905,8.52
A,3,66,4.699999809,7.06
A,3,41,4.699999809,7.76
A,3,61,4.099999905,7.44
A,3,3,3.950000048,7.18
A,3,22,3.450000048,6.89
A,3,26,4.699999809,6.54
A,3,64,4,7.17
A,3,1,6.349999905,7.19
A,3,13,4.400000095,7.19
A,3,65,3,6.78
A,3,17,4.25,8.52
A,3,20,4.400000095,7.18
A,3,63,3.349999905,6.99
A,3,49,3.400000095,6.94
A,3,14,2.599999905,7.84
A,3,59,4.400000095,7
A,3,62,3.349999905,7.09
A,3,28,3.75,6.85
A,3,8,3.900000095,8.58
A,3,34,6.599999905,5.73
A,4,7,4.550000191,7.07
A,4,65,6.099999905,8.24
A,4,55,2.200000048,7
A,4,32,4,6.47
A,4,64,4.599999905,6.7
A,4,53,3,6.72
A,4,18,4.349999905,6.01
A,4,36,3.900000095,6.49
A,4,48,3.400000095,5.46
A,4,62,4.599999905,6.35
A,4,52,2,6.49
A,4,43,1.5,6.01
A,4,61,3.25,7.19
A,4,4,5.599999905,5.53
A,4,30,4.5,7.4
A,4,24,5.400000095,6.13
A,4,63,5.199999809,7.72
A,4,38,3.700000048,8.57
A,4,16,8.25,6.03
A,4,66,3.5,6.08
A,4,40,7,6.22
B,1,57,6.5,
B,1,66,4.199999809,
B,1,42,3.400000095,
B,1,62,4.900000095,
B,1,47,3.849999905,
B,1,19,5.900000095,
B,1,58,7,
B,1,64,4.5,
B,1,37,5.150000095,
B,1,11,3.75,
B,1,65,6.25,
B,1,25,4.800000191,
B,1,61,4.599999905,
B,1,45,5.550000191,
B,1,2,6.5,
B,1,35,5.300000191,
B,1,9,4.199999809,
B,1,63,2.200000048,
B,1,39,5.300000191,
B,1,15,3.400000095,
B,1,29,6.199999809,
B,2,23,5.5,
B,2,54,4.050000191,
B,2,65,5.050000191,
B,2,6,3.5,
B,2,63,3.299999952,
B,2,33,3.900000095,
B,2,12,3.799999952,
B,2,31,2.400000095,
B,2,62,4.5,
B,2,56,3.049999952,
B,2,10,1.049999952,
B,2,60,7.5,
B,2,66,4.300000191,
B,2,27,4.900000095,
B,2,64,5.099999905,
B,2,44,4.050000191,
B,2,5,2,
B,2,21,1.799999952,
B,2,50,4.900000095,
B,2,61,3,
B,2,51,3.200000048,
B,3,46,5.599999905,
B,3,66,4.699999809,
B,3,41,4.699999809,
B,3,61,4.099999905,
B,3,3,3.950000048,
B,3,22,3.450000048,
B,3,26,4.699999809,
B,3,64,4,
B,3,1,6.349999905,
B,3,13,4.400000095,
B,3,65,3,
B,3,17,4.25,
B,3,20,4.400000095,
B,3,63,3.349999905,
B,3,49,3.400000095,
B,3,14,2.599999905,
B,3,59,4.400000095,
B,3,62,3.349999905,
B,3,28,3.75,
B,3,8,3.900000095,
B,3,34,6.599999905,
B,4,7,4.550000191,
B,4,65,6.099999905,
B,4,55,2.200000048,
B,4,32,4,
B,4,64,4.599999905,
B,4,53,3,
B,4,18,4.349999905,
B,4,36,3.900000095,
B,4,48,3.400000095,
B,4,62,4.599999905,
B,4,52,2,
B,4,43,1.5,
B,4,61,3.25,
B,4,4,5.599999905,
B,4,30,4.5,
B,4,24,5.400000095,
B,4,63,5.199999809,
B,4,38,3.700000048,
B,4,16,8.25,
B,4,66,3.5,
B,4,40,7,
