"","Row.names","Trait.1","Trait.1_gv","Trait2","Trait2_gv"
"1","10910",NA,146.343494199573,NA,1.46343494199386
"2","10911",NA,161.327112567588,NA,1.61327112567481
"3","11360",148.3,144.982914710059,1.483,1.44982914710059
"4","11361",145.35,155.186286200025,1.4535,1.55186286200025
"5","11362",129.44,147.537339670551,1.2944,1.47537339670551
"6","11363",158.32,151.067271980562,1.5832,1.51067271980562
"7","11364",150.27,146.309665117313,1.5027,1.46309665117313
"8","11365",148.75,148.726986694649,1.4875,1.48726986694649
"9","11366",160.24,151.171599665435,1.6024,1.51171599665435
"10","11367",151.65,156.459273509355,1.5165,1.56459273509355
"11","11368",156.72,153.849942962528,1.5672,1.53849942962527
"12","11369",166.75,154.701000583995,1.6675,1.54701000583996
"13","11370",135.01,146.740666794392,1.3501,1.46740666794392
"14","11371",145.14,147.768901354509,1.4514,1.47768901354509
"15","11372",148.25,147.249631369506,1.4825,1.47249631369505
"16","11373",127.65,147.127735070894,1.2765,1.47127735070894
"17","11374",146.37,151.195368605665,1.4637,1.51195368605665
"18","11375",156.7,155.727887460885,1.567,1.55727887460885
"19","11376",137.21,147.409504377139,1.3721,1.47409504377139
"20","11377",143.09,150.921991459079,1.4309,1.50921991459079
"21","11378",152.86,151.699040533662,1.5286,1.51699040533662
"22","11379",154.72,155.64598434019,1.5472,1.5564598434019
"23","11380",167.01,156.566884097813,1.6701,1.56566884097813
"24","11381",147.7,149.030079645861,1.477,1.49030079645861
"25","11382",146.38,146.284080429235,1.4638,1.46284080429235
"26","11383",144.71,157.089357579203,1.4471,1.57089357579203
"27","11384",145.41,153.208947945624,1.4541,1.53208947945624
"28","11385",153.1,149.539007121012,1.531,1.49539007121012
"29","11386",152.67,147.995663187918,1.5267,1.47995663187918
"30","11387",153.55,149.618809342422,1.5355,1.49618809342422
"31","11388",149.6,150.668240926986,1.496,1.50668240926986
"32","11389",150.95,151.362017338985,1.5095,1.51362017338985
"33","11390",144.4,146.121848784798,1.444,1.46121848784798
"34","11391",148.76,156.31939551581,1.4876,1.5631939551581
"35","11392",154.81,151.839113609986,1.5481,1.51839113609986
"36","11393",156.76,155.504979873783,1.5676,1.55504979873782
"37","11394",142.92,149.753490357854,1.4292,1.49753490357855
"38","11395",151.82,150.511532078635,1.5182,1.50511532078635
"39","11396",150.19,153.803253837699,1.5019,1.53803253837698
"40","11397",155.56,150.242564674046,1.5556,1.50242564674047
"41","11398",150.39,150.979397090901,1.5039,1.50979397090901
"42","11399",146.08,148.51778793506,1.4608,1.4851778793506
"43","11400",153.88,154.650825721285,1.5388,1.54650825721285
"44","11401",146.1,149.64535088437,1.461,1.4964535088437
"45","11402",153.92,161.03454308332,1.5392,1.6103454308332
"46","11403",146.1,144.328262006323,1.461,1.44328262006323
"47","11404",155.16,159.983431999197,1.5516,1.59983431999197
"48","11405",132.14,148.96202331216,1.3214,1.4896202331216
"49","11406",146.44,147.810004749716,1.4644,1.47810004749716
"50","11407",158.14,155.573792512678,1.5814,1.55573792512678
"51","11408",154.53,147.736441404186,1.5453,1.47736441404186
"52","11409",149.14,148.347523315404,1.4914,1.48347523315404
"53","11410",144.72,151.403712226569,1.4472,1.51403712226569
"54","11411",152.68,154.631972341619,1.5268,1.54631972341619
"55","11412",146.85,148.20894813634,1.4685,1.48208948136341
"56","11413",136.57,146.120800620432,1.3657,1.46120800620432
"57","11414",146.32,149.131546046598,1.4632,1.49131546046598
"58","11415",165.42,156.879142913416,1.6542,1.56879142913416
"59","11416",145.38,149.158189972683,1.4538,1.49158189972682
"60","11417",144.01,147.119142357128,1.4401,1.47119142357128
"61","11418",160.76,155.619103168461,1.6076,1.55619103168461
"62","11419",147.12,147.773809681496,1.4712,1.47773809681496
"63","11420",152.62,154.557439659094,1.5262,1.54557439659094
"64","11421",150.79,151.681102691194,1.5079,1.51681102691194
"65","11422",156.37,146.388276949319,1.5637,1.46388276949319
"66","11423",140.49,145.260107833341,1.4049,1.45260107833341
"67","11424",146.18,144.261579458724,1.4618,1.44261579458724
"68","11425",148.37,149.773508163041,1.4837,1.49773508163041
"69","11426",154.67,149.164473417129,1.5467,1.49164473417129
"70","11427",151.27,153.111216248439,1.5127,1.53111216248439
"71","11428",148.62,147.740667184842,1.4862,1.47740667184841
"72","11429",152.86,150.369070362878,1.5286,1.50369070362878
"73","11430",147.95,145.142969295086,1.4795,1.45142969295086
"74","11431",157.3,157.045910294239,1.573,1.57045910294239
"75","11432",155.46,150.376837792726,1.5546,1.50376837792726
"76","11433",146.7,148.717815031706,1.467,1.48717815031706
"77","11434",161.68,155.923055225005,1.6168,1.55923055225004
"78","11435",163.88,153.692469252519,1.6388,1.53692469252519
"79","11436",142.01,149.426804679348,1.4201,1.49426804679348
"80","11437",147.62,149.412455473864,1.4762,1.49412455473864
