"","Trait.1","genetic.value"
"10910",NA,146.343494199573
"10911",NA,161.327112567588
"11360",148.3,144.982914710059
"11361",145.35,155.186286200025
"11362",129.44,147.537339670551
"11363",158.32,151.067271980562
"11364",150.27,146.309665117313
"11365",148.75,148.726986694649
"11366",160.24,151.171599665435
"11367",151.65,156.459273509355
"11368",156.72,153.849942962528
"11369",166.75,154.701000583995
"11370",135.01,146.740666794392
"11371",145.14,147.768901354509
"11372",148.25,147.249631369506
"11373",127.65,147.127735070894
"11374",146.37,151.195368605665
"11375",156.7,155.727887460885
"11376",137.21,147.409504377139
"11377",143.09,150.921991459079
"11378",152.86,151.699040533662
"11379",154.72,155.64598434019
"11380",167.01,156.566884097813
"11381",147.7,149.030079645861
"11382",146.38,146.284080429235
"11383",144.71,157.089357579203
"11384",145.41,153.208947945624
"11385",153.1,149.539007121012
"11386",152.67,147.995663187918
"11387",153.55,149.618809342422
"11388",149.6,150.668240926986
"11389",150.95,151.362017338985
"11390",144.4,146.121848784798
"11391",148.76,156.31939551581
"11392",154.81,151.839113609986
"11393",156.76,155.504979873783
"11394",142.92,149.753490357854
"11395",151.82,150.511532078635
"11396",150.19,153.803253837699
"11397",155.56,150.242564674046
"11398",150.39,150.979397090901
"11399",146.08,148.51778793506
"11400",153.88,154.650825721285
"11401",146.1,149.64535088437
"11402",153.92,161.03454308332
"11403",146.1,144.328262006323
"11404",155.16,159.983431999197
"11405",132.14,148.96202331216
"11406",146.44,147.810004749716
"11407",158.14,155.573792512678
"11408",154.53,147.736441404186
"11409",149.14,148.347523315404
"11410",144.72,151.403712226569
"11411",152.68,154.631972341619
"11412",146.85,148.20894813634
"11413",136.57,146.120800620432
"11414",146.32,149.131546046598
"11415",165.42,156.879142913416
"11416",145.38,149.158189972683
"11417",144.01,147.119142357128
"11418",160.76,155.619103168461
"11419",147.12,147.773809681496
"11420",152.62,154.557439659094
"11421",150.79,151.681102691194
"11422",156.37,146.388276949319
"11423",140.49,145.260107833341
"11424",146.18,144.261579458724
"11425",148.37,149.773508163041
"11426",154.67,149.164473417129
"11427",151.27,153.111216248439
"11428",148.62,147.740667184842
"11429",152.86,150.369070362878
"11430",147.95,145.142969295086
"11431",157.3,157.045910294239
"11432",155.46,150.376837792726
"11433",146.7,148.717815031706
"11434",161.68,155.923055225005
"11435",163.88,153.692469252519
"11436",142.01,149.426804679348
"11437",147.62,149.412455473864
"11438",159.95,160.100509173602
"11439",151.39,152.028649643996
"11440",167.53,153.652364893286
"11441",141.46,146.316905522126
"11442",143.39,146.964053298368
"11443",141.49,144.91188518322
"11444",148.14,147.853446322682
"11445",152.01,151.89614540922
"11446",151.18,149.762977949814
"11447",158.68,152.275835370364
"11448",153.22,149.619870617326
"11449",165.25,156.303949509987
"11450",158.83,149.481224701476
"11451",139.62,145.572471528886
"11452",142.92,143.367096571554
"11453",157.48,152.481172545259
"11454",144.2,149.969663869791
"11455",147.32,147.597209823569
"11456",145.89,145.724478892295
"11457",139.93,143.114570756001
"11458",138.39,144.417996365281
"11459",162.31,153.701606743906
"11460",144.24,149.110144622013
"11461",149.56,149.064632967844
"11462",145.38,143.877673352369
"11463",147.61,148.035102625574
"11464",161.22,152.944190022307
"11465",145.64,153.616616106365
"11466",139.04,142.717243053553
"11467",145.3,146.99489559585
