"","Trait.1","Trait.1_gv"
"11360",148.3,145.013703417789
"11361",145.35,155.191631472429
"11362",129.44,147.561315380977
"11363",158.32,151.135439201616
"11364",150.27,146.646854507919
"11365",148.75,149.045850633419
"11366",160.24,151.138818989625
"11367",151.65,156.434336921893
"11368",156.72,153.895760391153
"11369",166.75,154.691077757178
"11370",135.01,146.675555386166
"11371",145.14,147.720458264296
"11372",148.25,147.327480105566
"11373",127.65,146.948448771377
"11374",146.37,151.115844214223
"11375",156.7,155.719751058461
"11376",137.21,147.380871762761
"11377",143.09,150.936630226871
"11378",152.86,151.691020600555
"11379",154.72,155.679798791678
"11380",167.01,156.640211993836
"11381",147.7,149.063282806009
"11382",146.38,146.303484550594
"11383",144.71,157.090787960142
"11384",145.41,153.167615263575
"11385",153.1,149.519376824294
"11386",152.67,147.937026700322
"11387",153.55,149.553845546347
"11388",149.6,150.688114463671
"11389",150.95,151.416751319063
"11390",144.4,146.163697364532
"11391",148.76,156.327748110444
"11392",154.81,151.806257102225
"11393",156.76,155.416956005422
"11394",142.92,149.693424379275
"11395",151.82,150.553689538935
"11396",150.19,153.675605671959
"11397",155.56,150.275157160997
"11398",150.39,151.048823012775
"11399",146.08,148.496385733314
"11400",153.88,154.620078416643
"11401",146.1,149.636704699406
"11402",153.92,161.044885403508
"11403",146.1,144.184203147478
"11404",155.16,159.934642862737
"11405",132.14,148.920054870454
"11406",146.44,147.782395797348
"11407",158.14,155.694530058069
"11408",154.53,147.749797081787
"11409",149.14,148.311829284291
"11410",144.72,151.426662775387
"11411",152.68,154.706522256621
"11412",146.85,148.211989326982
"11413",136.57,146.145527935143
"11414",146.32,149.094146718181
"11415",165.42,156.887363674708
"11416",145.38,149.152206030653
"11417",144.01,147.189394394721
"11418",160.76,155.667436222152
"11419",147.12,147.793571891484
"11420",152.62,154.471241417601
"11421",150.79,151.682119702477
"11422",156.37,146.321065018591
"11423",140.49,145.292887589266
"11424",146.18,144.212193093822
"11425",148.37,149.775962225539
"11426",154.67,149.217767873592
"11427",151.27,153.09913861662
"11428",148.62,147.817783641868
"11429",152.86,150.376542919279
"11430",147.95,145.245810857734
"11431",157.3,157.08458512437
"11432",155.46,150.408610823123
"11433",146.7,148.701180387005
"11434",161.68,155.966114740109
"11435",163.88,153.695330220691
"11436",142.01,149.428735446145
"11437",147.62,149.463162295022
"11438",159.95,160.171169345918
"11439",151.39,152.038161010558
"11440",167.53,153.550892643896
"11441",141.46,146.271821716729
"11442",143.39,146.91571108145
"11443",141.49,144.904455117967
"11444",148.14,147.844070226734
"11445",152.01,151.927424394607
"11446",151.18,149.778251991884
"11447",158.68,152.294172268604
"11448",153.22,149.6555412743
"11449",165.25,156.300823374483
"11450",158.83,149.534877375951
"11451",139.62,145.585309949397
"11452",142.92,143.311591247927
"11453",157.48,152.405610503472
"11454",144.2,149.91760272272
"11455",147.32,147.777098374493
"11456",145.89,145.771570862885
"11457",139.93,143.033197227684
"11458",138.39,144.34090680744
"11459",162.31,153.714858001856
"11460",144.24,149.04534435819
"11461",149.56,149.14333034308
"11462",145.38,143.892023703706
"11463",147.61,148.070085754749
"11464",161.22,152.916918872938
"11465",145.64,153.605220920531
"11466",139.04,142.744226545911
"11467",145.3,147.143120928475
"11468",155.27,147.708432966869
"11469",138.62,146.791127377922
"11470",137.18,144.536074089886
"11471",157.67,146.637172670319
"11472",148.14,145.696291910148
"11473",158.09,150.460067083914
"11474",153.82,147.44527295274
"11475",139.2,145.575803168502
"11476",148.13,142.214312605465
"11477",149.35,144.086449274046
"11478",151.96,152.498803983216
"11479",139.7,146.365433363255
"11480",152.45,148.905780696823
"11481",155.31,148.638139540906
"11482",146.8,146.619238738635
"11483",161.07,152.083765070519
"11484",148.8,151.682920406775
"11485",144.89,142.43509752271
"11486",139.31,141.757796376781
"11487",153.15,149.549203213567
"11488",142.48,147.297017160224
"11489",148.59,147.733994995856
"11490",135.04,144.126728893018
"11491",149.9,147.563714715216
"11492",155.05,141.891153005895
"11493",139.66,143.254998586483
"11494",145.77,147.705690106548
"11495",143.65,145.061170123456
"11496",148.57,146.98315855268
"11497",134.66,147.343471575223
"11498",142.73,145.031482407097
"11499",161.29,149.834652514494
"11500",143.57,144.957503109466
"11501",140.46,147.858820578313
"11502",145.78,145.836960813178
"11503",149.73,143.921890412402
"11504",146.58,146.433941370102
"11505",138.27,139.605808276215
"11506",154.85,147.962061035517
"11507",149.86,152.930498527526
"11508",138.19,147.379277546913
"11509",134.73,137.940501076834
"11510",152.02,145.875644381904
"11511",145.58,151.320565637939
"11512",141.28,145.826771447312
"11513",134.29,144.553154170717
"11514",153.36,148.649998207354
"11515",140.41,145.293556955726
"11516",136.55,148.108701723256
"11517",142.22,142.641381317254
"11518",141.2,145.194081653256
"11519",149.99,152.752876813756
"11520",148.22,149.40194943408
"11521",137.76,143.363577110599
"11522",148.92,147.237967558304
"11523",134.92,142.995581380539
"11524",155.5,149.154129817616
"11525",148.94,155.972953468788
"11526",148.98,148.386753061018
"11527",155.36,145.749682605436
"11528",146.19,147.479272108187
"11529",141,143.483110514513
"11530",157.74,152.355512150025
"11531",157.05,151.081976573695
"11532",150.46,144.318662967475
"11533",144.9,147.970623059691
"11534",149.75,145.806594095718
"11535",145.2,146.713925682425
"11536",143.96,144.372558303295
"11537",138.08,150.302509543757
"11538",157.16,152.489890894214
"11539",153.87,150.219914959857
"11540",140.2,144.626450424959
"11541",147.63,145.740681186127
"11542",160.91,150.128923656439
"11543",141.57,148.327552542121
"11544",148.98,147.085817972644
"11545",157.37,148.992328882964
"11546",154.87,153.025466132428
"11547",150.31,150.850272231739
"11548",141.57,150.170773648457
"11549",157.25,150.586504526626
"11550",140.25,147.803156310626
"11551",143.59,145.303072652223
"11552",145.66,147.816379255042
"11553",149.13,147.748362879636
"11554",141.62,148.712376543829
"11555",155.35,150.17951322424
"11556",144.32,147.703362792368
"11557",162.76,154.745420159291
"11558",144.85,144.941112656646
"11559",157.43,150.683371749388
"11560",145.98,144.79057668892
"11561",123.65,135.538785458073
"11562",135.67,141.47040621786
"11563",129.57,133.771064097976
"11564",146.41,145.404587100808
"11565",135.74,146.075910350597
"11566",142.6,145.533434053688
"11567",146.68,141.808898671915
"11568",142.85,139.439935153584
"11569",144.92,148.742222507964
"11570",130.61,140.165821936944
"11571",148.93,146.48634293916
"11572",141.28,146.563545143248
"11573",163.77,147.109431113247
"11574",149.86,146.778874213425
"11575",130.04,138.384163544848
"11576",145.08,143.417692623194
"11577",162.03,149.339971453689
"11578",141.99,142.998535848692
"11579",143.17,146.126562272565
"11580",158.26,152.29282998258
"11581",137.02,143.366429699274
"11582",138.74,143.56645842911
"11583",158.42,152.016033972035
"11584",152.48,144.984798292158
"11585",152.47,141.544285809977
"11586",153.93,149.449771932682
"11587",150.2,148.849647311886
"11588",157.05,146.357972393114
"11589",154.77,149.365891758364
"11590",141.18,134.408377605041
"11591",147.08,140.680867857391
"11592",126.8,136.628367085962
"11593",152.58,146.238842010955
"11594",131.29,140.116062843568
"11595",143.62,142.818513953399
