"","Trait.1","Trait.1_gv","Trait2","Trait2_gv"
"1",148.3,145.013703417789,1.483,1.45013703417789
"2",145.35,155.191631472429,1.4535,1.55191631472429
"3",129.44,147.561315380977,1.2944,1.47561315380977
"4",158.32,151.135439201616,1.5832,1.51135439201617
"5",150.27,146.646854507919,1.5027,1.4664685450792
"6",148.75,149.045850633419,1.4875,1.4904585063342
"7",160.24,151.138818989625,1.6024,1.51138818989625
"8",151.65,156.434336921893,1.5165,1.56434336921894
"9",156.72,153.895760391153,1.5672,1.53895760391153
"10",166.75,154.691077757178,1.6675,1.54691077757179
"11",135.01,146.675555386166,1.3501,1.46675555386167
"12",145.14,147.720458264296,1.4514,1.47720458264296
"13",148.25,147.327480105566,1.4825,1.47327480105566
"14",127.65,146.948448771377,1.2765,1.46948448771377
"15",146.37,151.115844214223,1.4637,1.51115844214224
"16",156.7,155.719751058461,1.567,1.55719751058461
"17",137.21,147.380871762761,1.3721,1.47380871762762
"18",143.09,150.936630226871,1.4309,1.50936630226872
"19",152.86,151.691020600555,1.5286,1.51691020600555
"20",154.72,155.679798791678,1.5472,1.55679798791679
"21",167.01,156.640211993836,1.6701,1.56640211993837
"22",147.7,149.063282806009,1.477,1.4906328280601
"23",146.38,146.303484550594,1.4638,1.46303484550594
"24",144.71,157.090787960142,1.4471,1.57090787960142
"25",145.41,153.167615263575,1.4541,1.53167615263575
"26",153.1,149.519376824294,1.531,1.49519376824295
"27",152.67,147.937026700322,1.5267,1.47937026700323
"28",153.55,149.553845546347,1.5355,1.49553845546347
"29",149.6,150.688114463671,1.496,1.50688114463671
"30",150.95,151.416751319063,1.5095,1.51416751319064
"31",144.4,146.163697364532,1.444,1.46163697364533
"32",148.76,156.327748110444,1.4876,1.56327748110445
"33",154.81,151.806257102225,1.5481,1.51806257102225
"34",156.76,155.416956005422,1.5676,1.55416956005422
"35",142.92,149.693424379275,1.4292,1.49693424379276
"36",151.82,150.553689538935,1.5182,1.50553689538936
"37",150.19,153.675605671959,1.5019,1.53675605671959
"38",155.56,150.275157160997,1.5556,1.50275157160997
"39",150.39,151.048823012775,1.5039,1.51048823012775
"40",146.08,148.496385733314,1.4608,1.48496385733314
"41",153.88,154.620078416643,1.5388,1.54620078416643
"42",146.1,149.636704699406,1.461,1.49636704699407
"43",153.92,161.044885403508,1.5392,1.61044885403509
"44",146.1,144.184203147478,1.461,1.44184203147479
"45",155.16,159.934642862737,1.5516,1.59934642862737
"46",132.14,148.920054870454,1.3214,1.48920054870454
"47",146.44,147.782395797348,1.4644,1.47782395797349
"48",158.14,155.694530058069,1.5814,1.5569453005807
"49",154.53,147.749797081787,1.5453,1.47749797081788
"50",149.14,148.311829284291,1.4914,1.48311829284291
"51",144.72,151.426662775387,1.4472,1.51426662775387
"52",152.68,154.706522256621,1.5268,1.54706522256622
"53",146.85,148.211989326982,1.4685,1.48211989326982
"54",136.57,146.145527935143,1.3657,1.46145527935144
"55",146.32,149.094146718181,1.4632,1.49094146718181
"56",165.42,156.887363674708,1.6542,1.56887363674708
"57",145.38,149.152206030653,1.4538,1.49152206030653
"58",144.01,147.189394394721,1.4401,1.47189394394722
"59",160.76,155.667436222152,1.6076,1.55667436222153
"60",147.12,147.793571891484,1.4712,1.47793571891484
"61",152.62,154.471241417601,1.5262,1.54471241417602
"62",150.79,151.682119702477,1.5079,1.51682119702477
"63",156.37,146.321065018591,1.5637,1.46321065018591
"64",140.49,145.292887589266,1.4049,1.45292887589267
"65",146.18,144.212193093822,1.4618,1.44212193093822
"66",148.37,149.775962225539,1.4837,1.4977596222554
"67",154.67,149.217767873592,1.5467,1.49217767873593
"68",151.27,153.09913861662,1.5127,1.53099138616621
"69",148.62,147.817783641868,1.4862,1.47817783641869
"70",152.86,150.376542919279,1.5286,1.5037654291928
"71",147.95,145.245810857734,1.4795,1.45245810857734
"72",157.3,157.08458512437,1.573,1.5708458512437
"73",155.46,150.408610823123,1.5546,1.50408610823124
"74",146.7,148.701180387005,1.467,1.48701180387006
"75",161.68,155.966114740109,1.6168,1.5596611474011
"76",163.88,153.695330220691,1.6388,1.53695330220691
"77",142.01,149.428735446145,1.4201,1.49428735446146
"78",147.62,149.463162295022,1.4762,1.49463162295022
"79",159.95,160.171169345918,1.5995,1.60171169345919
"80",151.39,152.038161010558,1.5139,1.52038161010558
"81",167.53,153.550892643896,1.6753,1.53550892643897
"82",141.46,146.271821716729,1.4146,1.46271821716729
"83",143.39,146.91571108145,1.4339,1.46915711081451
"84",141.49,144.904455117967,1.4149,1.44904455117968
"85",148.14,147.844070226734,1.4814,1.47844070226735
"86",152.01,151.927424394607,1.5201,1.51927424394608
"87",151.18,149.778251991884,1.5118,1.49778251991885
"88",158.68,152.294172268604,1.5868,1.52294172268604
"89",153.22,149.6555412743,1.5322,1.496555412743
"90",165.25,156.300823374483,1.6525,1.56300823374484
"91",158.83,149.534877375951,1.5883,1.49534877375951
"92",139.62,145.585309949397,1.3962,1.45585309949397
"93",142.92,143.311591247927,1.4292,1.43311591247928
"94",157.48,152.405610503472,1.5748,1.52405610503472
"95",144.2,149.91760272272,1.442,1.49917602722721
"96",147.32,147.777098374493,1.4732,1.47777098374493
"97",145.89,145.771570862885,1.4589,1.45771570862885
"98",139.93,143.033197227684,1.3993,1.43033197227684
"99",138.39,144.34090680744,1.3839,1.4434090680744
"100",162.31,153.714858001856,1.6231,1.53714858001857
"101",144.24,149.04534435819,1.4424,1.4904534435819
"102",149.56,149.14333034308,1.4956,1.49143330343081
"103",145.38,143.892023703706,1.4538,1.43892023703707
"104",147.61,148.070085754749,1.4761,1.4807008575475
"105",161.22,152.916918872938,1.6122,1.52916918872938
"106",145.64,153.605220920531,1.4564,1.53605220920532
"107",139.04,142.744226545911,1.3904,1.42744226545912
"108",145.3,147.143120928475,1.453,1.47143120928475
"109",155.27,147.708432966869,1.5527,1.4770843296687
"110",138.62,146.791127377922,1.3862,1.46791127377922
"111",137.18,144.536074089886,1.3718,1.44536074089887
"112",157.67,146.637172670319,1.5767,1.46637172670319
"113",148.14,145.696291910148,1.4814,1.45696291910149
"114",158.09,150.460067083914,1.5809,1.50460067083914
"115",153.82,147.44527295274,1.5382,1.4744527295274
"116",139.2,145.575803168502,1.392,1.45575803168502
"117",148.13,142.214312605465,1.4813,1.42214312605466
"118",149.35,144.086449274046,1.4935,1.44086449274046
"119",151.96,152.498803983216,1.5196,1.52498803983217
"120",139.7,146.365433363255,1.397,1.46365433363255
"121",152.45,148.905780696823,1.5245,1.48905780696823
"122",155.31,148.638139540906,1.5531,1.48638139540906
"123",146.8,146.619238738635,1.468,1.46619238738636
"124",161.07,152.083765070519,1.6107,1.5208376507052
"125",148.8,151.682920406775,1.488,1.51682920406775
"126",144.89,142.43509752271,1.4489,1.42435097522711
"127",139.31,141.757796376781,1.3931,1.41757796376781
"128",153.15,149.549203213567,1.5315,1.49549203213568
"129",142.48,147.297017160224,1.4248,1.47297017160224
"130",148.59,147.733994995856,1.4859,1.47733994995856
"131",135.04,144.126728893018,1.3504,1.44126728893019
"132",149.9,147.563714715216,1.499,1.47563714715216
"133",155.05,141.891153005895,1.5505,1.41891153005896
"134",139.66,143.254998586483,1.3966,1.43254998586483
"135",145.77,147.705690106548,1.4577,1.47705690106548
"136",143.65,145.061170123456,1.4365,1.45061170123456
"137",148.57,146.98315855268,1.4857,1.4698315855268
"138",134.66,147.343471575223,1.3466,1.47343471575223
"139",142.73,145.031482407097,1.4273,1.45031482407098
"140",161.29,149.834652514494,1.6129,1.49834652514494
"141",143.57,144.957503109466,1.4357,1.44957503109466
"142",140.46,147.858820578313,1.4046,1.47858820578314
"143",145.78,145.836960813178,1.4578,1.45836960813179
"144",149.73,143.921890412402,1.4973,1.43921890412402
"145",146.58,146.433941370102,1.4658,1.46433941370103
"146",138.27,139.605808276215,1.3827,1.39605808276216
"147",154.85,147.962061035517,1.5485,1.47962061035518
"148",149.86,152.930498527526,1.4986,1.52930498527526
"149",138.19,147.379277546913,1.3819,1.47379277546914
"150",134.73,137.940501076834,1.3473,1.37940501076834
"151",152.02,145.875644381904,1.5202,1.45875644381904
"152",145.58,151.320565637939,1.4558,1.5132056563794
"153",141.28,145.826771447312,1.4128,1.45826771447313
"154",134.29,144.553154170717,1.3429,1.44553154170718
"155",153.36,148.649998207354,1.5336,1.48649998207355
"156",140.41,145.293556955726,1.4041,1.45293556955726
"157",136.55,148.108701723256,1.3655,1.48108701723256
"158",142.22,142.641381317254,1.4222,1.42641381317254
"159",141.2,145.194081653256,1.412,1.45194081653257
"160",149.99,152.752876813756,1.4999,1.52752876813757
"161",148.22,149.40194943408,1.4822,1.4940194943408
"162",137.76,143.363577110599,1.3776,1.43363577110599
"163",148.92,147.237967558304,1.4892,1.47237967558305
"164",134.92,142.995581380539,1.3492,1.4299558138054
"165",155.5,149.154129817616,1.555,1.49154129817617
"166",148.94,155.972953468788,1.4894,1.55972953468789
"167",148.98,148.386753061018,1.4898,1.48386753061019
"168",155.36,145.749682605436,1.5536,1.45749682605437
"169",146.19,147.479272108187,1.4619,1.47479272108187
"170",141,143.483110514513,1.41,1.43483110514514
"171",157.74,152.355512150025,1.5774,1.52355512150025
"172",157.05,151.081976573695,1.5705,1.51081976573696
"173",150.46,144.318662967475,1.5046,1.44318662967476
"174",144.9,147.970623059691,1.449,1.47970623059692
"175",149.75,145.806594095718,1.4975,1.45806594095719
"176",145.2,146.713925682425,1.452,1.46713925682425
"177",143.96,144.372558303295,1.4396,1.44372558303295
"178",138.08,150.302509543757,1.3808,1.50302509543758
"179",157.16,152.489890894214,1.5716,1.52489890894214
"180",153.87,150.219914959857,1.5387,1.50219914959858
"181",140.2,144.626450424959,1.402,1.4462645042496
"182",147.63,145.740681186127,1.4763,1.45740681186127
"183",160.91,150.128923656439,1.6091,1.5012892365644
"184",141.57,148.327552542121,1.4157,1.48327552542121
"185",148.98,147.085817972644,1.4898,1.47085817972645
