"","x"
"11360",145.013703417791
"11361",155.191631472431
"11362",147.561315380979
"11363",151.135439201618
"11364",146.646854507921
"11365",149.045850633421
"11366",151.138818989627
"11367",156.434336921895
"11368",153.895760391155
"11369",154.69107775718
"11370",146.675555386168
"11371",147.720458264298
"11372",147.327480105568
"11373",146.948448771379
"11374",151.115844214226
"11375",155.719751058463
"11376",147.380871762763
"11377",150.936630226873
"11378",151.691020600557
"11379",155.67979879168
"11380",156.640211993838
"11381",149.063282806011
"11382",146.303484550596
"11383",157.090787960144
"11384",153.167615263577
"11385",149.519376824296
"11386",147.937026700324
"11387",149.553845546349
"11388",150.688114463673
"11389",151.416751319065
"11390",146.163697364534
"11391",156.327748110446
"11392",151.806257102227
"11393",155.416956005424
"11394",149.693424379277
"11395",150.553689538937
"11396",153.675605671961
"11397",150.275157160999
"11398",151.048823012777
"11399",148.496385733316
"11400",154.620078416645
"11401",149.636704699408
"11402",161.04488540351
"11403",144.18420314748
"11404",159.934642862739
"11405",148.920054870456
"11406",147.78239579735
"11407",155.694530058071
"11408",147.749797081789
"11409",148.311829284293
"11410",151.426662775389
"11411",154.706522256623
"11412",148.211989326984
"11413",146.145527935145
"11414",149.094146718183
"11415",156.887363674709
"11416",149.152206030655
"11417",147.189394394723
"11418",155.667436222154
"11419",147.793571891485
"11420",154.471241417603
"11421",151.682119702479
"11422",146.321065018593
"11423",145.292887589268
"11424",144.212193093824
"11425",149.775962225541
"11426",149.217767873594
"11427",153.099138616622
"11428",147.81778364187
"11429",150.376542919281
"11430",145.245810857736
"11431",157.084585124372
"11432",150.408610823125
"11433",148.701180387007
"11434",155.966114740111
"11435",153.695330220693
"11436",149.428735446147
"11437",149.463162295024
"11438",160.17116934592
"11439",152.03816101056
"11440",153.550892643898
"11441",146.271821716731
"11442",146.915711081452
"11443",144.904455117969
"11444",147.844070226736
"11445",151.927424394609
"11446",149.778251991886
"11447",152.294172268606
"11448",149.655541274302
"11449",156.300823374485
"11450",149.534877375953
"11451",145.585309949399
"11452",143.311591247929
"11453",152.405610503474
"11454",149.917602722722
"11455",147.777098374495
"11456",145.771570862887
"11457",143.033197227686
"11458",144.340906807442
"11459",153.714858001858
"11460",149.045344358192
"11461",149.143330343082
"11462",143.892023703708
"11463",148.070085754751
"11464",152.91691887294
"11465",153.605220920533
"11466",142.744226545913
"11467",147.143120928477
"11468",147.708432966871
"11469",146.791127377924
"11470",144.536074089889
"11471",146.637172670321
"11472",145.69629191015
"11473",150.460067083916
"11474",147.445272952742
"11475",145.575803168504
"11476",142.214312605467
"11477",144.086449274048
"11478",152.498803983218
"11479",146.365433363257
"11480",148.905780696825
"11481",148.638139540908
"11482",146.619238738637
"11483",152.083765070521
"11484",151.682920406777
"11485",142.435097522713
"11486",141.757796376783
"11487",149.549203213569
"11488",147.297017160226
"11489",147.733994995858
"11490",144.12672889302
"11491",147.563714715218
"11492",141.891153005898
"11493",143.254998586485
"11494",147.70569010655
"11495",145.061170123458
"11496",146.983158552682
"11497",147.343471575225
"11498",145.031482407099
"11499",149.834652514495
"11500",144.957503109468
"11501",147.858820578315
"11502",145.83696081318
"11503",143.921890412404
"11504",146.433941370104
"11505",139.605808276217
"11506",147.962061035519
"11507",152.930498527528
"11508",147.379277546915
"11509",137.940501076836
"11510",145.875644381906
"11511",151.320565637941
"11512",145.826771447314
"11513",144.553154170719
"11514",148.649998207356
"11515",145.293556955728
"11516",148.108701723258
"11517",142.641381317256
"11518",145.194081653259
"11519",152.752876813758
"11520",149.401949434082
"11521",143.363577110601
"11522",147.237967558306
"11523",142.995581380541
"11524",149.154129817618
"11525",155.97295346879
"11526",148.38675306102
"11527",145.749682605438
"11528",147.479272108189
"11529",143.483110514516
"11530",152.355512150027
"11531",151.081976573697
"11532",144.318662967478
"11533",147.970623059693
"11534",145.80659409572
"11535",146.713925682427
"11536",144.372558303297
"11537",150.302509543759
"11538",152.489890894216
"11539",150.219914959859
"11540",144.626450424961
"11541",145.740681186129
"11542",150.128923656441
"11543",148.327552542123
"11544",147.085817972646
"11545",148.992328882966
"11546",153.02546613243
"11547",150.850272231741
"11548",150.170773648459
"11549",150.586504526628
"11550",147.803156310628
"11551",145.303072652225
"11552",147.816379255044
"11553",147.748362879638
"11554",148.712376543831
"11555",150.179513224242
"11556",147.70336279237
"11557",154.745420159293
"11558",144.941112656648
"11559",150.68337174939
"11560",144.790576688922
"11561",135.538785458075
"11562",141.470406217862
"11563",133.771064097978
"11564",145.40458710081
"11565",146.0759103506
"11566",145.53343405369
"11567",141.808898671917
"11568",139.439935153586
"11569",148.742222507966
"11570",140.165821936946
"11571",146.486342939162
"11572",146.56354514325
"11573",147.109431113249
"11574",146.778874213428
"11575",138.38416354485
"11576",143.417692623196
"11577",149.339971453691
"11578",142.998535848694
"11579",146.126562272567
"11580",152.292829982582
"11581",143.366429699276
"11582",143.566458429112
"11583",152.016033972037
"11584",144.98479829216
"11585",141.544285809979
"11586",149.449771932684
"11587",148.849647311888
"11588",146.357972393117
"11589",149.365891758366
"11590",134.408377605043
"11591",140.680867857393
"11592",136.628367085964
"11593",146.238842010957
"11594",140.11606284357
"11595",142.818513953401
"11596",149.111362738029
"11597",147.639848395273
"11598",145.132316510005
"11599",156.80294303472
"11600",147.906915509414
"11601",147.808978661895
"11602",148.648318701329
"11603",144.582066638918
"11604",146.160625214909
"11605",145.102328643911
"11606",152.215040625446
"11607",143.573452120366
"11608",146.763312911546
"11609",142.994362833044
"11610",149.07835004078
"11611",144.359808116867
"11612",146.504336433362
"11613",148.144527555331
"11614",146.533023556443
"11615",149.964099450758
"11616",147.82571186366
"11617",148.703838588031
"11618",152.302935636009
"11619",150.354240581896
"11620",147.060765277327
"11621",151.140227322874
"11622",154.238381232184
"11623",151.588946601178
"11624",151.219266106551
"11625",144.855638967098
"11626",148.594695088559
"11627",152.461506806513
"11628",150.17586965048
"11629",145.951191404884
"11630",153.183576102571
"11631",148.340678131319
"11632",149.515115004327
"11633",155.624566418884
"11634",146.968074717143
"11635",150.924386795175
"11636",153.279779765901
"11637",154.947255198416
"11638",147.838436291575
"11639",146.666937332699
"11640",150.233479303421
"11641",143.128896357622
"11642",145.196309747789
"11643",153.609704591653
"11644",145.916942682844
"11645",143.929887118843
"11646",148.791959770433
"11647",144.887177851029
"11648",147.186144299751
"11649",148.207456361833
"11650",152.198675511256
"11651",148.541250315599
"11652",150.232669183437
"11653",151.473244456735
"11654",149.430165396656
"11655",148.927161284586
"11656",144.762082049053
"11657",145.953292529872
"11658",146.83737093781
"11659",147.302401765588
"11660",153.088132719214
"11661",148.945018766516
"11662",157.975132294769
"11663",152.756072879422
"11664",153.919326789362
"11665",149.530459919418
"11666",162.640585476426
"11667",143.597268706292
"11668",143.402958423113
"11669",150.846612790201
"11670",136.600833357655
"11671",153.720301720885
"11672",142.788903699136
"11673",147.241991701506
"11674",151.987757333187
"11675",151.396662681029
"11676",148.065534658165
"11677",148.912799828132
"11678",155.091461435675
"11679",157.236776081947
"11680",150.713015499886
"11681",149.952492062993
"11682",148.553609773133
"11683",155.233127283455
"11684",142.636755146613
"11685",156.014273636594
"11686",146.404757609623
"11687",151.398399728059
"11688",145.061348937392
"11689",150.30001985003
"11690",152.504624418613
"11691",151.247643042537
"11692",154.519442478398
"11693",151.241029487341
"11694",149.789275025871
"11695",147.276646592431
"11696",150.154671325093
"11697",151.7336647246
"11698",151.313608609531
"11699",147.198366247515
"11700",149.203692305281
"11701",149.431220816224
"11702",150.096671646824
"11703",159.598634924611
"11704",146.41978809846
"11705",149.4724519454
"11706",148.134465923469
"11707",145.22979956054
"11708",154.682288806416
"11709",149.540778957161
"11710",147.95281447416
"11711",153.56486969769
"11712",145.421454195671
"11713",150.481827292115
"11714",148.952822820991
"11715",150.639834917122
"11716",149.486678319669
"11717",153.095821692675
"11718",149.910400040871
"11719",152.312396109273
"11720",153.149434988965
"11721",151.820185895278
"11722",162.227334038854
"11723",154.888181559819
"11724",141.348573033954
"11725",152.696515822667
"11726",148.174109776165
"11727",152.847618882157
"11728",145.528529305953
"11729",150.953561110295
"11730",143.77584745656
"11731",156.129894152001
"11732",159.181604901969
"11733",144.303367223664
"11734",152.975329645489
"11735",152.546847133046
"11736",148.640024792859
"11737",153.084594063079
"11738",158.968398522522
"11739",154.391352752002
"11740",146.739876685926
"11741",149.340323425224
"11742",147.475156560143
"11743",156.504490837537
"11744",155.568685213197
"11745",154.670269272766
"11746",144.354903199792
"11747",151.86466157215
"11748",156.667858640952
"11749",156.513978554134
"11750",155.482640718643
"11751",150.106221266715
"11752",155.159665650078
"11753",155.152913832462
"11754",153.627781323463
"11755",152.972241697708
"11756",158.381665626172
"11757",161.054474131135
"11758",153.215110053433
"11759",148.309521362799
"11760",149.715314024755
"11761",140.779430690545
"11762",145.856903029413
"11763",150.850274259945
"11764",147.343783138556
"11765",144.617895946822
"11766",146.427519930326
"11767",143.831676542161
"11768",140.759481546961
"11769",144.30709634157
"11770",142.984351007343
"11771",149.814759140246
"11772",145.64755005813
"11773",151.294129500727
"11774",150.119541899895
"11775",149.294667214049
"11776",150.961524156151
"11777",150.270198249884
"11778",149.382830313037
"11779",145.238015127275
"11780",156.450847906971
"11781",149.244802130585
"11782",147.81885952351
"11783",141.345989524049
"11784",149.281508469684
"11785",146.683601071874
"11786",148.143093577062
"11787",140.328254800415
"11788",149.651325988497
"11789",141.718891145957
"11790",152.275993536185
"11791",147.33567645319
"11792",153.377315923987
"11793",144.091041127267
"11794",147.438222187137
"11795",153.585538570243
"11796",153.845807205345
"11797",147.90917906647
"11798",146.07077695257
"11799",149.975917152978
"11800",153.289279106011
"11801",146.133684059043
"11802",152.547288447934
"11803",147.427969231474
"11804",145.548278392566
"11805",145.783714649163
"11806",146.032973510465
"11807",152.328178896203
"11808",139.203383751655
"11809",147.1167988467
"11810",145.427831768004
"11811",156.03696085761
"11812",143.370022580272
"11813",152.047613678335
"11814",145.839453678133
"11815",153.281627640316
"11816",146.621398381299
"11817",148.958509368649
"11818",159.193297840749
"11819",155.991929329463
"11820",151.32941648827
"11821",149.231287799158
"11822",146.709150828718
"11823",152.888529343781
"11824",154.001203548655
"11825",148.215731464862
"11826",146.768169152823
"11827",161.913245124293
"11828",158.238725252329
"11829",146.929913360808
"11830",144.750131853967
"11831",155.139920677563
"11832",149.568547891784
"11833",145.635366800336
"11834",141.387459353992
"11835",154.574045536327
"11836",148.967045289591
"11837",148.580804253
"11838",152.500941866562
"11839",150.908745405993
"11840",145.863745468991
"11841",151.817215018265
"11842",144.40968154704
"11843",150.506294665801
"11844",146.395085569438
"11845",151.806718094128
"11846",159.586555397181
"11847",150.069567549729
"11848",161.807791204681
"11849",140.547286161962
"11850",156.379585103316
"11851",149.094787202805
"11852",139.735206763641
"11853",147.380286128657
"11854",150.334099547652
"11855",139.580014861426
"11856",144.635382049109
"11857",162.797265534855
"11858",150.018713941387
"11859",142.6604127617
"11860",146.100726871598
"11861",153.440309849489
"11862",149.021638315637
"11863",154.401261431598
"11864",152.944476777992
"11865",147.764728358686
"11866",154.844170390054
"11867",151.535779703756
"11868",153.712432600418
"11869",150.610734274113
"11870",152.188517526031
"11871",150.746621321949
"11872",141.493222184977
"11873",149.318317921236
"11874",143.154926472908
"11875",150.414835524644
"11876",156.273056290652
"11877",147.689695623685
"11878",147.681966809115
"11879",144.046752780144
"11880",153.068491390167
"11881",149.21218063844
"11882",148.304474700068
"11883",146.467933528537
"11884",148.366311100501
"11885",152.581251227991
"11886",146.113549436869
"11887",139.547541835113
"11888",158.457462999017
"11889",155.592835106331
"11890",150.406771687791
"11891",146.640267811167
"11892",151.804519359981
"11893",156.095679934483
"11894",155.630338350047
"11895",150.409242494067
"11896",151.567277984449
"11897",155.332894697076
"11898",144.792462083969
"11899",143.560841301597
"11900",152.259665642933
"11901",153.568768504495
"11902",156.284214568574
"11903",158.569368543873
"11904",145.36775454011
"11905",149.221816253676
"11906",146.909936797883
"11907",144.786372123189
"11908",147.98222261016
"11909",156.646977944455
"11910",157.914622651253
"11911",153.767353984637
"11912",150.107874602333
"11913",150.6753050134
"11914",152.866338707066
"11915",152.66269833635
"11916",152.192251849514
"11917",146.049483837415
"11918",148.322673143391
"11919",158.586012995316
"11920",146.052063231748
"11921",145.274502730195
"11922",155.917293924027
"11923",150.34626728428
"11924",145.247865909091
"11925",150.989619663882
"11926",148.035560339572
"11927",145.981594924058
"11928",156.071607292001
"11929",150.558361157141
"11930",150.182019442646
"11931",154.296601199543
"11932",155.150811701581
"11933",148.226691137638
"11934",149.89583547089
"11935",164.00918497867
"11936",148.182727229474
"11937",151.456314090761
"11938",143.971343324583
"11939",151.472566752579
"11940",148.607823653741
"11941",153.217196816889
"11942",159.2204954278
"11943",155.554518400794
"11944",158.997171802606
"11945",156.350441150752
"11946",150.617938189753
"11947",145.295841400103
"11948",146.542327887395
"11949",154.449989438649
"11950",148.454572946714
"11951",155.278018187606
"11952",150.552294152211
"11953",154.089230547787
"11954",154.335703939622
"11955",159.584390916922
"11956",147.587933123454
"11957",146.801433612617
"11958",159.222745937694
"11959",154.823276989711
"11960",149.383565603903
"11961",150.728794372742
"11962",145.889652563249
"11963",150.353738412564
"11964",151.569495873763
"11965",151.402163726369
"11966",147.360334994434
"11967",143.403466929944
"11968",155.74122826755
"11969",149.589748092114
"11970",147.195445406496
"11971",149.35889133286
"11972",144.739654919571
"11973",140.958260072357
"11974",151.472157563776
"11975",147.799500391841
"11976",147.614124593861
"11977",142.202801429869
"11978",147.893247666797
"11979",143.100113165095
"11980",154.359059972999
"11981",148.40316781382
"11982",142.694878024529
"11983",146.578396896715
"11984",156.59490465545
"11985",147.161827671526
"11986",152.659990912198
"11987",146.810563724527
"11988",144.232023493743
"11989",157.604677002536
"11990",143.643082847136
"11991",145.22394570151
"11992",150.633378605724
"11993",150.442890705313
"11994",150.785069087061
"11995",148.991392110509
"11996",146.722639013597
"11997",147.427350319694
"11998",145.267908040748
"11999",148.088531260766
"12000",148.451790477246
"12001",149.100160037406
"12002",151.968814945379
"12003",151.994318798718
"12004",153.066483417696
"12005",156.527867667444
"12006",142.812123044977
"12007",150.470393899448
"12008",149.875080360918
"12009",152.425140329209
"12010",145.313857893313
"12011",155.934162390069
"12012",144.396564820085
"12013",135.815076060273
"12014",143.799642883644
"12015",144.170728944859
"12016",150.725390145051
"12017",148.319554070924
"12018",147.287051191517
"12019",134.504068005277
"12020",150.504698777478
"12021",140.534577091118
"12022",146.237796803549
"12023",140.845811114451
"12024",148.536121958651
"12025",145.487518937194
"12026",145.819001407167
"12027",144.744256473708
"12028",141.278602282363
"12029",148.692639464559
"12030",147.494567885309
"12031",148.199648391868
"12032",137.74642944182
"12033",150.911418175603
"12034",153.259032530659
"12035",148.428064267036
"12036",145.390129336064
"12037",142.646352058392
"12038",129.563634246502
"12039",154.223559921708
"12040",138.525229640097
"12041",139.820131575732
"12042",141.875644938431
"12043",150.794706969568
"12044",135.151546588158
"12045",148.055894774626
"12046",132.857433280731
"12047",155.569430380486
"12048",137.670401625983
"12049",142.740227241029
"12050",143.334795144518
"12051",137.917797458776
"12052",154.896100171888
"12053",148.628854439635
"12054",148.751928865089
"12055",144.502629738152
"12056",153.832793374644
"12057",134.497559643619
"12058",137.331152276655
"12059",142.701294660596
"12060",142.053869462584
"12061",150.272162396428
"12062",148.107382715809
"12063",152.83001591681
"12064",150.292202936678
"12065",147.875627402157
"12066",152.680313265814
"12067",152.731919132435
"12068",148.699797263111
"12069",158.767712884199
"12070",157.513770299285
"12071",149.411776838172
"12072",159.013123529213
"12073",156.739237744953
"12074",155.143168111816
"12075",137.783404245095
"12076",143.320127816552
"12077",154.298388790052
"12078",149.673999171133
"12079",144.163737535784
"12080",146.077069785797
"12081",152.427566275933
"12082",148.059909212523
"12083",159.415491442748
"12084",148.645304716531
"12085",155.584247221453
"12086",141.688985968208
"12087",155.167385951886
"12088",148.969261618283
"12089",149.136807128818
"12090",158.84344700366
"12091",156.789545215798
"12092",146.598684097035
"12093",145.302700115461
"12094",161.615561124535
"12095",150.004496394806
"12096",150.586623437478
"12097",138.467987492247
"12098",154.321924497466
"12099",152.503083743933
"12100",141.343871237734
"12101",147.781731060869
"12102",147.904384820843
"12103",146.673494442871
"12104",153.404951787516
"12105",145.150777591305
"12106",144.821137818978
"12107",145.442290785466
"12108",151.243033110615
"12109",157.67406227073
"12110",144.436763950062
"12111",144.265374228531
"12112",157.647981943404
"12113",146.834051834734
"12114",154.293551677897
"12115",145.919930631104
"12116",150.471913761829
"12117",150.753498107651
"12118",156.359703178745
"12119",147.817408363039
"12120",147.099626933568
"12121",143.571679172997
"12122",144.319149173016
"12123",138.457870547744
"12124",147.000267394026
"12125",140.571139265639
"12126",152.43899289682
"12127",141.42506542355
"12128",145.591977810732
"12129",141.631918771948
"12130",148.537396476076
"12131",155.049325809195
"12132",150.095130474079
"12133",150.453641582377
"12134",143.852045834701
"12135",152.130758386399
"12136",160.293424346589
"12137",153.116964059961
"12138",154.597950012742
"12139",139.91381336634
"12140",139.752985457629
"12141",152.190430597717
"12142",159.017265095988
"12143",147.130447844412
"12144",156.621970072854
"12145",156.325673511882
"12146",155.002762447195
"12147",147.976197682071
"12148",139.132885142923
"12149",144.908111144967
"12150",144.073561451334
"12151",144.487683776553
"12152",152.953305911123
"12153",158.473745314321
"12154",152.527055185158
"12155",143.934018150815
"12156",143.764678660422
"12157",149.321543832085
"12158",138.526374692005
"12159",157.679804764124
"12160",152.617896436765
"12161",147.221490870597
"12162",141.052177600822
"12163",150.68233533763
"12164",141.78962915358
"12165",152.051132711885
"12166",146.003096509171
"12167",144.826612160312
"12168",143.74505694708
"12169",148.263246788472
"12170",148.417817533382
"12171",136.00881261432
"12172",151.731052049267
"12173",152.236827156721
"12174",145.382752641909
"12175",145.932632655952
"12176",143.569846454697
"12177",143.922002460391
"12178",151.568577893106
"12179",150.881016955536
"12180",143.003307578279
"12181",148.707828195316
"12182",141.133514085506
"12183",149.411129227494
"12184",150.710985653384
"12185",143.075839020051
"12186",151.246422237975
"12187",147.507889224497
"12188",145.292478668876
"12189",155.65733936002
"12190",156.3155718488
"12191",155.910118642735
"12192",146.789438233503
"12193",145.425792082501
"12194",154.037004522057
"12195",150.14975654712
"12196",150.760964538905
"12197",147.617326202245
"12198",158.204040332643
"12199",154.031381137184
"12200",157.821134563697
"12201",150.390045092937
"12202",148.516351109916
"12203",153.427786090275
"12204",145.814985002537
"12205",147.379466695518
"12206",150.973051798451
"12207",152.800423108316
"12208",146.230643612851
"12209",152.743073341849
"12210",146.997974813028
"12211",141.127036202434
"12212",145.245823437081
"12213",145.637133720391
"12214",142.196550543305
"12215",151.845211589776
"12216",149.636388334525
"12217",147.614783668723
"12218",147.909928189744
"12219",149.922783128178
"12220",145.744076209161
"12221",146.153150355288
"12222",149.041376408029
"12223",153.860396444748
"12224",153.451084044937
"12225",154.418913276312
"12226",154.202695412925
"12227",154.862099417249
"12228",146.062515028192
"12229",143.168669267209
"12230",152.350847478784
"12231",157.801863910877
"12232",142.394804917361
"12233",148.300574290206
"12234",146.730163268934
"12235",146.34934510125
"12236",150.723617369933
"12237",154.833293578591
"12238",152.729906768437
"12239",150.946552026686
"12240",149.863782215101
"12241",146.992119776759
"12242",146.504003186396
"12243",157.211981578786
"12244",162.203989998398
"12245",150.459191708024
"12246",147.32983391272
"12247",146.175564593191
"12248",144.174067751328
"12249",142.057006753153
"12250",150.537265664255
"12251",143.59746313045
"12252",150.794573109359
"12253",151.634436753192
"12254",144.867818450323
"12255",147.908368533985
"12256",151.423031085786
"12257",153.911713423005
"12258",152.948334201392
"12259",145.241928777782
"12260",147.795315022723
"12261",150.542955172246
"12262",156.621730253395
"12263",151.846332819955
"12264",145.822207152058
"12265",145.888760546393
"12266",151.944633182566
"12267",154.219030732706
"12268",144.885573395003
"12269",146.724671420924
"12270",150.273558675226
"12271",155.65356954967
"12272",149.340518365913
"12273",151.9546606202
"12274",149.819074916417
"12275",156.720664583743
"12276",150.472857056676
"12277",144.113888595295
"12278",153.08444872569
"12279",153.208022006532
"12280",154.766702133489
"12281",145.274737883771
"12282",151.599294658631
"12283",156.268533896178
"12284",155.189381396033
"12285",138.967559220503
"12286",143.152054569032
"12287",162.746633496237
"12288",150.901895017992
"12289",150.750244651921
"12290",156.11758439571
"12291",157.837942905851
"12292",156.796101514983
"12293",162.313985965699
"12294",160.630549329512
"12295",151.898962564042
"12296",160.786610080544
"12297",144.92245708093
"12298",149.727449491496
"12299",154.201080626373
"12300",155.665718408223
"12301",161.476933277542
"12302",148.931339408665
"12303",145.678316705948
"12304",160.842659557119
"12305",159.367383562982
"12306",151.448660355865
"12307",160.106227860323
"12308",161.202702186156
"12309",147.058685576384
"12310",155.140546107174
"12311",154.411906865154
"12312",148.915511762638
"12313",152.545933969333
"12314",157.727105249392
"12315",158.577815712267
"12316",151.208263962906
"12317",149.286717741119
"12318",162.318023118245
"12319",144.991396293147
"12320",153.485314254461
"12321",153.037147675868
"12322",145.211089130386
"12323",152.46151819222
"12324",158.052194381126
"12325",150.861981603431
"12326",151.914497233918
"12327",154.364788211487
"12328",158.31144195747
"12329",152.540871842649
"12330",147.462216413802
"12331",142.649832598319
"12332",156.990770668417
"12333",162.859235631399
"12334",163.315114999598
"12335",152.582379572995
"12336",155.75377491599
"12337",163.43161075345
"12338",152.794769051285
"12339",141.867183201513
"12340",148.628149284274
"12341",155.077366811187
"12342",140.879597646907
"12343",144.212622656482
"12344",156.83918929583
"12345",159.209796591535
"12346",159.699241414136
"12347",151.659562354923
"12348",154.51929908351
"12349",158.367456563558
