"OUTDOOR","SOCIAL","CONSERVATIVE","JOB","JID"
10,22,5,1,1
14,17,6,1,2
19,33,7,1,3
14,29,12,1,4
14,25,7,1,5
20,25,12,1,6
6,18,4,1,7
13,27,7,1,8
18,31,9,1,9
16,35,13,1,10
17,25,8,1,11
10,29,11,1,12
17,25,7,1,13
10,22,13,1,14
10,31,13,1,15
18,25,5,1,16
0,27,11,1,17
10,24,12,1,18
15,23,10,1,19
8,29,14,1,20
6,27,11,1,21
10,17,8,1,22
1,30,6,1,23
14,29,7,1,24
13,21,11,1,25
21,31,11,1,26
12,26,9,1,27
12,22,9,1,28
5,25,7,1,29
10,24,5,1,30
3,20,14,1,31
6,25,12,1,32
11,27,10,1,33
13,21,14,1,34
11,23,5,1,35
8,18,8,1,36
5,17,9,1,37
11,22,11,1,38
14,22,11,1,39
22,22,6,1,40
16,28,6,1,41
12,25,8,1,42
12,25,7,1,43
15,21,4,1,44
11,28,8,1,45
11,20,9,1,46
15,19,9,1,47
15,24,7,1,48
15,21,10,1,49
17,26,7,1,50
12,28,13,1,51
7,28,12,1,52
14,12,6,1,53
22,24,6,1,54
22,27,12,1,55
18,30,9,1,56
16,18,5,1,57
12,23,4,1,58
16,22,2,1,59
15,26,9,1,60
7,13,7,1,61
6,18,6,1,62
9,24,6,1,63
9,20,12,1,64
20,28,8,1,65
5,22,15,1,66
14,26,17,1,67
8,28,12,1,68
14,22,9,1,69
15,26,4,1,70
15,25,10,1,71
14,27,6,1,72
15,25,11,1,73
11,26,9,1,74
10,28,5,1,75
7,22,10,1,76
11,15,12,1,77
14,25,15,1,78
18,28,7,1,79
14,29,8,1,80
17,20,6,1,81
13,25,14,1,82
9,21,12,1,83
13,26,13,1,84
16,24,10,1,85
20,27,6,2,1
21,15,10,2,2
15,27,12,2,3
15,29,8,2,4
11,25,11,2,5
24,9,17,2,6
18,21,13,2,7
14,18,4,2,8
13,22,12,2,9
17,21,9,2,10
16,28,13,2,11
15,22,12,2,12
24,20,15,2,13
14,19,13,2,14
14,28,1,2,15
18,17,11,2,16
14,24,7,2,17
12,16,10,2,18
16,21,10,2,19
18,19,9,2,20
19,26,7,2,21
13,20,10,2,22
28,16,10,2,23
17,19,11,2,24
24,14,7,2,25
19,23,12,2,26
22,12,8,2,27
22,21,11,2,28
21,19,9,2,29
18,24,13,2,30
23,27,11,2,31
20,23,12,2,32
19,13,7,2,33
17,28,13,2,34
20,24,5,2,35
21,23,11,2,36
17,21,15,2,37
11,25,12,2,38
14,19,14,2,39
18,24,5,2,40
13,14,7,2,41
22,18,16,2,42
25,17,13,2,43
19,25,13,2,44
20,20,9,2,45
21,25,11,2,46
17,24,11,2,47
18,26,10,2,48
21,29,11,2,49
17,21,12,2,50
17,19,12,2,51
17,16,6,2,52
16,22,5,2,53
22,19,10,2,54
19,23,12,2,55
16,23,9,2,56
18,27,11,2,57
21,24,12,2,58
15,22,13,2,59
19,26,12,2,60
14,17,11,2,61
15,23,7,2,62
23,20,16,2,63
22,26,15,2,64
13,16,11,2,65
25,29,11,2,66
23,24,7,2,67
17,29,9,2,68
21,19,7,2,69
15,13,6,2,70
19,27,14,2,71
22,24,14,2,72
17,18,8,2,73
21,19,8,2,74
24,18,13,2,75
21,12,9,2,76
15,17,8,2,77
24,22,14,2,78
19,19,7,2,79
23,16,10,2,80
21,29,12,2,81
20,19,11,2,82
18,28,0,2,83
23,21,16,2,84
17,17,8,2,85
17,24,5,2,86
17,18,15,2,87
17,23,10,2,88
19,15,10,2,89
17,20,8,2,90
25,20,8,2,91
16,19,8,2,92
19,16,6,2,93
19,19,16,3,1
17,17,12,3,2
8,17,14,3,3
13,20,16,3,4
14,18,4,3,5
17,12,13,3,6
17,12,17,3,7
14,21,16,3,8
19,18,12,3,9
18,16,15,3,10
15,14,17,3,11
20,15,7,3,12
24,20,13,3,13
16,16,17,3,14
17,15,10,3,15
17,10,12,3,16
11,16,11,3,17
15,18,14,3,18
20,19,16,3,19
14,22,16,3,20
13,15,18,3,21
16,14,13,3,22
12,12,6,3,23
17,17,19,3,24
10,8,16,3,25
11,17,20,3,26
13,16,7,3,27
19,15,13,3,28
15,11,13,3,29
17,11,10,3,30
15,10,13,3,31
19,14,12,3,32
19,14,15,3,33
4,12,11,3,34
13,12,15,3,35
20,13,19,3,36
14,18,14,3,37
10,12,9,3,38
11,12,19,3,39
8,20,8,3,40
14,16,7,3,41
18,20,15,3,42
19,7,13,3,43
21,13,11,3,44
14,26,15,3,45
25,16,12,3,46
18,11,19,3,47
14,16,6,3,48
13,20,18,3,49
20,16,14,3,50
12,14,8,3,51
16,19,12,3,52
21,15,7,3,53
18,23,15,3,54
19,11,13,3,55
17,18,9,3,56
4,10,15,3,57
17,17,14,3,58
14,13,12,3,59
15,16,14,3,60
20,13,18,3,61
20,14,18,3,62
16,22,12,3,63
9,13,16,3,64
15,13,13,3,65
18,20,10,3,66
