SPECIES,CU_NO,CU_LT,LE_LT,LE_WD,FL_WD,LI_LT,NO_BPB,PAN_LT,AW_LT,AW_TH,SP_LT,SP_WD,STL_WD,STI_LT,AN_LT,SP_FRT,SPWD_SPLT
MERIDIONALIS,25.4,79.72,47.28,1.26,1.48,21.24,1.04,21.44,122.06,0.34,8.22,2.34,0.68,1.5,2.24,45.48,0.29
MERIDIONALIS,121.4,107.36,50.36,1.22,1.38,19.72,1.44,24.24,109.74,0.3,9.62,2.36,0.66,1.4,2.4,48.36,0.25
MERIDIONALIS,137.5,146.8,62,1.28,1.33,27.5,1.55,26.45,141.73,0.3,8.15,2.18,0.78,1.35,2.33,63.25,0.27
MERIDIONALIS,151.8,140,59.72,1.4,1.48,26.72,1.44,24.08,145.36,0.28,8.36,2.62,0.72,1.38,2.42,55.44,0.31
NIVARA,80.75,123.45,65.15,0.83,0.98,26.3,1.3,20.7,63.53,0.25,8.43,3.08,0.93,1.33,2.35,36.5,0.37
NIVARA,128.6,73.16,44.8,1.12,1.34,19.4,1.08,19.28,63.42,0.2,7.72,2.32,0.7,1.62,2.22,67.64,0.3
NIVARA,189,87.44,42.92,0.86,1.06,21.64,1.2,22.8,91.08,0.3,8.62,2.76,0.86,1.6,3.06,77,0.32
NIVARA,189.75,104.95,65.1,0.68,0.83,26.25,1.2,23.1,74.55,0.28,8.45,2.75,0.8,1.5,2.9,64.85,0.32
NIVARA,79,88.2,48.93,1.27,1.63,16.93,1,22.87,59.03,0.23,8.17,2.93,0.7,1.57,2.67,55.53,0.36
NIVARA,150,97.85,48.75,1.18,1.23,17.15,1.05,21.6,75.75,0.23,8.83,2.93,0.8,1.53,2.4,62.4,0.33
NIVARA,22.8,99.72,52.92,1.32,1.42,21.36,1.2,19.64,55.32,0.26,8.1,2.98,0.8,1.14,2.44,35.8,0.37
NIVARA,131,87.24,58.16,1.3,1.54,23.16,1,22.6,94.8,0.28,9.24,2.78,0.78,1.54,2.9,54.88,0.3
NIVARA,159,77.08,42.72,0.98,1.16,18.68,1,18.04,102.4,0.3,9.1,2.94,0.88,1.5,2.76,61.56,0.33
NIVARA,206,100.08,58.2,1.06,1.1,15.72,2.04,20.04,92.78,0.3,7.68,2.84,0.74,1.36,2.3,82.08,0.37
NIVARA,136,64.73,49.07,1.2,1.6,18,1,18.93,84.57,0.23,9.5,3.23,0.97,1.6,2.37,64.67,0.34
NIVARA,125.5,132,54.4,1.35,1.4,17.8,1.7,20.1,68.2,0.25,8.35,3.1,1,1.45,2.5,88,0.37
