POP_CODE,SPECIES,CU_NO,CU_LT,LE_LT,LE_WD,FL_WD,LI_LT,NO_BPB,PAN_LT,AW_LT,AW_TH,SP_LT,SP_WD,STL_WD,STI_LT,AN_LT,SP_FRT,SPWD_SPLT
M4,MERIDIONALIS,39.33,94,58,1.43,1.6,28.13,1.93,26.73,124.63,0.37,9.4,2.57,0.63,1.63,2.8,34.47,0.27
N14,NIVARA,176,95.48,44.88,0.72,0.84,20.68,1.08,17.96,88.26,0.24,8.32,2.7,0.72,1.28,2.66,67.32,0.32
N15,NIVARA,103,99.16,45.64,0.84,0.94,25.16,1,20.24,107.7,0.3,9.04,2.72,0.76,1.52,2.66,60.32,0.3
N16,NIVARA,187.2,104.64,62.6,0.9,1.04,32.16,1.12,22.72,91.32,0.3,8.68,2.9,0.8,1.48,2.54,71.88,0.33
N21,NIVARA,205.8,86.4,42.84,0.96,1.04,24.16,1.12,16.68,83.52,0.34,8.74,2.92,0.74,1.34,2.82,53.56,0.34
N22,NIVARA,160.2,124.72,50.16,0.98,1.08,17.96,1.48,20.6,102.68,0.3,8.58,2.84,0.98,1.68,2.66,84.04,0.33
N23,NIVARA,158.8,81.72,38.84,1.2,1.28,13.24,1,16.48,79.5,0.24,8.62,3.06,0.74,1.52,2.52,62.8,0.36
N33,NIVARA,134.8,99.64,60.92,1.1,1.22,25,1.08,22.6,80.48,0.26,8.58,3.18,1.06,1.66,2.14,65.64,0.37
N41,NIVARA,241,77.9,46.65,0.83,1.03,21.95,1.05,20.85,98.08,0.3,9.53,3.03,0.8,1.58,3.25,75,0.32
N47,NIVARA,172.4,110.28,52.04,0.98,1.06,26.96,1.08,23.44,99.74,0.28,7.96,2.6,0.72,1.52,2.48,68.08,0.33
N5,NIVARA,227,103.2,45.36,0.76,0.76,15.92,1.2,24.36,102.28,0.3,8.24,2.56,0.72,1.58,2.82,75.08,0.31
N7,NIVARA,166.6,92.36,50.92,0.96,1,21.32,1.12,20,84.48,0.28,8.86,2.9,0.82,1.44,2.84,64.04,0.33
N8,NIVARA,202.8,92.12,43.12,0.74,0.82,15.12,1.08,20.6,83.7,0.24,8.26,2.72,0.8,1.54,2.58,67.52,0.33
R13,RUFIPOGON,155.6,159.12,55.04,0.9,0.94,22.28,1.08,23.96,87.8,0.24,8.2,2.36,0.72,1.72,4.98,35.72,0.29
R14,RUFIPOGON,168.2,128.8,31.48,0.82,0.88,15.24,1.08,17.32,59.88,0.2,8.28,2.36,0.76,1.68,4.82,21.48,0.28
R16,RUFIPOGON,147,150,39.36,0.74,0.9,13.8,1.08,19.4,62.42,0.22,8.22,2.22,0.64,1.58,5.24,31.28,0.27
R19,RUFIPOGON,207,120.96,39.2,0.98,1.08,20.56,1.28,21.16,59.32,0.2,8.4,2.3,0.88,2.02,5.34,20.2,0.27
R21,RUFIPOGON,92,100.68,27.68,0.88,0.94,18.72,1.04,19.52,63.7,0.2,8.06,2.14,0.8,1.6,5.06,39.44,0.27
R22,RUFIPOGON,164.8,132.88,37.24,0.9,0.92,15.2,1.12,19,79.06,0.22,8.94,2.52,0.76,1.94,3.96,32.44,0.28
R25,RUFIPOGON,203.4,128.6,32.32,0.76,0.86,19.56,1.52,18.96,48.5,0.2,8.18,2.26,0.84,1.44,4.78,31.36,0.28
R30,RUFIPOGON,120.4,124.32,32.92,1.34,1.34,14.84,1.2,20.6,61.7,0.2,8.08,2.34,0.7,2.22,5.52,49.56,0.29
R31,RUFIPOGON,153.75,100.5,29.1,1.05,1.05,14.45,1.4,17.25,56,0.2,8.4,2.35,0.75,1.75,5.18,56.6,0.28
R41,RUFIPOGON,165,151.75,30.05,0.85,0.83,13.45,1.1,13.5,58.05,0.2,8.2,2.33,0.75,1.78,4.5,14.4,0.28
R53,RUFIPOGON,50.4,127.56,41.88,1,1,27.88,1.08,23.12,70.3,0.24,8.7,2.26,0.78,2.22,5.36,55,0.26
R58,RUFIPOGON,128.6,147.56,36.64,0.96,1.04,18.12,1.24,19.04,58.62,0.2,8.78,2.4,0.78,2.04,4.8,33.72,0.27
R5B,RUFIPOGON,184,137.5,38.8,0.75,0.8,18.2,1,18.9,101.95,0.25,9.05,2.3,0.95,2,4.75,41.2,0.26
R7,RUFIPOGON,99.25,158.7,35.35,0.9,0.95,19.85,1,20.5,66.73,0.23,8.38,2.38,0.68,1.65,5.03,35.95,0.28
