SITE,FIELD_NO,Number,N,P,K,IU,HU,CEM,DSCUM,VAR,DH,WH,WM,LF,RT,BS,SHB,NB,LB,BLB,WA,WB,Y
A,1,1,110.16,39.92,41.7,1,2,TPR,0,HYB1,1.11,0.76,19.2,53.89,4,0,4,0,0,0,19.03,78.57,8.3
A,2,2,140.94,55.13,50.82,2,1,TPR,0,HYB1,2.78,0.59,19.12,57.84,0,0,0,0,0,8.05,19.73,98.81,10.21
A,3,3,131.33,50.24,44.34,1,2,TPR,0,HYB1,0.98,0,3.12,17.4,12.5,0,12.5,0,0,13.78,64.86,91.83,9.14
A,4,4,70.77,7.09,0,0,0,TPR,2,MV1,0,0,142.67,57.67,0,80.65,6.76,90,230,0,0,0,3.85
A,5,5,105.36,25.1,22.71,0,0,TPR,0,HYB1,4,8,584,839,0,0,15.38,15.44,86,200,12,49,6.39
A,6,6,114.06,14.45,17.47,2,3,DSR,1,MV1,0,0,4.5,5.5,0,12.41,15.7,40.1,120,0,200.65,940.73,3.4
A,7,7,115.35,41.49,38.69,1,2,TPR,0,HYB1,2.08,1.19,21.71,29.61,0,0,0,0,0,0,66.13,243.2,8.86
A,8,8,140.12,49.98,64.54,1,1,TPR,0,HYB1,1.7,0.35,14.81,72.34,10.4,0,10.4,0,0,0,64.94,258.72,8.89
A,9,9,104,31.12,30.92,1,1,TPR,0,HYB1,1.98,1.35,27.53,0,7.14,0,7.14,0,0,0,58.11,188.32,6.97
A,10,10,120.97,42.24,40.78,1,1,TPR,0,HYB1,2.3,1.33,17.27,83.86,0,0,0,0,0,0,53.63,200.05,7.08
A,11,11,109.74,38.56,43.92,1,1,TPR,0,HYB1,1.76,1.05,13.56,25.62,12.5,0,12.5,0,0,0,57.41,180.91,8.35
A,12,12,119.61,51.32,52.38,2,2,TPR,0,HYB1,0,0,0,4.44,7.69,0,7.69,0,0,0,55.55,187.01,8.64
A,13,13,112.22,34.93,41,1,1,TPR,0,HYB1,3.24,4.02,30.14,10.94,0,0,0,0,0,0,58.52,189.14,8.25
A,14,14,109.73,40.27,42.52,1,0,TPR,0,HYB1,1.27,0.69,27.69,63,0,0,0,0,0,0,48.74,167.1,8.81
A,15,15,105,45,48.63,1,2,TPR,0,HYB1,1.24,1.08,47.12,9.7,0,0,0,0,0,0,52.18,168.87,8.23
A,16,16,112.46,50.85,46.56,1,2,TPR,0,HYB1,1.05,1,20.48,60.69,0,0,0,0,0,17.21,35.55,188.48,8.58
A,17,17,120.96,67.32,45.39,2,2,TPR,0,HYB1,0,0,3.21,85,0,0,0,0,0,9.9,15.67,152.4,8.75
A,18,18,110.38,48.57,47.06,1,1,TPR,0,HYB1,2.73,2.23,9.37,80.72,0,0,0,0,0,0,66.83,157.45,8.31
A,19,19,111.38,49.57,48.06,0,0,TPR,0,HYB1,2.63,2.32,10.73,89.63,0,0,0,0,0,0,67.72,148.54,8.3
A,20,20,110.28,9.83,11.92,0,0,TPR,0,HYB1,4.08,1.99,58.38,29.91,0,0,0,0,0,0,60.89,169.26,5.67
A,21,21,111.24,40.06,45.42,1,1,TPR,0,HYB1,3.26,2.55,15.06,27.12,14,0,14,0,0,0,58.91,182.41,8.4
A,22,22,111.66,41.42,43.2,1,2,TPR,0,HYB1,2.61,2.26,20.7,55.39,5.5,0,5.5,0,0,0,10.63,80.07,8.35
A,23,23,121.11,52.82,53.88,2,2,TPR,0,HYB1,0,0,0,5.94,9.19,0,9.19,0,0,0,57.05,188.51,8.69
