trt,depth,genotype,plot,RLD,laterals,diam,forks
control,15,Dular,2,6.270685057,89.01489927,0.131633333,7568
control,15,N22,4,2.876463484,82.68535306,0.176066667,3379
control,15,IR74731-70-1-1,5,7.028307692,89.088818,0.121866667,7627
control,15,Swarna,6,14.83045906,91.78333159,0.1085,22499.33333
control,15,Psbrc82,7,11.76803077,91.44954398,0.109333333,15728.33333
control,15,IR64,8,14.98478585,91.94557345,0.109366667,23266
control,15,Dular,9,13.16984368,91.09286284,0.119233333,18886
control,15,IR64,10,15.2166336,91.89951827,0.111933333,22845
control,15,IR74731-70-1-1,11,10.26161927,89.32184591,0.1198,12063.66667
control,15,Psbrc82,12,10.88726189,91.28491413,0.1093,15001
control,15,Swarna,15,12.69214925,90.95279952,0.113,18986.66667
control,15,N22,16,4.884486472,88.36259431,0.134566667,5482
control,15,Swarna,17,9.971997701,91.24102439,0.114533333,13653.66667
control,15,IR64,19,8.843440672,88.60854527,0.1305,11846.66667
control,15,Dular,20,9.701544297,88.74252566,0.141666667,13265.33333
control,15,IR74731-70-1-1,22,5.645057294,85.7233236,0.144966667,6238.666667
control,15,N22,23,5.79499611,86.20411387,0.1471,7267.666667
control,15,Psbrc82,24,7.065570292,89.05109292,0.1221,8898
control,15,IR74731-70-1-1,25,21.53958691,93.64396508,0.096333333,34258.33333
control,15,Swarna,26,6.013174713,85.02909451,0.148066667,6332.333333
control,15,Psbrc82,28,8.433325729,87.94190371,0.138066667,10960.66667
control,15,Dular,29,5.979903448,84.85803291,0.1471,7387
control,15,N22,31,2.460822989,77.87002756,0.2069,2795.666667
control,15,IR64,32,9.097180018,89.99192265,0.118033333,12140.33333
control,30,Dular,2,3.051882935,76.91695383,0.208966667,4986
control,30,N22,4,1.948027056,79.38668673,0.189166667,2455.666667
control,30,IR74731-70-1-1,5,1.074382847,73.40156423,0.2043,1195.333333
control,30,Swarna,6,2.94947038,82.76964475,0.152433333,4298.333333
control,30,Psbrc82,7,1.5604458,82.2247042,0.1553,1954.333333
control,30,IR64,8,2.398182317,81.6591437,0.1671,2924.333333
control,30,Dular,9,2.358406189,79.08483721,0.1708,3028.333333
control,30,IR64,10,3.947330327,82.80889733,0.159833333,5891
control,30,IR74731-70-1-1,11,2.651349779,80.0734212,0.179566667,3465.666667
control,30,Psbrc82,12,1.6515084,78.2997497,0.176533333,1674.333333
control,30,Swarna,15,2.842253581,82.77309894,0.148233333,3416.333333
control,30,N22,16,2.26771618,85.30396781,0.157,2858.666667
control,30,Swarna,17,1.929727851,84.56699012,0.137166667,2400.666667
control,30,IR64,19,2.288804067,80.98452923,0.161766667,2787.333333
control,30,Dular,20,3.669499381,83.61177028,0.166233333,5781.333333
control,30,IR74731-70-1-1,22,1.552748011,76.16586866,0.183566667,1777.333333
control,30,N22,23,1.464418744,74.65895164,0.1979,1565
control,30,Psbrc82,24,2.161593103,87.17224352,0.1267,2684.333333
control,30,IR74731-70-1-1,25,2.74919328,85.50450291,0.1351,3635.333333
control,30,Swarna,26,2.868495844,81.68832495,0.160566667,3820.666667
control,30,Psbrc82,28,2.081144474,74.20320574,0.188766667,2718.333333
control,30,Dular,29,1.396529973,75.54016063,0.2063,1589
control,30,N22,31,1.72213687,71.61120241,0.241066667,2267.333333
control,30,IR64,32,1.435065959,70.10782772,0.2231,1626
control,45,Dular,2,0.701192396,75.78739753,0.175633333,722.3333333
control,45,N22,4,0.35751176,74.70682142,0.171933333,248.6666667
control,45,IR74731-70-1-1,5,0.270443678,56.79549552,0.2578,192.3333333
control,45,Swarna,6,0.168433775,56.37024314,0.1469,63.66666667
control,45,Psbrc82,7,0.314152608,55.48597019,0.216733333,149.6666667
control,45,IR64,8,0.391943059,60.72719386,0.2171,256
control,45,Dular,9,0.281419805,70.04442568,0.1441,208
control,45,IR64,10,0.510613439,63.62815135,0.219833333,388.6666667
control,45,IR74731-70-1-1,11,0.275309991,58.63363655,0.254466667,143.3333333
control,45,Psbrc82,12,0.329751901,75.92618794,0.1669,192.3333333
control,45,Swarna,15,0.532015561,72.91538279,0.181,429.3333333
control,45,N22,16,0.586818568,78.08001685,0.171,488
control,45,Swarna,17,0.327244739,66.46861318,0.119933333,253.6666667
control,45,IR64,19,0.43043183,61.18564782,0.269533333,332
control,45,Dular,20,0.873633952,73.91734245,0.177366667,792
control,45,IR74731-70-1-1,22,0.451713882,76.10818161,0.173233333,445.3333333
control,45,N22,23,0.194686826,76.00940758,0.116266667,143
control,45,Psbrc82,24,0.197031477,70.56520766,0.1326,139
control,45,IR74731-70-1-1,25,0.233125906,61.87587806,0.1338,141.3333333
control,45,Swarna,26,0.294281167,76.86402644,0.102,246
control,45,Psbrc82,28,0.337801945,65.21338505,0.228566667,281
control,45,Dular,29,0.406517418,62.08313666,0.2449,376
control,45,N22,31,0.380008134,61.98884665,0.2398,302.3333333
control,45,IR64,32,0.325897082,69.69190023,0.214733333,256.3333333
stress,15,Dular,2,100,87.01596947,0.1411,10495.33333
stress,15,N22,4,3.75271618,82.11299134,0.166766667,4865.666667
stress,15,IR74731-70-1-1,5,7.086400354,86.67109937,0.1339,8898
stress,15,Swarna,6,7.194454642,90.0467918,0.118033333,8868.666667
stress,15,Psbrc82,7,5.749949248,86.11000407,0.1412,6924.333333
stress,15,IR64,8,5.589525906,86.13100941,0.1313,6976.333333
stress,15,Dular,9,4.411111583,84.51076597,0.152266667,5599
stress,15,IR64,10,4.532302918,84.8862166,0.1392,5404.666667
stress,15,IR74731-70-1-1,11,2.516220513,78.73059959,0.169266667,3146.666667
stress,15,Psbrc82,12,8.563850221,86.96553247,0.128166667,11147.66667
stress,15,Swarna,15,9.263482051,88.78832196,0.122666667,13466.33333
stress,15,N22,16,2.716271618,78.71597063,0.2033,3528.666667
stress,15,Swarna,17,6.53858992,86.29190948,0.1363,8422
stress,15,IR64,19,3.760710698,81.89322004,0.162566667,4516
stress,15,Dular,20,4.593994872,84.89925096,0.1498,6063
stress,15,IR74731-70-1-1,22,4.447269319,83.12448878,0.147966667,5283.333333
stress,15,N22,23,4.518729973,86.06773712,0.143666667,5710.333333
stress,15,Psbrc82,24,10.95435721,88.09687073,0.116,15260.33333
stress,15,IR74731-70-1-1,25,8.321235013,87.88712089,0.1285,10641.33333
stress,15,Swarna,26,6.624127144,85.33971186,0.135966667,8621
stress,15,Psbrc82,28,10.01654483,87.91766524,0.1287,14207.33333
stress,15,Dular,29,10.37845959,88.72891963,0.134566667,15419
stress,15,N22,31,4.508597878,81.2921447,0.174066667,5293
stress,15,IR64,32,10.04936074,88.50004737,0.128433333,13962.66667
stress,30,Dular,2,2.672441733,75.88016837,0.2025,2901
stress,30,N22,4,1.386956676,66.8512325,0.238733333,1402
stress,30,IR74731-70-1-1,5,1.049443678,60.66621199,0.275133333,744.6666667
stress,30,Swarna,6,1.196110522,68.63589313,0.2357,1413.666667
stress,30,Psbrc82,7,0.99705641,67.22993259,0.231533333,708
stress,30,IR64,8,1.467143413,64.5501688,0.230433333,1049
stress,30,Dular,9,1.011608488,68.37464276,0.2456,2534.666667
stress,30,IR64,10,1.254632891,74.61724027,0.1907,2224.666667
stress,30,IR74731-70-1-1,11,0.579899912,56.78568132,0.273533333,1755
stress,30,Psbrc82,12,0.942887003,72.7779793,0.190366667,2298.666667
stress,30,Swarna,15,1.616779487,73.57047193,0.1793,4014
stress,30,N22,16,1.80148382,64.3397539,0.266066667,2250.333333
stress,30,Swarna,17,1.01636481,68.6216803,0.275633333,2680.666667
stress,30,IR64,19,1.198335986,73.98683793,0.1826,2674.333333
