rep,var,wregime,das,depth,wexr,rld,RLD100
1,MOROB,WWATER,14,5,0.203209,0.03031,3.031
1,MOROB,WWATER,14,15,0.264694,0.197895,19.7895
1,MOROB,WWATER,14,25,0.295602,0.223055,22.3055
1,MOROB,WWATER,14,35,0.384885,0.22594,22.594
1,MOROB,WWATER,14,45,0.261322,0.327125,32.7125
1,MOROB,WWATER,14,55,0.248169,0.0452,4.52
1,MOROB,WWATER,14,65,0.319815,0,0
1,MOROB,WWATER,21,5,0.391028,0.03394,3.394
1,MOROB,WWATER,21,15,0.243729,0.78193,78.193
1,MOROB,WWATER,21,25,0.214986,0.349135,34.9135
1,MOROB,WWATER,21,35,0.209472,0.36974,36.974
1,MOROB,WWATER,21,45,0.267515,0.60427,60.427
1,MOROB,WWATER,21,55,0.335377,0.46051,46.051
1,MOROB,WWATER,21,65,0.39603,0.40974,40.974
1,MOROB,WWATER,35,5,0.054011,0.675995,67.5995
1,MOROB,WWATER,35,15,0.990174,0.784965,78.4965
1,MOROB,WWATER,35,25,1.291562,0.536975,53.6975
1,MOROB,WWATER,35,35,1.264609,0.441895,44.1895
1,MOROB,WWATER,35,45,1.277195,0.46753,46.753
1,MOROB,WWATER,35,55,1.078098,0.448915,44.8915
1,MOROB,WWATER,35,65,1.032459,0.92238,92.238
1,MOROB,WWATER,42,5,-0.048523,0.857295,85.7295
1,MOROB,WWATER,42,15,0.323401,1.235715,123.5715
1,MOROB,WWATER,42,25,0.247934,0.91684,91.684
1,MOROB,WWATER,42,35,0.892197,0.709315,70.9315
1,MOROB,WWATER,42,45,1.629903,1.168085,116.8085
1,MOROB,WWATER,42,55,1.471693,1.41852,141.852
1,MOROB,WWATER,42,65,1.044737,1.72237,172.237
1,MOROB,WWATER,49,5,0.102295,0.75635,75.635
1,MOROB,WWATER,49,15,1.052772,1.085205,108.5205
1,MOROB,WWATER,49,25,0.114689,0.749935,74.9935
1,MOROB,WWATER,49,35,0.790919,0.6382,63.82
1,MOROB,WWATER,49,45,1.657341,1.04256,104.256
1,MOROB,WWATER,49,55,1.856496,1.086125,108.6125
1,MOROB,WWATER,49,65,1.38139,1.18662,118.662
1,MOROB,WWATER,62,5,0.12503,0.718905,71.8905
1,MOROB,WWATER,62,15,0.004691,0.84698,84.698
1,MOROB,WWATER,62,25,0.085918,0.253755,25.3755
1,MOROB,WWATER,62,35,0.016662,0.543925,54.3925
1,MOROB,WWATER,62,45,0.025273,0.91399,91.399
1,MOROB,WWATER,62,55,0.836101,0.87392,87.392
1,MOROB,WWATER,62,65,3.074589,1.04613,104.613
1,MOROB,WWATER,69,5,0.10554,0.569875,56.9875
1,MOROB,WWATER,69,15,0.014975,0.70267,70.267
1,MOROB,WWATER,69,25,0.103573,0.389045,38.9045
1,MOROB,WWATER,69,35,0.172644,0.260375,26.0375
1,MOROB,WWATER,69,45,0.045753,0.764755,76.4755
1,MOROB,WWATER,69,55,0.255686,0.736285,73.6285
1,MOROB,WWATER,69,65,1.114187,0.95826,95.826
1,MOROB,WWATER,83,5,1.697987,0.374495,37.4495
1,MOROB,WWATER,83,15,1.625948,0.56776,56.776
1,MOROB,WWATER,83,25,1.327779,0.30552,30.552
1,MOROB,WWATER,83,35,1.331806,0.36836,36.836
1,MOROB,WWATER,83,45,1.724291,0.836125,83.6125
1,MOROB,WWATER,83,55,1.353119,0.1429,14.29
1,MOROB,WWATER,83,65,1.544155,0.40127,40.127
1,MOROB,WWATER,90,5,1.697998,0.1985,19.85
1,MOROB,WWATER,90,15,1.142993,0.3457,34.57
1,MOROB,WWATER,90,25,1.263351,0.18906,18.906
1,MOROB,WWATER,90,35,1.134726,0.15511,15.511
1,MOROB,WWATER,90,45,1.081689,0.51181,51.181
1,MOROB,WWATER,90,55,1.110438,0.243215,24.3215
