Trial,Block,FactorA,FactorB,PlotNum,FieldRow,FieldCol
1,1,A1,B5,101,1,1
1,1,A2,B3,102,1,2
1,1,A1,B2,103,1,3
1,1,A2,B5,104,1,4
1,1,A4,B3,105,2,1
1,1,A3,B3,106,2,2
1,1,A1,B3,107,2,3
1,1,A4,B1,108,2,4
1,1,A3,B1,109,3,1
1,1,A3,B5,110,3,2
1,1,A4,B2,111,3,3
1,1,A4,B5,112,3,4
1,1,A3,B2,113,4,1
1,1,A1,B4,114,4,2
1,1,A1,B1,115,4,3
1,1,A3,B4,116,4,4
1,1,A2,B2,117,5,1
1,1,A4,B4,118,5,2
1,1,A2,B1,119,5,3
1,1,A2,B4,120,5,4
1,2,A4,B5,201,6,1
1,2,A3,B5,202,6,2
1,2,A3,B2,203,6,3
1,2,A3,B3,204,6,4
1,2,A1,B2,205,7,1
1,2,A3,B1,206,7,2
1,2,A1,B4,207,7,3
1,2,A3,B4,208,7,4
1,2,A1,B1,209,8,1
1,2,A1,B3,210,8,2
1,2,A4,B2,211,8,3
1,2,A4,B4,212,8,4
1,2,A2,B2,213,9,1
1,2,A2,B4,214,9,2
1,2,A2,B1,215,9,3
1,2,A1,B5,216,9,4
1,2,A4,B3,217,10,1
1,2,A2,B3,218,10,2
1,2,A4,B1,219,10,3
1,2,A2,B5,220,10,4
