Weight,Length1,Length2,Length3,Height,Width
250,23,25.4,30,11.52,4.02
290,24,16.3,31.2,12.48,4.3056
340,23.9,26.5,31.1,12.3778,4.6961
363,23.3,29,31.5,12.73,4.4555
430,26.5,29,34,12.444,5.134
78,17.5,18.8,21.2,5.5756,2.9044
87,18.2,19.8,22.2,5.6166,3.1746
120,18.6,20,22.2,6.216,3.5742
90,19,20.5,22.8,6.4752,3.3516
110,19.1,20.8,23.1,6.1677,3.3957
120,19.4,21,23.7,6.1146,3.2943
150,20.4,22,24.7,5.8045,3.7544
363,23.3,29,31.5,12.73,4.4555
270,23.6,26,28.7,8.3804,4.2476
270,24.1,26.5,29.3,8.1454,4.2485
340,40,42.5,45.5,6.825,4.459
55,13.5,14.7,16.5,6.8475,2.3265
60,14.3,15.5,17.4,6.5772,2.3142
90,16.3,17.7,19.8,7.4052,2.673
120,17.5,19,21.3,8.3922,2.9181
150,18.4,20,22.4,8.8928,3.2928
140,19,20.7,23.2,8.5376,3.2944
170,19,20.7,23.2,9.396,3.4104
5.9,7.5,8.4,8.8,2.112,1.408
32,12.5,13.7,14.7,3.528,1.9992
40,13.8,15,16,3.824,2.432
51.5,15,16.2,17.2,4.5924,2.6316
70,15.7,17.4,18.5,4.588,2.9415
510,40,42.5,45.5,6.825,4.459
540,40.1,43,45.8,7.786,5.1296
500,42,45,48,6.96,4.896
567,43.2,46,48.7,7.792,4.87
770,44.8,48,51.2,7.68,5.376
950,48.3,51.7,55.1,8.9262,6.1712
1250,52,56,59.7,10.6863,6.9849
1600,56,60,64,9.6,6.144
1550,56,60,64,9.6,6.144
1650,59,63.4,68,10.812,7.48
6.7,9.3,9.8,10.8,1.7388,1.0476
7.5,10,10.5,11.6,1.972,1.16
7,10.1,10.6,11.6,1.7284,1.1484
9.7,10.4,11,12,2.196,1.38
14,11,15,12,3,2
