"Geno","D10M44","D1M3","D1M75","D1M215","D1M309","D1M218","D1M451","D1M504","D1M113","D1M355","D1M291","D1M209","D1M155","D2M365","D2M37","D2M396","D2M493","D2M226","D2M148","D3M265","D3M51","D3M106","D3M257","D3M147","D3M19","D4M2","D4M178","D4M187","D4M251","D5M148","D5M232","D5M257","D5M83","D5M307","D5M357","D5M205","D5M398","D5M91","D5M338","D5M188","D5M29","D5M168","D6M223","D6M188","D6M284","D6M39","D6M254","D6M194","D6M290","D6M25","D6M339","D6M59_","D6M201","D6M15","D6M294","D7M246","D7M145","D7M62","D7M126","D7M105","D7M259","D8M94","D8M339","D8M178","D8M242","D8M213","D8M156","D9M247","D9M328","D9M106","D9M269","D9M346","D9M55","D9M18","D10M298","D10M294","D10M42_","D10M10","D10M233","D11M78","D11M20","D11M242","D11M356","D11M327","D11M333","D12M105","D12M46","D12M34","D12M5","D12M99","D12M150","D13M59","D13M88","D13M21","D13M39","D13M167","D13M99","D13M233","D13M106","D13M147","D13M226","D13M290","D13M151","D14M14","D14M115","D14M265","D14M266","D15M226","D15M100","D15M209","D15M144","D15M68","D15M239","D15M241","D15M34","D16M154","D16M4","D16M139","D16M86","D17M260","D17M66","D17M88","D17M129","D18M94","D18M58","D18M106","D18M186","D19M68","D19M117","D19M65","D19M10"
"G001",3,3,3,2,2,2,3,3,2,2,2,2,2,2,1,1,NA,1,1,3,3,3,3,3,3,1,2,1,2,1,1,2,2,2,2,2,NA,2,2,2,3,3,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,3,2,2,2,1,1,2,3,3,3,3,3,3,5,NA,2,2,2,1,1,1,1,1,1,1,3,3,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,3,3,3,3,2,2,2,5
"G002",NA,3,3,3,2,2,2,2,2,2,2,2,2,3,3,2,NA,2,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,3,3,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,2,2,2,3,3,3,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,1,1,2,2,2,2,NA,2,2,2,2,2,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,2,2,1,2,2,5
"G003",NA,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,NA,NA,2,2,2,2,2,3,3,1,1,2,2,1,1,1,1,2,2,2,NA,2,2,2,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,2,2,2,3,2,2,3,3,3,3,3,3,3,2,1,1,1,1,2,2,2,2,2,2,3,3,2,2,2,3,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,3,3,2,2,1,1
"G004",3,3,2,2,2,2,3,3,3,3,3,3,3,1,NA,1,NA,2,2,3,2,2,2,2,2,2,2,2,2,NA,2,1,1,1,1,1,NA,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,1,2,3,2,2,3,3,3,3,3,2,1,1,2,1,1,1,5,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2,2,1,1,1,2,2,3,1,2,2,3,1,1,1,1,3,2,2,5
"G005",2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,NA,NA,2,3,1,1,1,1,1,1,1,1,2,NA,1,1,1,1,1,NA,NA,2,2,2,2,2,1,1,1,1,1,1,NA,2,2,2,2,2,2,3,2,1,1,2,2,1,1,1,1,1,2,3,3,3,2,2,2,2,1,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,2,1,1,1,1,2,1,1,5
"G006",2,2,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,NA,1,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,2,NA,2,2,2,NA,2,1,1,1,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,5,2,NA,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,5
"G007",2,2,2,2,1,1,1,1,2,2,2,2,2,3,3,3,3,NA,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,NA,1,1,1,NA,2,2,2,2,2,2,2,2,3,3,3,3,3,3,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,2,2,1,1,1,2,2,3,3,2,1,1,1,1,5,2,3,3,3,3,3,3,3,3,3,3,1,2,2,2,1,1,1,1,1,1,1,NA,3,2,2,2,2,1,1,2,2,2,3,3,3,3,1,1
"G008",2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,NA,1,1,2,3,2,2,2,2,2,NA,2,3,3,3,3,3,3,3,3,NA,3,3,2,2,2,1,1,1,1,2,2,NA,3,3,3,3,3,3,2,2,2,2,2,3,1,1,2,2,2,2,3,3,3,3,3,3,2,1,1,NA,1,1,2,3,2,3,3,2,1,2,2,2,2,2,5,2,2,1,1,1,NA,1,1,NA,1,2,2,3,2,2,3,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,1,1,NA,2,2,2,2,5
"G009",1,1,2,3,3,3,2,2,2,2,2,NA,2,1,2,2,2,2,3,1,2,2,1,1,1,2,2,2,3,2,2,2,2,1,1,1,NA,1,1,1,NA,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,3,3,3,3,2,3,3,NA,3,3,1,2,2,2,1,1,1,1,2,3,3,3,3,3,3,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,1,1,1,1,1,1,1,2,3,3,3,1,1,2,2,3,3,NA,3,2,2,2,1
"G010",3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,2,2,3,3,3,2,2,2,3,3,3,3,3,2,1,1,2,2,2,2,1,2,2,2,2,3,1,NA,1,1,1,1,5,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,3,3,3,2,1,1,1,1,1,1,1,1,2,3,3,5
"G011",1,2,2,2,2,2,2,2,2,2,2,NA,2,1,1,3,3,3,3,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,NA,2,2,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,NA,1,1,1,1,1,1,2,2,3,3,3,3,3,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,3,5,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,2,3,3,3,2,2,3,3,3,1,1,1,1,3,2,2,5
"G012",1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,1,2,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,3,3,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,1,2,1,NA,1,1,1,1,1,2,2,NA,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,1,1,2,5
"G013",1,1,2,2,2,2,3,3,3,3,3,NA,3,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,NA,2,2,2,NA,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,1,NA,1,2,5,2,1,1,1,1,1,1,1,2,2,2,3,3,3,3,1,1,1,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
