,Trial,Block,FactorA,FactorB,PlotNum,FieldRow,FieldCol,yO,y1,y2,y3
1,1,1,A1,B5,101,1,1,-0.614385245,-0.614385245,-0.512800926,-0.512800926
41,1,1,A1,B5,101,1,1,-0.614385245,1.614385245,1.762800926,.
2,1,1,A2,B3,102,1,2,-0.411216607,-0.411216607,-0.770450941,-0.770450941
42,1,1,A2,B3,102,1,2,-0.411216607,1.911216607,2.170450941,.
3,1,1,A1,B2,103,1,3,-1.129685276,-1.129685276,0.07005391,0.07005391
43,1,1,A1,B2,103,1,3,-1.129685276,2.429685276,1.27994609,.
4,1,1,A2,B5,104,1,4,1.269793097,1.269793097,0.861144022,0.861144022
44,1,1,A2,B5,104,1,4,1.269793097,0.130206903,0.688855978,.
5,1,1,A4,B3,105,2,1,0.452494947,0.452494947,0.208776333,0.208776333
45,1,1,A4,B3,105,2,1,0.452494947,1.247505053,1.591223667,.
6,1,1,A3,B3,106,2,2,-0.03494228,-0.03494228,-1.608587768,-1.608587768
46,1,1,A3,B3,106,2,2,-0.03494228,1.93494228,3.558587768,.
7,1,1,A1,B3,107,2,3,-3.182233255,-3.182233255,-1.339307678,-1.339307678
47,1,1,A1,B3,107,2,3,-3.182233255,5.182233255,3.489307678,.
8,1,1,A4,B1,108,2,4,0.503617898,0.503617898,0.334831017,0.334831017
48,1,1,A4,B1,108,2,4,0.503617898,1.796382102,1.915168983,.
9,1,1,A3,B1,109,3,1,0.166044136,0.166044136,-0.430055204,-0.430055204
49,1,1,A3,B1,109,3,1,0.166044136,2.033955864,2.030055204,.
10,1,1,A3,B5,110,3,2,-1.026154543,-1.026154543,-1.070645169,-1.070645169
50,1,1,A3,B5,110,3,2,-1.026154543,2.026154543,2.870645169,.
11,1,1,A4,B2,111,3,3,-1.115135795,-1.115135795,-0.911779825,-0.911779825
51,1,1,A4,B2,111,3,3,-1.115135795,3.715135795,3.561779825,.
12,1,1,A4,B5,112,3,4,-0.708423855,-0.708423855,-0.893725411,-0.893725411
52,1,1,A4,B5,112,3,4,-0.708423855,3.408423855,3.693725411,.
13,1,1,A3,B2,113,4,1,-1.079026966,-1.079026966,-0.926558866,-0.926558866
53,1,1,A3,B2,113,4,1,-1.079026966,3.979026966,3.276558866,.
14,1,1,A1,B4,114,4,2,-0.774090766,-0.774090766,-0.535069926,-0.535069926
54,1,1,A1,B4,114,4,2,-0.774090766,2.574090766,2.585069926,.
15,1,1,A1,B1,115,4,3,-0.296049086,-0.296049086,0.424916165,0.424916165
55,1,1,A1,B1,115,4,3,-0.296049086,2.596049086,2.025083835,.
16,1,1,A3,B4,116,4,4,1.145881415,1.145881415,-0.254484586,-0.254484586
56,1,1,A3,B4,116,4,4,1.145881415,1.454118585,2.954484586,.
17,1,1,A2,B2,117,5,1,-1.654850587,-1.654850587,-2.446785828,-2.446785828
57,1,1,A2,B2,117,5,1,-1.654850587,4.454850587,5.596785828,.
18,1,1,A4,B4,118,5,2,-3.238721069,-3.238721069,-1.791938624,-1.791938624
58,1,1,A4,B4,118,5,2,-3.238721069,6.738721069,4.991938624,.
19,1,1,A2,B1,119,5,3,-0.34515618,-0.34515618,-0.254100863,-0.254100863
59,1,1,A2,B1,119,5,3,-0.34515618,3.24515618,3.254100863,.
20,1,1,A2,B4,120,5,4,-0.163045546,-0.163045546,0.309610626,0.309610626
60,1,1,A2,B4,120,5,4,-0.163045546,3.263045546,2.690389374,.
21,1,2,A4,B5,201,6,1,0.782266798,0.782266798,1.418238153,1.418238153
