"numScoops","OneScoops","TwoScoops","ThreeScoops"
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"one",1,0,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"two",0,1,0
"three",0,0,1
"three",0,0,1
"three",0,0,1
"three",0,0,1
"three",0,0,1
"three",0,0,1
"three",0,0,1
"three",0,0,1
"three",0,0,1
"three",0,0,1
"three",0,0,1
