"Class","BrandB","BrandC","BrandB_Code","BrandC_Code"
"AB","aware","aware","1","1"
"AB","aware","aware","1","1"
"AB","aware","aware","1","1"
"AB","aware","aware","1","1"
"AB","aware","aware","1","1"
"AB","aware","aware","1","1"
"AB","aware","aware","1","1"
"AB","aware","aware","1","1"
"AB","aware","aware","1","1"
"AB","aware","aware","1","1"
"AB","aware","not aware","1","0"
"AB","aware","not aware","1","0"
"AB","not aware","not aware","0","0"
"AB","not aware","not aware","0","0"
"AB","not aware","not aware","0","0"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","aware","1","1"
"C","aware","not aware","1","0"
"C","aware","not aware","1","0"
"C","aware","not aware","1","0"
"C","aware","not aware","1","0"
"C","aware","not aware","1","0"
"C","aware","not aware","1","0"
"C","aware","not aware","1","0"
"C","aware","not aware","1","0"
"C","aware","not aware","1","0"
"C","aware","not aware","1","0"
"C","not aware","not aware","0","0"
"C","not aware","not aware","0","0"
"C","not aware","not aware","0","0"
"C","not aware","not aware","0","0"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
"D","aware","aware","1","1"
