Geno,T264,T264d,T264sd,T264b,T264b2,T264b3,T264o,T264o2,T264o3
G001,118.317,1.18317,-0.455967277,1,2,A,2,2,B
G002,264,2.64,1.41446556,2,1,B,3,1,C
G003,194.917,1.94917,0.52750475,2,1,B,3,1,C
G004,264,2.64,1.41446556,2,1,B,3,1,C
G005,145.417,1.45417,-0.10802874,1,2,A,2,2,B
G006,177.233,1.77233,0.300458806,2,1,B,3,1,C
G007,264,2.64,1.41446556,2,1,B,3,1,C
G008,76.667,0.76667,-0.990714142,1,2,A,1,3,A
G009,90.75,0.9075,-0.809901655,1,2,A,1,3,A
G010,76.167,0.76167,-0.997133673,1,2,A,1,3,A
G011,104.083,1.04083,-0.638718462,1,2,A,2,2,B
G012,194.5,1.945,0.522150862,2,1,B,3,1,C
G013,75.917,0.75917,-1.000343438,1,2,A,1,3,A
G014,75.833,0.75833,-1.001421919,1,2,A,1,3,A
G015,90.25,0.9025,-0.816321185,1,2,A,1,3,A
G016,103.667,1.03667,-0.644059511,1,2,A,2,2,B
G017,128.4,1.284,-0.326511031,1,2,A,2,2,B
G018,122.25,1.2225,-0.405471252,1,2,A,2,2,B
G019,264,2.64,1.41446556,2,1,B,3,1,C
G020,72.6,0.726,-1.042930601,1,2,A,1,3,A
G021,264,2.64,1.41446556,2,1,B,3,1,C
G022,264,2.64,1.41446556,2,1,B,3,1,C
G023,264,2.64,1.41446556,2,1,B,3,1,C
G024,81.717,0.81717,-0.925876887,1,2,A,1,3,A
G025,264,2.64,1.41446556,2,1,B,3,1,C
G026,264,2.64,1.41446556,2,1,B,3,1,C
G027,116.483,1.16483,-0.479514113,1,2,A,2,2,B
G028,87.467,0.87467,-0.85205229,1,2,A,1,3,A
G029,264,2.64,1.41446556,2,1,B,3,1,C
G030,NA,NA,NA,NA,NA,B,NA,NA,NA
G031,74.417,0.74417,-1.019602028,1,2,A,1,3,A
G032,264,2.64,1.41446556,2,1,B,3,1,C
G033,264,2.64,1.41446556,2,1,B,3,1,C
G034,174.567,1.74567,0.266229871,2,1,B,2,2,B
G035,88.583,0.88583,-0.837723899,1,2,A,1,3,A
G036,264,2.64,1.41446556,2,1,B,3,1,C
G037,95,0.95,-0.755335648,1,2,A,2,2,B
G038,264,2.64,1.41446556,2,1,B,3,1,C
G039,86.05,0.8605,-0.870245239,1,2,A,1,3,A
G040,71.517,0.71517,-1.056835303,1,2,A,1,3,A
G041,112.767,1.12767,-0.527224062,1,2,A,2,2,B
G042,264,2.64,1.41446556,2,1,B,3,1,C
G043,264,2.64,1.41446556,2,1,B,3,1,C
G044,117.817,1.17817,-0.462386807,1,2,A,2,2,B
G045,185.3,1.853,0.404031506,2,1,B,3,1,C
G046,85.367,0.85367,-0.879014317,1,2,A,1,3,A
G047,264,2.64,1.41446556,2,1,B,3,1,C
G048,70.883,0.70883,-1.064975268,1,2,A,1,3,A
G049,98.45,0.9845,-0.71104089,1,2,A,2,2,B
G050,85.1,0.851,-0.882442346,1,2,A,1,3,A
G051,216.367,2.16367,0.802902596,2,1,B,3,1,C
G052,94.65,0.9465,-0.759829319,1,2,A,2,2,B
G053,111.817,1.11817,-0.539421169,1,2,A,2,2,B
G054,90.9,0.909,-0.807975796,1,2,A,1,3,A
G055,264,2.64,1.41446556,2,1,B,3,1,C
G056,170.517,1.70517,0.214231676,2,1,B,2,2,B
G057,111.717,1.11717,-0.540705075,1,2,A,2,2,B
G058,264,2.64,1.41446556,2,1,B,3,1,C
G059,75.383,0.75383,-1.007199496,1,2,A,1,3,A
G060,84.35,0.8435,-0.892071641,1,2,A,1,3,A
G061,97.667,0.97667,-0.721093874,1,2,A,2,2,B
G062,97.783,0.97783,-0.719604543,1,2,A,2,2,B
G063,264,2.64,1.41446556,2,1,B,3,1,C
G064,90.433,0.90433,-0.813971637,1,2,A,1,3,A
G065,264,2.64,1.41446556,2,1,B,3,1,C
G066,90.05,0.9005,-0.818888997,1,2,A,1,3,A
G067,90.083,0.90083,-0.818465308,1,2,A,1,3,A
G068,90.117,0.90117,-0.81802878,1,2,A,1,3,A
G069,264,2.64,1.41446556,2,1,B,3,1,C
G070,71.967,0.71967,-1.051057726,1,2,A,1,3,A
G071,264,2.64,1.41446556,2,1,B,3,1,C
G072,NA,NA,NA,NA,NA,B,NA,NA,NA
G073,264,2.64,1.41446556,2,1,B,3,1,C
G074,264,2.64,1.41446556,2,1,B,3,1,C
G075,74.267,0.74267,-1.021527887,1,2,A,1,3,A
G076,NA,NA,NA,NA,NA,B,NA,NA,NA
G077,NA,NA,NA,NA,NA,B,NA,NA,NA
G078,264,2.64,1.41446556,2,1,B,3,1,C
G079,264,2.64,1.41446556,2,1,B,3,1,C
G080,264,2.64,1.41446556,2,1,B,3,1,C
G081,109.867,1.09867,-0.564457337,1,2,A,2,2,B
G082,264,2.64,1.41446556,2,1,B,3,1,C
G083,264,2.64,1.41446556,2,1,B,3,1,C
G084,96.017,0.96017,-0.742278324,1,2,A,2,2,B
G085,136.417,1.36417,-0.223580283,1,2,A,2,2,B
G086,168.25,1.6825,0.185125526,2,1,B,2,2,B
G087,120.7,1.207,-0.425371796,1,2,A,2,2,B
G088,114.55,1.1455,-0.504332017,1,2,A,2,2,B
G089,94.033,0.94033,-0.767751019,1,2,A,2,2,B
G090,67.683,0.67683,-1.106060261,1,2,A,1,3,A
G091,93.833,0.93833,-0.770318831,1,2,A,2,2,B
