Geno,T264,T264d,T264sd,T264b,T264b2,T264o,T264o2,,,,,,,,
G001,118.317,1.18317,-0.455967277,1,2,2,2,,,,P33,,67.683,93.8005,1
G002,264,2.64,1.41446556,2,1,3,1,,,,P66,,93.8055,176.9664,2
G003,194.917,1.94917,0.52750475,2,1,3,1,,,,P100,,176.9714,264,3
G004,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G005,145.417,1.45417,-0.10802874,1,2,2,2,,,,1,3,,,
G006,177.233,1.77233,0.300458806,2,1,3,1,,,,2,2,,,
G007,264,2.64,1.41446556,2,1,3,1,,,,3,1,,,
G008,76.667,0.76667,-0.990714142,1,2,1,3,,,,,,,,
G009,90.75,0.9075,-0.809901655,1,2,1,3,,,,,,,,
G010,76.167,0.76167,-0.997133673,1,2,1,3,,,,,,,,
G011,104.083,1.04083,-0.638718462,1,2,2,2,,,,,,,,
G012,194.5,1.945,0.522150862,2,1,3,1,,,,,,,,
G013,75.917,0.75917,-1.000343438,1,2,1,3,,,,,,,,
G014,75.833,0.75833,-1.001421919,1,2,1,3,,,,,,,,
G015,90.25,0.9025,-0.816321185,1,2,1,3,,,,,,,,
G016,103.667,1.03667,-0.644059511,1,2,2,2,,,,,,,,
G017,128.4,1.284,-0.326511031,1,2,2,2,,,,,,,,
G018,122.25,1.2225,-0.405471252,1,2,2,2,,,,,,,,
G019,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G020,72.6,0.726,-1.042930601,1,2,1,3,,,,,,,,
G021,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G022,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G023,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G024,81.717,0.81717,-0.925876887,1,2,1,3,,,,,,,,
G025,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G026,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G027,116.483,1.16483,-0.479514113,1,2,2,2,,,,,,,,
G028,87.467,0.87467,-0.85205229,1,2,1,3,,,,,,,,
G029,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G030,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
G031,74.417,0.74417,-1.019602028,1,2,1,3,,,,,,,,
G032,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G033,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G034,174.567,1.74567,0.266229871,2,1,2,2,,,,,,,,
G035,88.583,0.88583,-0.837723899,1,2,1,3,,,,,,,,
G036,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G037,95,0.95,-0.755335648,1,2,2,2,,,,,,,,
G038,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G039,86.05,0.8605,-0.870245239,1,2,1,3,,,,,,,,
G040,71.517,0.71517,-1.056835303,1,2,1,3,,,,,,,,
G041,112.767,1.12767,-0.527224062,1,2,2,2,,,,,,,,
G042,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G043,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G044,117.817,1.17817,-0.462386807,1,2,2,2,,,,,,,,
G045,185.3,1.853,0.404031506,2,1,3,1,,,,,,,,
G046,85.367,0.85367,-0.879014317,1,2,1,3,,,,,,,,
G047,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G048,70.883,0.70883,-1.064975268,1,2,1,3,,,,,,,,
G049,98.45,0.9845,-0.71104089,1,2,2,2,,,,,,,,
G050,85.1,0.851,-0.882442346,1,2,1,3,,,,,,,,
G051,216.367,2.16367,0.802902596,2,1,3,1,,,,,,,,
G052,94.65,0.9465,-0.759829319,1,2,2,2,,,,,,,,
G053,111.817,1.11817,-0.539421169,1,2,2,2,,,,,,,,
G054,90.9,0.909,-0.807975796,1,2,1,3,,,,,,,,
G055,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G056,170.517,1.70517,0.214231676,2,1,2,2,,,,,,,,
G057,111.717,1.11717,-0.540705075,1,2,2,2,,,,,,,,
G058,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G059,75.383,0.75383,-1.007199496,1,2,1,3,,,,,,,,
G060,84.35,0.8435,-0.892071641,1,2,1,3,,,,,,,,
G061,97.667,0.97667,-0.721093874,1,2,2,2,,,,,,,,
G062,97.783,0.97783,-0.719604543,1,2,2,2,,,,,,,,
G063,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G064,90.433,0.90433,-0.813971637,1,2,1,3,,,,,,,,
G065,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G066,90.05,0.9005,-0.818888997,1,2,1,3,,,,,,,,
G067,90.083,0.90083,-0.818465308,1,2,1,3,,,,,,,,
G068,90.117,0.90117,-0.81802878,1,2,1,3,,,,,,,,
G069,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G070,71.967,0.71967,-1.051057726,1,2,1,3,,,,,,,,
G071,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G072,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
G073,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G074,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G075,74.267,0.74267,-1.021527887,1,2,1,3,,,,,,,,
G076,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
G077,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
G078,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G079,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G080,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G081,109.867,1.09867,-0.564457337,1,2,2,2,,,,,,,,
G082,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G083,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G084,96.017,0.96017,-0.742278324,1,2,2,2,,,,,,,,
G085,136.417,1.36417,-0.223580283,1,2,2,2,,,,,,,,
G086,168.25,1.6825,0.185125526,2,1,2,2,,,,,,,,
G087,120.7,1.207,-0.425371796,1,2,2,2,,,,,,,,
G088,114.55,1.1455,-0.504332017,1,2,2,2,,,,,,,,
G089,94.033,0.94033,-0.767751019,1,2,2,2,,,,,,,,
G090,67.683,0.67683,-1.106060261,1,2,1,3,,,,,,,,
G091,93.833,0.93833,-0.770318831,1,2,2,2,,,,,,,,
G092,93.867,0.93867,-0.769882303,1,2,2,2,,,,,,,,
G093,139.867,1.39867,-0.179285525,1,2,2,2,,,,,,,,
G094,117.933,1.17933,-0.460897476,1,2,2,2,,,,,,,,
G095,77.8,0.778,-0.976167487,1,2,1,3,,,,,,,,
G096,117.833,1.17833,-0.462181382,1,2,2,2,,,,,,,,
G097,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G098,77.733,0.77733,-0.977027704,1,2,1,3,,,,,,,,
G099,93.183,0.93183,-0.778664221,1,2,1,3,,,,,,,,
G100,77.633,0.77633,-0.97831161,1,2,1,3,,,,,,,,
G101,77.55,0.7755,-0.979377252,1,2,1,3,,,,,,,,
G102,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G103,117.433,1.17433,-0.467317006,1,2,2,2,,,,,,,,
G104,93.067,0.93067,-0.780153552,1,2,1,3,,,,,,,,
G105,99.867,0.99867,-0.692847941,1,2,2,2,,,,,,,,
G106,82.333,0.82333,-0.917968026,1,2,1,3,,,,,,,,
G107,163.75,1.6375,0.127349755,2,1,2,2,,,,,,,,
G108,82.017,0.82017,-0.922025169,1,2,1,3,,,,,,,,
G109,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G110,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G111,91.283,0.91283,-0.803058435,1,2,1,3,,,,,,,,
G112,140.767,1.40767,-0.167730371,1,2,2,2,,,,,,,,
G113,81.733,0.81733,-0.925671462,1,2,1,3,,,,,,,,
G114,75.667,0.75667,-1.003553203,1,2,1,3,,,,,,,,
G115,76.483,0.76483,-0.993076529,1,2,1,3,,,,,,,,
G116,116.467,1.16467,-0.479719538,1,2,2,2,,,,,,,,
G117,116.517,1.16517,-0.479077585,1,2,2,2,,,,,,,,
G118,139.55,1.3955,-0.183355507,1,2,2,2,,,,,,,,
G119,264,2.64,1.41446556,2,1,3,1,,,,,,,,
G120,116.2,1.162,-0.483147567,1,2,2,2,,,,,,,,
,,,,,,,,,,,,,,,
mean,153.831069,,,,,,,,,,,,,,
stdev,77.88731953,,,,,,,,,,,,,,
