time,plant,no_lesion,severity
0,1,42,0.145833
1,1,51,0.177083
2,1,59,0.204861
3,1,64,0.222222
4,1,76,0.263889
5,1,93,0.322917
6,1,106,0.368056
7,1,125,0.434028
8,1,149,0.517361
9,1,171,0.59375
10,1,199,0.690972
0,2,40,0.138889
1,2,49,0.170139
2,2,58,0.201389
3,2,72,0.25
4,2,84,0.291667
5,2,103,0.357639
6,2,122,0.423611
7,2,138,0.479167
8,2,162,0.5625
9,2,187,0.649306
10,2,209,0.725694
0,3,41,0.142361
1,3,49,0.170139
2,3,57,0.197917
3,3,71,0.246528
4,3,89,0.309028
5,3,112,0.388889
6,3,146,0.506944
7,3,174,0.604167
8,3,218,0.756944
9,3,250,0.868056
10,3,288,1
