ID,par1,par2
B001,0,0
B002,0,0
B003,B001,B002
B004,B001,B003
B005,B001,B003
B006,B002,B003
B007,B002,B004
B008,B002,B005
B009,B003,B006
B010,B003,B007
B011,B005,B006
B012,B009,B010
B013,B005,B010
B014,B009,B006
B015,B005,B009
B016,B012,B014
B017,B010,B012
B018,B012,B016
B019,B016,B018
B020,B019,B018
B021,B009,B012
B022,B010,B013
B023,B011,B014
B024,B012,B015
B025,B013,B016
B026,B014,B017
B027,B015,B024
B028,B016,B009
B029,B017,B010
B030,B018,B011
B031,B019,B012
B032,B020,B013
B033,B021,B014
B034,B022,B015
B035,B023,B016
B036,B024,B017
B037,B025,B018
B038,B026,B019
B039,B027,B020
B040,B028,B021
B041,B029,B022
B042,B030,B023
B043,B031,B024
B044,B032,B025
B045,B033,B026
B046,B034,B027
B047,B035,B028
B048,B036,B029
B049,B037,B030
B050,B038,B031
B051,B039,B032
B052,B040,B033
B053,B041,B034
B054,B042,B035
B055,B043,B036
B056,B044,B037
B057,B045,B038
B058,B046,B039
B059,B047,B040
B060,B048,B041
B061,B049,B042
B062,B050,B043
B063,B051,B044
B064,B052,B045
B065,B053,B046
B066,B054,B047
B067,B055,B048
B068,B056,B049
B069,B057,B050
B070,B058,B051
B071,B059,B052
B072,B060,B053
B073,B061,B054
B074,B062,B055
B075,B063,B056
B076,B064,B057
B077,B065,B058
B078,B066,B059
B079,B067,B060
B080,B068,B061
B081,B069,B062
B082,B070,B063
B083,B071,B064
B084,B072,B065
B085,B073,B066
B086,B074,B067
B087,B075,B068
B088,B076,B069
B089,B077,B070
B090,B078,B071
B091,B079,B072
B092,B080,B073
B093,B081,B074
B094,B082,B075
B095,B083,B076
B096,B084,B077
B097,B085,B078
B098,B086,B079
B099,B087,B080
B100,B088,B081
B101,B089,B082
B102,B090,B083
B103,B091,B084
B104,B092,B085
B105,B093,B086
B106,B094,B087
B107,B095,B088
B108,B096,B089
B109,B097,B090
B110,B098,B091
B111,B099,B092
B112,B100,B093
B113,B101,B094
B114,B102,B095
B115,B103,B096
B116,B104,B097
B117,B105,B098
B118,B106,B099
B119,B107,B100
B120,B108,B101
B121,B109,B102
B122,B110,B103
B123,B111,B104
B124,B112,B105
B125,B113,B106
B126,B114,B107
B127,B115,B108
B128,B116,B109
B129,B117,B110
B130,B118,B111
B131,B119,B112
B132,B120,B113
B133,B121,B114
B134,B122,B115
B135,B123,B116
B136,B124,B117
B137,B125,B118
B138,B126,B119
B139,B127,B120
B140,B128,B121
B141,B129,B122
B142,B130,B123
B143,B131,B124
B144,B132,B125
B145,B133,B126
B146,B134,B127
B147,B135,B128
B148,B136,B129
B149,B137,B130
B150,B138,B131
B151,B139,B132
B152,B140,B133
B153,B141,B134
B154,B142,B135
B155,B143,B136
B156,B144,B137
B157,B145,B138
B158,B146,B139
B159,B147,B140
B160,B148,B141
B161,B149,B142
B162,B150,B143
B163,B151,B144
B164,B152,B145
B165,B153,B146
B166,B154,B147
B167,B155,B148
B168,B156,B149
B169,B157,B150
B170,B158,B151
B171,B159,B152
B172,B160,B153
B173,B161,B154
B174,B162,B155
B175,B163,B156
B176,B164,B157
B177,B165,B158
B178,B166,B159
B179,B167,B160
B180,B168,B161
B181,B169,B162
B182,B170,B163
B183,B171,B164
B184,B172,B165
B185,B173,B166
B186,B174,B167
B187,B175,B168
B188,B176,B169
B189,B177,B170
B190,B178,B171
B191,B179,B172
B192,B180,B173
B193,B181,B174
B194,B182,B175
B195,B183,B176
B196,B184,B177
B197,B185,B178
B198,B186,B179
B199,B187,B180
B200,B188,B181
B201,B189,B182
B202,B190,B183
B203,B191,B184
B204,B192,B185
B205,B193,B186
B206,B194,B187
B207,B195,B188
B208,B196,B189
B209,B197,B190
B210,B198,B191
B211,B199,B192
B212,B200,B193
B213,B201,B194
B214,B202,B195
B215,B203,B196
B216,B204,B197
B217,B205,B198
B218,B206,B199
B219,B207,B200
B220,B208,B201
B221,B209,B202
B222,B210,B203
B223,B211,B204
B224,B212,B205
B225,B213,B206
B226,B214,B207
B227,B215,B208
B228,B216,B209
B229,B217,B210
B230,B218,B211
B231,B219,B212
B232,B220,B213
B233,B216,B214
