,Hangzhou_BRR,Jingzhou_BRR,Sanya_BRR,Shenzhen_BRR,Hangzhou_Chalk,Jingzhou_Chalk,Sanya_Chalk,Shenzhen_Chalk,Hangzhou_GL,Jingzhou_GL,Sanya_GL,Shenzhen_GL,Hangzhou_GLW,Jingzhou_GLW,Sanya_GLW,Shenzhen_GLW,Hangzhou_GW,Jingzhou_GW,Sanya_GW,Shenzhen_GW,Hangzhou_HRP,Jingzhou_HRP,Sanya_HRP,Shenzhen_HRP,Hangzhou_PGW,Jingzhou_PGW,Sanya_PGW,Shenzhen_PGW,Hangzhou_Thickness,Jingzhou_Thickness,Sanya_Thickness,Shenzhen_Thickness,Hangzhou_TKW,Jingzhou_TKW,Sanya_TKW,Shenzhen_TKW,Hangzhou_WGRR,Jingzhou_WGRR,Sanya_WGRR,Shenzhen_WGRR
CC1,77.77,NA,NA,78.77,15,NA,NA,-0.35,8.87,NA,NA,9.21,3.52,NA,NA,3.61,2.52,NA,NA,2.53,68.6,NA,NA,60.95,4.6,NA,NA,-0.4,1.59,NA,NA,1.52,15.3,NA,NA,NA,64.96,NA,NA,51.42
CC2,80.35,79.89,78.93,75.58,17,8,9,20.5,9.13,9.23,9.24,9.1,3.81,3.51,4.06,3.59,2.4,2.64,2.27,2.54,72.65,69.77,69.78,64.32,6.3,2.4,2.6,5.55,2.08,1.9,2.05,1.97,26.81,23.62,27.4,26.39,70.74,58.86,24.79,14.25
CC3,81.18,81.14,73.12,79.97,76.5,95.5,84,70.65,7.62,7.75,8.41,7.73,2.99,2.81,3.34,2.77,2.57,2.77,2.52,2.8,74.07,67.39,62.92,71.21,24.4,58.7,30,20.3,2.17,2.12,1.98,2.03,23.64,21.2,21.43,23.23,68.58,50.09,33.67,38.77
CC4,82.3,78.43,75.62,80.05,13.5,12.5,14,3.5,9.84,9.81,9.93,9.81,4.06,4.14,4.12,3.94,2.43,2.37,2.41,2.5,74.46,70,66.89,70.53,2.7,2.6,2.7,0.65,2,1.91,2.05,1.89,27.58,22.48,24.03,27.29,69.65,60.67,40.87,28.28
CC5,79.15,80.76,77.71,78.72,16.5,7.57,2,14.5,9.14,8.95,9.48,9.14,3.89,3.91,3.84,3.69,2.35,2.29,2.47,2.48,70.94,71.28,71.3,69.22,3.2,2.21,0.5,3.35,1.98,1.84,1.94,1.86,25.07,22.45,23.53,24.67,65.31,57.8,49.27,50.02
CC6,70.67,NA,71.29,79.16,4,NA,3,2,9.75,NA,10.3,9.8,4.3,NA,4.21,4.22,2.27,NA,2.45,2.33,58.73,NA,63.13,68.34,0.7,NA,0.5,0.5,1.84,NA,1.87,1.72,24.82,NA,25.25,24.51,34.5,NA,49.01,57.28
CC7,79.85,77.72,75.67,80.01,17.5,6.5,2,6,8.66,9.17,8.82,8.8,3.88,3.99,3.88,3.83,2.24,2.3,2.27,2.31,71.43,66.84,63.72,70.42,7.25,1.75,0.8,1.3,1.88,1.86,1.87,1.77,22.69,19.69,20.05,22.5,66.9,49.29,40.83,54.9
CC8,70.99,71.82,75.64,75.58,31,53.5,51,76,10.25,11.1,10.54,10.28,4.71,5.08,4.87,4.76,2.18,2.19,2.16,2.17,61.93,57.61,62.48,62.75,8.85,15,10.2,37.75,1.88,1.92,2.02,1.79,25.6,21.37,26.2,25.38,35.05,32.2,14.15,39.84
CC9,81.69,80.71,79.17,77.66,12,3,2,24.5,9.11,9.3,9.25,9.32,4.02,4.2,3.93,3.97,2.27,2.22,2.35,2.35,73.82,70.77,71.92,68.31,3.55,1,0.5,7.3,1.94,1.92,1.96,1.83,23.29,21.14,24.15,23.08,72.02,59.56,65.55,34.86
CC10,81.32,81.69,NA,76.93,9,7,22,0,9.03,9.04,9.32,9.05,4.2,4.31,4.12,4.07,2.16,2.1,2.26,2.23,70.13,69.09,16.65,62.66,3.15,2.25,7.4,0,1.8,1.78,1.76,1.69,21.03,21.91,18.28,20.61,65.11,61.14,8.58,21.03
CC11,81.13,79.24,78.15,79.36,22.5,10.5,32,43,9.29,9.36,9.57,9.26,4.18,4.21,3.94,4.09,2.23,2.23,2.43,2.27,72.59,64.68,64.79,68.47,8.9,3.1,7.3,12.75,1.93,1.87,2.02,1.84,23.64,20.27,25.08,23.2,64.22,38.65,30.32,23.88
CC12,81.66,83.69,78.51,78.75,9,6.5,2,20,8.86,9.43,8.86,8.93,4.07,4.22,3.94,3.99,2.18,2.24,2.25,2.25,72.93,72.1,65.08,69.11,2.95,1.55,0.8,5.45,1.95,2.01,1.93,1.86,22.51,21.56,20.65,21.33,71.15,62.47,33.05,46.2
CC13,82.09,80.17,79.17,77.48,33.5,63.5,39,20,10.04,10.12,10.12,10.16,4.28,4.12,4.16,4.09,2.35,2.47,2.43,2.49,68.76,70.79,69.03,63.83,6.55,14.8,8.1,7.45,2.07,1.99,1.97,1.97,29.19,26.91,26.83,29.31,50.8,46.96,25.85,24.49
CC14,79.17,NA,80.54,78.43,4.5,NA,3,6.5,8.6,NA,9.18,8.61,3.81,NA,3.98,3.76,2.26,NA,2.3,2.29,70.59,NA,70.63,68.53,1.15,NA,0.7,1.8,1.92,NA,1.95,1.84,29.19,NA,22.7,22.97,64.41,NA,48.24,35.24
CC15,75.86,78.33,77.43,76.48,17,14,1,39.5,8.96,9.07,9.21,9.05,4.13,4.12,4.09,4.03,2.17,2.2,2.25,2.25,67.49,67.87,69.26,64.86,3.8,2.85,0.3,14.05,1.91,1.84,1.89,1.83,21.58,21.46,22.45,21.29,32.06,60.39,46.31,30.92
CC16,81.45,80.87,79.95,76.62,79,93.5,54,33.35,8.22,8.32,8.02,8.35,3.1,2.72,2.7,2.68,2.64,3.06,2.97,3.12,72.36,66.87,70.08,66.41,29.1,53.25,12.9,9.5,NA,2.13,2.15,2.13,26.77,25.07,26.3,26.61,62.95,41.55,44.13,37.47
CC17,80.6,80.26,78.7,77.7,6.5,2,2,8,9.56,9.56,9.92,9.57,3.96,4.27,4.08,3.96,2.42,2.24,2.43,2.43,72.76,70.48,68.78,67.51,1.5,0.6,0.7,2,1.97,1.92,1.97,1.89,24.32,23.04,26.45,24.27,66.02,63.56,51.94,43.78
CC18,83.03,80.5,81.31,79.5,31,11,14,40.5,8.87,9.32,9.25,8.91,3.88,3.91,3.8,3.74,2.29,2.39,2.44,2.38,73.7,68.13,72.48,67.47,8.6,3.35,3.7,22.95,2,2,1.98,1.89,23.09,22.43,25.15,22.75,63.08,51.61,58.58,24.26
CC19,78.88,78.91,80.13,NA,77.5,94,93,NA,7.92,8,8.29,7.98,2.91,2.92,2.81,2.8,2.73,2.75,2.95,2.84,67.19,63.07,70.28,NA,29.95,59.29,27.8,NA,2.06,2.03,2.11,2.05,27.06,21.87,26.9,NA,61.49,27.18,60.02,NA
CC20,80.86,79.58,NA,77.24,13.5,20.5,NA,29.65,9.44,9.84,NA,9.6,4.26,4.14,NA,4.16,2.22,2.38,NA,2.31,71.73,65.89,NA,65.86,3.85,6.1,NA,7.2,2.02,2.01,NA,1.92,27.23,25.28,NA,26.91,60.05,42.65,NA,22.61
CC21,81.04,74.94,79.26,77.8,18.5,16.5,15,18.5,9.69,9.81,10.09,9.74,4.02,4.38,4.24,4,2.42,2.25,2.38,2.44,73.45,66.27,70.14,66.26,5.85,4.2,3.1,4,1.97,1.91,2.04,1.88,25.52,23.66,27.55,25.26,64,51.63,38.2,18.49
CC22,79.3,80.13,78.2,78.04,61,93.5,75,98.65,8.11,8.3,8.2,8.23,2.81,2.87,2.67,2.69,2.89,2.9,3.07,3.06,70.59,69.2,66.79,64.89,28.1,45.3,37.1,NA,2.23,2.04,2.14,2.05,27.23,25.81,27.65,27.03,68.07,31.82,40.7,30.74
CC23,79.13,77.95,77.41,77.64,49,8.5,9,19.65,7.25,7.46,7.28,7.47,3.38,3.14,3.33,3.28,2.15,2.39,2.19,2.28,72.35,67.25,66.54,66.51,18,1.35,1.2,10.6,1.85,1.79,1.8,1.74,16.98,NA,16.3,16.73,67.65,41.92,31.59,32.55
CC24,78.95,78.88,NA,77.6,NA,2.57,42,26.5,8.35,8.71,8.8,8.33,3.59,3.26,3.55,3.45,2.33,2.69,2.48,2.42,68.16,68.99,37.7,66.39,NA,-0.59,14.7,8.25,1.97,2.02,1.79,1.86,21.35,19.27,18.4,21.28,0,41.83,3.95,16.69
CC25,76.39,79.03,NA,77.48,17,7.5,NA,53.5,8.67,8.9,NA,8.86,3.59,3.69,NA,3.57,2.42,2.42,NA,2.49,66.76,67.74,NA,64.16,6.05,3.1,NA,20.3,2.03,1.94,NA,1.93,24.62,21.84,NA,24.16,62.09,46.33,NA,12.98
CC27,74.77,80.5,78.1,78.25,53.5,19.5,38,54,8.84,8.91,9.29,8.8,3.43,3.62,3.52,3.16,2.59,2.47,2.64,2.79,68.06,70.7,68.85,67.42,22.35,6.15,9.3,18.1,2.14,1.96,1.98,2.02,25.77,25,25.48,25.71,62.25,58.95,35.23,36.81
CC28,80.6,74.91,73.43,78.08,7.5,5,19,43,9,9.08,9.26,9.14,4.02,3.87,4.12,3.84,2.24,2.37,2.25,2.38,73.33,65.47,59.36,67.05,1.9,1.55,3.6,13.85,1.98,1.94,1.91,1.88,22.84,25.6,22.73,22.93,71.2,48,13.29,37.11
CC29,81.03,81.09,79.02,77.41,62,88,90,98.65,9.67,9.95,10.19,9.63,3.69,3.67,3.69,3.44,2.63,2.72,2.76,2.81,70.82,70.01,68.15,62.96,27.95,40.2,34.8,NA,2.28,2.19,2.11,2.16,30.67,28.88,30.73,30.66,66.43,47.81,40.46,27.72
CC30,80.49,NA,76.8,78.55,1,NA,7,8.5,9.96,NA,10.19,9.88,4.27,NA,4.39,3.89,2.34,NA,2.32,2.55,71.36,NA,64.82,67.22,0.15,NA,2.7,1.8,2.16,NA,2,2.06,29.64,NA,28.03,29.68,65.65,NA,20.51,14.83
CC31,80.27,81.59,77.75,79.4,57,29.5,85,78.5,9.27,9.48,9.69,9.28,3.37,3.47,3.5,3.18,2.76,2.73,2.77,2.93,71.81,70.43,66.91,65.28,15,10,26.3,43.05,2.22,2.07,2.08,2.08,31.2,27.76,30.75,31.07,29.14,48.17,27.84,35.73
CC32,81.5,79.53,79.08,78.13,50.5,18.5,17,67.5,9.72,9.51,10,9.71,4.15,4.18,4.23,4.04,2.35,2.28,2.36,2.41,74.52,70.6,68.21,66.32,13.8,4.1,3.2,24.4,2.07,1.99,2.01,2,26.93,24.91,26.43,26.69,68.29,64.95,42.66,33.88
CC33,80.57,79.82,78.7,77.3,44.5,22.5,0,35.5,6.75,7.03,6.62,6.91,2.6,2.5,2.42,2.5,2.6,2.82,2.74,2.77,74.24,71.27,70.2,68.05,11.95,5.2,0,7.9,2.09,1.96,1.95,1.96,20.22,18.28,19.15,19.98,8.75,54.86,59.38,32.44
CC34,78.79,78.09,79.12,79.56,13,4,4,14,9.3,9.33,9.49,9.32,4.38,5.02,4.61,4.39,2.13,1.87,2.06,2.13,67.83,65.54,64.24,63.03,4,0.85,1.4,3.9,1.82,1.67,1.82,1.8,20.35,20.34,19.83,19.83,63.69,57.45,37.94,38.07
