"Geno","T264"
"G001",118.317
"G002",264
"G003",194.917
"G004",264
"G005",145.417
"G006",177.233
"G007",264
"G008",76.667
"G009",90.75
"G010",76.167
"G011",104.083
"G012",194.5
"G013",75.917
"G014",75.833
"G015",90.25
"G016",103.667
"G017",128.4
"G018",122.25
"G019",264
"G020",72.6
"G021",264
"G022",264
"G023",264
"G024",81.717
"G025",264
"G026",264
"G027",116.483
"G028",87.467
"G029",264
"G030",NA
"G031",74.417
"G032",264
"G033",264
"G034",174.567
"G035",88.583
"G036",264
"G037",95
"G038",264
"G039",86.05
"G040",71.517
"G041",112.767
"G042",264
"G043",264
"G044",117.817
"G045",185.3
"G046",85.367
"G047",264
"G048",70.883
"G049",98.45
"G050",85.1
"G051",216.367
"G052",94.65
"G053",111.817
"G054",90.9
"G055",264
"G056",170.517
"G057",111.717
"G058",264
"G059",75.383
"G060",84.35
"G061",97.667
"G062",97.783
"G063",264
"G064",90.433
"G065",264
"G066",90.05
"G067",90.083
"G068",90.117
"G069",264
"G070",71.967
"G071",264
"G072",NA
"G073",264
"G074",264
"G075",74.267
"G076",NA
"G077",NA
"G078",264
"G079",264
"G080",264
"G081",109.867
"G082",264
"G083",264
"G084",96.017
"G085",136.417
"G086",168.25
"G087",120.7
"G088",114.55
"G089",94.033
"G090",67.683
"G091",93.833
"G092",93.867
"G093",139.867
"G094",117.933
"G095",77.8
"G096",117.833
"G097",264
"G098",77.733
"G099",93.183
"G100",77.633
"G101",77.55
"G102",264
"G103",117.433
"G104",93.067
"G105",99.867
"G106",82.333
"G107",163.75
"G108",82.017
"G109",264
"G110",264
"G111",91.283
"G112",140.767
"G113",81.733
"G114",75.667
"G115",76.483
"G116",116.467
"G117",116.517
"G118",139.55
"G119",264
"G120",116.2
