"T264","ind","sex","pgm"
118.317,1,"f",0
264,2,"f",0
194.917,3,"f",0
264,4,"f",0
145.417,5,"f",0
177.233,6,"f",0
264,7,"f",0
76.667,8,"f",0
90.75,9,"f",0
76.167,10,"f",0
104.083,11,"f",0
194.5,12,"f",0
75.917,13,"f",0
75.833,14,"f",0
90.25,15,"f",0
103.667,16,"f",0
128.4,17,"f",0
122.25,18,"f",0
264,19,"f",0
72.6,20,"f",0
264,21,"f",0
264,22,"f",0
264,23,"f",0
81.717,24,"f",0
264,25,"f",0
264,26,"f",0
116.483,27,"f",0
87.467,28,"f",0
264,29,"f",0
NA,30,"f",0
74.417,31,"f",0
264,32,"f",0
264,33,"f",0
174.567,34,"f",0
88.583,35,"f",0
264,36,"f",0
95,37,"f",0
264,38,"f",0
86.05,39,"f",0
71.517,40,"f",0
112.767,41,"f",0
264,42,"f",0
264,43,"f",0
117.817,44,"f",0
185.3,45,"f",0
85.367,46,"f",0
264,47,"f",0
70.883,48,"f",0
98.45,49,"f",0
85.1,50,"f",0
216.367,51,"f",0
94.65,52,"f",0
111.817,53,"f",0
90.9,54,"f",0
264,55,"f",0
170.517,56,"f",0
111.717,57,"f",0
264,58,"f",0
75.383,59,"f",0
84.35,60,"f",0
97.667,61,"f",0
97.783,62,"f",0
264,63,"f",0
90.433,64,"f",0
264,65,"f",0
90.05,66,"f",0
90.083,67,"f",0
90.117,68,"f",0
264,69,"f",0
71.967,70,"f",0
264,71,"f",0
NA,72,"f",0
264,73,"f",0
264,74,"f",0
74.267,75,"f",0
NA,76,"f",0
NA,77,"f",0
264,78,"f",0
264,79,"f",0
264,80,"f",0
109.867,81,"f",0
264,82,"f",0
264,83,"f",0
96.017,84,"f",0
136.417,85,"f",0
168.25,86,"f",0
120.7,87,"f",0
114.55,88,"f",0
94.033,89,"f",0
67.683,90,"f",0
93.833,91,"f",0
93.867,92,"f",0
139.867,93,"f",0
117.933,94,"f",0
77.8,95,"f",0
117.833,96,"f",0
264,97,"f",0
77.733,98,"f",0
93.183,99,"f",0
77.633,100,"f",0
77.55,101,"f",0
264,102,"f",0
117.433,103,"f",0
93.067,104,"f",0
99.867,105,"f",0
82.333,106,"f",0
163.75,107,"f",0
82.017,108,"f",0
264,109,"f",0
264,110,"f",0
91.283,111,"f",0
140.767,112,"f",0
81.733,113,"f",0
75.667,114,"f",0
76.483,115,"f",0
116.467,116,"f",0
116.517,117,"f",0
139.55,118,"f",0
264,119,"f",0
116.2,120,"f",0
