"T264","sex","pgm"
118.317,"f",0
264,"f",0
194.917,"f",0
264,"f",0
145.417,"f",0
177.233,"f",0
264,"f",0
76.667,"f",0
90.75,"f",0
76.167,"f",0
104.083,"f",0
194.5,"f",0
75.917,"f",0
75.833,"f",0
90.25,"f",0
103.667,"f",0
128.4,"f",0
122.25,"f",0
264,"f",0
72.6,"f",0
264,"f",0
264,"f",0
264,"f",0
81.717,"f",0
264,"f",0
264,"f",0
116.483,"f",0
87.467,"f",0
264,"f",0
NA,"f",0
74.417,"f",0
264,"f",0
264,"f",0
174.567,"f",0
88.583,"f",0
264,"f",0
95,"f",0
264,"f",0
86.05,"f",0
71.517,"f",0
112.767,"f",0
264,"f",0
264,"f",0
117.817,"f",0
185.3,"f",0
85.367,"f",0
264,"f",0
70.883,"f",0
98.45,"f",0
85.1,"f",0
216.367,"f",0
94.65,"f",0
111.817,"f",0
90.9,"f",0
264,"f",0
170.517,"f",0
111.717,"f",0
264,"f",0
75.383,"f",0
84.35,"f",0
97.667,"f",0
97.783,"f",0
264,"f",0
90.433,"f",0
264,"f",0
90.05,"f",0
90.083,"f",0
90.117,"f",0
264,"f",0
71.967,"f",0
264,"f",0
NA,"f",0
264,"f",0
264,"f",0
74.267,"f",0
NA,"f",0
NA,"f",0
264,"f",0
264,"f",0
264,"f",0
109.867,"f",0
264,"f",0
264,"f",0
96.017,"f",0
136.417,"f",0
168.25,"f",0
120.7,"f",0
114.55,"f",0
94.033,"f",0
67.683,"f",0
93.833,"f",0
93.867,"f",0
139.867,"f",0
117.933,"f",0
77.8,"f",0
117.833,"f",0
264,"f",0
77.733,"f",0
93.183,"f",0
77.633,"f",0
77.55,"f",0
264,"f",0
117.433,"f",0
93.067,"f",0
99.867,"f",0
82.333,"f",0
163.75,"f",0
82.017,"f",0
264,"f",0
264,"f",0
91.283,"f",0
140.767,"f",0
81.733,"f",0
75.667,"f",0
76.483,"f",0
116.467,"f",0
116.517,"f",0
139.55,"f",0
264,"f",0
116.2,"f",0
