METNo,Module,FLW,MAT,AHT,ATIL,PACP,NOPH,MC,Plot Yield,P&D,AYLD,Tons/ha,Set
MT4566,1,92,122,100.6,15.2,5,184,13.1,5850,,5911.22,8.03,6
MT4094,1,83,113,86.2,15,5,184,13.1,4795,,4845.18,6.58,6
MT4049,1,79,109,101.2,17.2,5,184,12.5,5105,,5194.04,7.06,6
MT4567,1,81,111,100,14.6,5,184,12.5,4615,,4695.49,6.38,6
MT4268,1,84,114,113,20,5,184,12.9,5285,,5352.6,7.27,6
MT4138,1,81,111,114,17.8,7,184,13,5050,,5108.72,6.94,6
MT4154,1,82,112,112.6,16.8,5,184,12.8,5915,,5997.53,8.15,6
MT4150,1,85,115,113.8,17.4,5,184,12.5,5815,,5916.42,8.04,6
MT4756,1,83,113,111.6,13.8,7,184,13,4975,,5032.85,6.84,6
MT4284,1,78,108,102.8,14.2,5,184,13.5,5495,,5526.95,7.51,6
MT4088,1,83,113,103,18.2,5,184,13.1,6330,,6396.24,8.69,6
MT4706,1,82,112,97.8,15,5,184,13.1,6205,,6269.94,8.52,6
MT4809,1,81,111,111.4,15.8,5,184,13,6165,,6236.69,8.47,6
MT4285,1,92,122,100.2,21.8,7,184,13,5615,,5680.29,7.72,6
MT4901,1,78,108,106.8,20.2,5,184,12.8,5510,,5586.88,7.59,6
MT4105,1,81,111,114.4,15.2,5,184,12.5,6305,,6414.97,8.72,6
MT4902,1,79,109,114.2,15.4,5,184,13,4715,,4769.83,6.48,6
MT4148,1,80,110,110,16,5,184,13.1,6025,,6088.05,8.27,6
MT4556,1,82,112,105.6,20.8,7,184,12.5,5010,,5097.38,6.93,6
MT4648,1,83,113,117,19.4,3,184,13,5785,,5852.27,7.95,6
MT4180,1,81,111,115,17,5,184,13.1,5595,,5653.55,7.68,6
MT4050,1,82,112,114.6,17.4,5,184,13.1,6220,,6285.09,8.54,6
MT4737,1,87,117,111,14.8,5,184,12.8,6725,,6818.84,9.26,6
MT4604,1,82,112,113.6,13,5,184,13.1,6675,,6744.85,9.16,6
MT4008,1,85,115,110.6,13.8,5,184,13,6100,,6170.93,8.38,6
MT4299,1,86,116,110.4,18.6,5,184,13,6210,,6282.21,8.54,6
MT4237,1,85,115,111.4,18.6,5,184,12.9,6740,,6826.21,9.27,6
MT4543,1,85,115,106.4,15,5,184,12,6515,,6666.51,9.06,6
