"","time","plant","severity"
"1",0,1,0.145833333333333
"2",1,1,0.177083333333333
"3",2,1,0.204861111111111
"4",3,1,0.222222222222222
"5",4,1,0.263888888888889
"6",5,1,0.322916666666667
"7",6,1,0.368055555555556
"8",7,1,0.434027777777778
"9",8,1,0.517361111111111
"10",9,1,0.59375
"11",10,1,0.690972222222222
"12",0,2,0.138888888888889
"13",1,2,0.170138888888889
"14",2,2,0.201388888888889
"15",3,2,0.25
"16",4,2,0.291666666666667
"17",5,2,0.357638888888889
"18",6,2,0.423611111111111
"19",7,2,0.479166666666667
"20",8,2,0.5625
"21",9,2,0.649305555555556
"22",10,2,0.725694444444444
"23",0,3,0.142361111111111
"24",1,3,0.170138888888889
"25",2,3,0.197916666666667
"26",3,3,0.246527777777778
"27",4,3,0.309027777777778
"28",5,3,0.388888888888889
"29",6,3,0.506944444444444
"30",7,3,0.604166666666667
"31",8,3,0.756944444444444
"32",9,3,0.868055555555556
"33",10,3,1
