"","ph1","ph1_gv"
"B001",110.948172,109.998019903854
"B002",80.3792021,109.599324081877
"B003",101.0641502,109.706344418779
"B004",127.3979867,109.674217627151
"B005",104.8135825,109.531866688491
"B006",106.8770293,109.84248818699
"B007",72.20702993,110.245322998808
"B008",124.9793856,110.080981175942
"B009",133.4612131,109.858648639175
"B010",NA,109.729352176862
"B011",104.4336708,109.724245372185
"B012",110.5706098,109.690038963002
"B013",NA,109.486048951152
"B014",NA,109.41590491936
"B015",NA,109.131255284439
"B016",117.0723039,109.205382933042
"B017",91.12970304,109.178913908273
"B018",83.45537341,109.443406571982
"B019",112.6936642,109.573801146606
"B020",NA,109.450041325053
"B021",118.4357727,109.376445433479
"B022",106.4763667,108.915720473036
"B023",105.9309565,109.815058851248
"B024",119.0405939,109.815058851248
"B025",112.6598931,109.650274593574
"B026",118.5979561,109.340876475417
"B027",114.6364834,108.999749910778
"B028",128.0005141,108.999749910778
"B029",108.3335934,108.987936571899
"B030",119.1102035,109.234560252068
"B031",NA,109.186988480761
"B032",110.9910218,109.424902507984
"B033",105.06823,109.582329857714
"B034",118.8072487,109.545889385505
"B035",95.92176422,109.568690409976
"B036",NA,109.233102120516
"B037",136.5264466,108.927248417918
"B038",134.244459,108.930900923527
"B039",124.7810757,109.552456438853
"B040",88.24224701,109.832235725282
"B041",96.49533542,109.605943624259
"B042",119.3617537,109.765666081335
"B043",92.52532581,109.662357083467
"B044",NA,109.108839480122
"B045",134.5322398,109.199650240129
"B046",126.7664422,109.476528958159
"B047",NA,109.721943520424
"B048",102.1675476,109.852007040685
"B049",105.8441408,110.021409195966
"B050",102.3900021,109.641469401085
"B051",122.3579795,109.593654179148
"B052",117.7650806,109.837488883734
"B053",96.15930137,109.740199774584
"B054",110.6945618,109.710266928923
"B055",103.3885394,109.547806242738
"B056",99.33192995,109.85502671301
"B057",92.07110022,109.631847362457
"B058",118.0688496,109.61528225824
"B059",106.2592094,109.61528225824
"B060",NA,109.430329933606
"B061",91.97572342,109.629194257298
"B062",142.5993877,109.125807452387
"B063",95.0263973,109.027530989453
"B064",125.8648558,109.114593195429
"B065",113.3432524,108.993204308789
"B066",124.4016962,109.006220514748
"B067",121.6360597,108.92250379421
"B068",96.85959273,110.331120306494
"B069",NA,109.595298349131
"B070",91.25448823,109.766077268964
"B071",132.4869367,109.469248051467
"B072",116.8159747,109.756823814685
"B073",79.70936754,109.654851174016
"B074",115.6076147,109.079067089503
"B075",NA,108.889832779404
"B076",109.2184405,109.531640732733
"B077",127.4247954,109.758656515808
"B078",113.6855739,109.765666081335
"B079",105.2417459,109.330968607628
"B080",NA,109.150654900561
"B081",126.4850505,109.368486397523
"B082",123.7404364,109.385698274486
"B083",125.7680725,109.580975308168
"B084",93.13707928,109.483821173839
"B085",127.7642246,109.686557438059
"B086",108.8795378,109.839071430427
"B087",NA,109.817474311399
"B088",121.2552039,109.890829138391
"B089",100.741407,110.143227731577
"B090",129.0484647,109.954638379876
"B091",NA,109.921732465899
"B092",95.7999439,109.863165768146
"B093",99.64435611,109.94215747541
"B094",114.7477569,109.94215747541
"B095",85.22140972,109.736518456943
"B096",132.3920106,109.693549429867
"B097",93.03688981,110.076047311749
"B098",NA,109.844328815849
"B099",99.86658384,110.00535252772
"B100",113.2955512,110.00535252772
"B101",113.4294418,109.841689309259
"B102",83.78171996,110.013540753312
"B103",99.67910171,109.487232733808
"B104",97.36036614,109.487232733808
"B105",78.17311285,110.331120306494
"B106",97.52605699,109.94215747541
"B107",NA,109.183681196526
"B108",130.4800795,109.532995538301
"B109",122.6059872,109.578046749223
"B110",108.1809095,109.138699357191
"B111",111.2170884,109.138699357191
"B112",105.8419252,109.230760827326
"B113",113.8685487,109.198501072254
"B114",129.4065755,109.278031819227
"B115",104.2757408,109.213465727199
"B116",121.816628,108.95422842041
"B117",137.7661032,109.158050476229
"B118",90.60111786,109.846699072478
"B119",NA,109.92203663603
"B120",89.16546837,110.137801230466
"B121",138.7354524,109.821070680212
"B122",NA,109.812434937953
"B123",128.6449348,109.434556643592
"B124",110.9646078,109.898062258645
"B125",NA,109.809145200623
"B126",118.3339256,109.677596252295
"B127",100.9085869,109.583008291593
"B128",92.52048745,109.923197346779
"B129",112.6772263,109.725954238695
"B130",119.9899631,109.856883492187
"B131",90.54733461,109.858388799872
"B132",96.76987078,109.819634753956
"B133",NA,109.73351574804
"B134",123.8664209,109.919907884664
"B135",108.8037407,110.020422071693
"B136",76.2521964,110.03785952306
"B137",NA,109.742329992492
"B138",122.3805227,109.848486323863
"B139",123.063805,109.630899671717
"B140",96.51754423,109.7729870365
"B141",103.8001183,109.480940290485
"B142",121.6205916,109.693865268435
"B143",120.813603,109.443678625194
"B144",NA,94.4602882927302
"B145",120.07216,109.351526282767
"B146",133.4372309,109.216350359485
"B147",119.7444876,109.560487512529
"B148",71.51030413,109.646881083666
"B149",108.2962726,109.615000127274
"B150",120.6989406,109.348180092032
"B151",101.0185697,109.633666002697
"B152",78.9104583,109.435484894324
"B153",117.8537283,109.580592026113
"B154",100.3106807,108.954940242548
"B155",96.53494543,109.765666081335
"B156",105.7855638,109.214476429467
"B157",117.4131808,109.594278324964
"B158",85.88679483,109.888443464227
