"","ph1","ph1_gv"
"B001",110.948172,110.026687162271
"B002",80.3792021,109.593167561001
"B003",101.0641502,109.738419954502
"B004",127.3979867,109.522193990524
"B005",104.8135825,109.569583992623
"B006",106.8770293,109.902042578346
"B007",72.20702993,110.318816869941
"B008",124.9793856,110.174349182845
"B009",133.4612131,109.939236273713
"B010",NA,109.713202904389
"B011",104.4336708,109.747273492838
"B012",110.5706098,109.732109200384
"B013",NA,109.471571252152
"B014",NA,109.469042760963
"B015",NA,109.077381005904
"B016",117.0723039,109.137296344057
"B017",91.12970304,109.101511487303
"B018",83.45537341,109.462731273581
"B019",112.6936642,109.584606827584
"B020",NA,109.44970263336
"B021",118.4357727,109.391673986826
"B022",106.4763667,108.849961465262
"B023",105.9309565,109.772912164061
"B024",119.0405939,109.772912164061
"B025",112.6598931,109.696843952855
"B026",118.5979561,109.293243948717
"B027",114.6364834,108.934026270908
"B028",128.0005141,108.934026270908
"B029",108.3335934,108.966712944076
"B030",119.1102035,109.226717750063
"B031",NA,109.1673344905
"B032",110.9910218,109.445514524727
"B033",105.06823,109.535288813577
"B034",118.8072487,109.527513013511
"B035",95.92176422,109.546787298352
"B036",NA,109.207980097584
"B037",136.5264466,108.879128529588
"B038",134.244459,108.85315052612
"B039",124.7810757,109.564555521401
"B040",88.24224701,109.839985804601
"B041",96.49533542,109.592697410369
"B042",119.3617537,109.842163571179
"B043",92.52532581,109.673830238691
"B044",NA,109.40708912
"B045",134.5322398,109.215997171269
"B046",126.7664422,109.493565427586
"B047",NA,109.723961872835
"B048",102.1675476,109.84345141796
"B049",105.8441408,110.019090628585
"B050",102.3900021,109.6065778692
"B051",122.3579795,109.519938220038
"B052",117.7650806,109.878693231756
"B053",96.15930137,109.765696656118
"B054",110.6945618,109.743843314219
"B055",103.3885394,109.562752131422
"B056",99.33192995,109.92625185591
"B057",92.07110022,109.60226264891
"B058",118.0688496,109.594879293026
"B059",106.2592094,109.594879293026
"B060",NA,109.389314094499
"B061",91.97572342,109.591511597763
"B062",142.5993877,109.076315977074
"B063",95.0263973,109.006310829771
"B064",125.8648558,109.125153525953
