,ph1,ph2,ph3
B001,110.948172,168.6403095,213.8235309
B002,80.3792021,172.1625519,209.7104523
B003,101.0641502,161.9503511,275.148614
B004,127.3979867,162.065834,NA
B005,104.8135825,173.8394943,243.6142271
B006,106.8770293,166.3420789,225.7410926
B007,72.20702993,NA,210.8904501
B008,124.9793856,176.7588054,NA
B009,133.4612131,NA,154.7266809
B010,NA,168.7800248,259.1409992
B011,104.4336708,158.7667429,205.2307181
B012,110.5706098,167.7982415,195.4870743
B013,NA,NA,189.9359338
B014,NA,167.4712586,222.2003197
B015,NA,151.9261382,NA
B016,117.0723039,161.2037043,198.9906072
B017,91.12970304,175.5929276,NA
B018,83.45537341,165.8013948,192.4485218
B019,112.6936642,187.5846448,285.1732621
B020,NA,173.5189017,174.4556504
B021,118.4357727,152.6253202,210.3814179
B022,106.4763667,156.9921426,258.4632766
B023,105.9309565,170.4486984,163.2002059
B024,119.0405939,154.4395274,209.6776115
B025,112.6598931,NA,168.5452644
B026,118.5979561,180.61512,257.0893326
B027,114.6364834,174.5360889,NA
B028,128.0005141,157.512046,229.481366
B029,108.3335934,160.0748031,NA
B030,119.1102035,166.1518243,137.3122232
B031,NA,154.7828307,273.2974518
B032,110.9910218,165.5512593,NA
B033,105.06823,157.878702,252.1635067
B034,118.8072487,NA,155.5435304
B035,95.92176422,142.5297084,206.8843162
B036,NA,160.2186057,241.4286481
B037,136.5264466,171.8190205,216.1676004
B038,134.244459,151.2526488,226.6863685
B039,124.7810757,NA,NA
B040,88.24224701,153.7708527,274.2049955
B041,96.49533542,168.2927878,213.7406213
B042,119.3617537,159.5196155,241.6633545
B043,92.52532581,158.8559519,202.5893099
B044,NA,NA,194.5610899
B045,134.5322398,170.0909408,206.5604961
B046,126.7664422,NA,163.7096656
B047,NA,149.113496,267.9414258
B048,102.1675476,148.3189799,174.8651537
B049,105.8441408,164.0368655,113.0910105
B050,102.3900021,154.4767155,NA
B051,122.3579795,154.1051443,343.2482033
B052,117.7650806,176.6588373,256.8428702
B053,96.15930137,170.4639003,296.7757926
B054,110.6945618,165.1328909,258.5449031
B055,103.3885394,169.4064808,NA
B056,99.33192995,175.0849018,172.7666606
B057,92.07110022,158.9331361,233.5479546
B058,118.0688496,153.8481817,283.8098083
B059,106.2592094,172.8329848,277.4618743
B060,NA,178.7226859,247.7718142
B061,91.97572342,165.979098,227.0135577
B062,142.5993877,164.8250077,202.3277713
B063,95.0263973,163.0911089,202.867611
B064,125.8648558,172.8883915,228.2492713
B065,113.3432524,177.7206892,NA
B066,124.4016962,166.3697094,259.3432591
B067,121.6360597,153.1780796,186.5168944
B068,96.85959273,NA,181.4766597
B069,NA,NA,223.2624563
B070,91.25448823,154.9667821,NA
B071,132.4869367,150.141578,235.4329073
B072,116.8159747,149.1406241,NA
B073,79.70936754,160.4387343,215.0659916
B074,115.6076147,162.096425,241.8557906
B075,NA,149.7142017,182.1285484
B076,109.2184405,156.5820092,240.5250786
B077,127.4247954,183.1881935,244.156702
B078,113.6855739,NA,NA
B079,105.2417459,161.0295886,202.1336704
B080,NA,161.3922832,NA
B081,126.4850505,182.3170285,211.7776981
B082,123.7404364,166.981869,173.9116278
B083,125.7680725,NA,278.9056406
B084,93.13707928,163.7447142,257.4868988
B085,127.7642246,166.8818986,NA
B086,108.8795378,155.8171713,233.195787
B087,NA,165.5657333,259.3754423
B088,121.2552039,NA,NA
B089,100.741407,168.4325699,245.4678275
B090,129.0484647,164.6032685,220.8937131
B091,NA,179.1073506,NA
