Nrate,Variety,Rep,PlotNo,TilNum,PlHt
0,Apo,1,5,393,80.5
0,Magat,1,6,375,74.4
0,PSB,1,7,380,74.5
0,UPL,1,8,396,91.4
100,Apo,1,11,388.6,120
100,Magat,1,9,438,97.2
100,PSB,1,12,462,109
100,UPL,1,10,402,119.9
150,Apo,1,1,424,128
150,Magat,1,4,416,94.9
150,PSB,1,3,452,106.7
150,UPL,1,2,418,123.2
0,Apo,2,14,395,86.9
0,Magat,2,16,394.4,79.7
0,PSB,2,13,386,82.5
0,UPL,2,15,408,74
100,Apo,2,22,417.4,122.9
100,Magat,2,24,386,96.9
100,PSB,2,21,436,102.4
100,UPL,2,23,426,124.7
150,Apo,2,17,411.3,124.9
150,Magat,2,18,400,101
150,PSB,2,20,460,101.5
150,UPL,2,19,408,129
0,Apo,3,35,402,101.2
0,Magat,3,36,398,84.9
0,PSB,3,33,410,96.5
0,UPL,3,34,442,100.4
100,Apo,3,27,345,122.2
100,Magat,3,26,384,99.5
100,PSB,3,28,418,94.2
100,UPL,3,25,384,123.2
150,Apo,3,32,400,129
150,Magat,3,29,428,98.9
150,PSB,3,31,392,99.7
150,UPL,3,30,394,128.9
0,Apo,4,43,412,103.5
0,Magat,4,42,390,81.7
0,PSB,4,44,410,97
0,UPL,4,41,398,103.9
100,Apo,4,46,352,131.9
100,Magat,4,48,408,99.7
100,PSB,4,47,356,113.9
100,UPL,4,45,412,123.9
150,Apo,4,38,409.3,134.9
150,Magat,4,40,392,101
150,PSB,4,39,420,99.5
150,UPL,4,37,412,127
