"","chr","pos"
"D10M44","1",0
"D1M3","1",0.9967536
"D1M75","1",24.8477328
"D1M215","1",40.4136086
"D1M309","1",49.9946792
"D1M218","1",52.8001988
"D1M451","1",70.1120379
"D1M504","1",70.8064155
"D1M113","1",80.6232355
"D1M355","1",81.3962313
"D1M291","1",84.9347424
"D1M209","1",92.6839377
"D1M155","1",93.6434357
"D2M365","2",0
"D2M37","2",27.9417064
"D2M396","2",47.1054126
"D2M493","2",67.2618486
"D2M226","2",77.3980532
"D2M148","2",90.8562973
"D3M265","3",0
"D3M51","3",32.4783882
"D3M106","3",43.9380309
"D3M257","3",57.5933777
"D3M147","3",63.1853998
"D3M19","3",70.838999
"D4M2","4",0
"D4M178","4",19.1607206
"D4M187","4",35.3208563
"D4M251","4",68.1031576
"D5M148","5",0
"D5M232","5",6.1039605
"D5M257","5",19.2233538
"D5M83","5",19.5488256
"D5M307","5",23.7171414
"D5M357","5",25.5000923
"D5M205","5",30.8966519
"D5M398","5",30.8976519
"D5M91","5",32.9052187
"D5M338","5",38.0680741
"D5M188","5",44.0237628
"D5M29","5",50.984707
"D5M168","5",61.8761343
"D6M223","6",0
"D6M188","6",8.1875357
"D6M284","6",13.8721814
"D6M39","6",21.0941021
"D6M254","6",31.7950551
"D6M194","6",35.1457923
"D6M290","6",37.5298993
"D6M25","6",41.2473599
"D6M339","6",41.6507277
"D6M59_","6",45.3047762
"D6M201","6",49.0098816
"D6M15","6",49.370893
"D6M294","6",50.7624383
"D7M246","7",0
"D7M145","7",18.7885087
"D7M62","7",34.9106206
"D7M126","7",41.0304769
"D7M105","7",60.1140878
"D7M259","7",72.0842422
"D8M94","8",0
"D8M339","8",1.3398699
"D8M178","8",11.4209116
"D8M242","8",27.1406584
"D8M213","8",32.9862459
"D8M156","8",50.863638
"D9M247","9",0
"D9M328","9",4.2182318
"D9M106","9",14.715649
"D9M269","9",27.3241659
"D9M346","9",32.9564395
"D9M55","9",45.3356687
"D9M18","9",52.5040374
"D10M298","10",0
"D10M294","10",24.7474504
"D10M42_","10",40.7098271
"D10M10","10",48.7300443
"D10M233","10",61.056213
"D11M78","11",0
"D11M20","11",15.1539431
"D11M242","11",26.4214863
"D11M356","11",38.5214527
"D11M327","11",42.1613924
"D11M333","11",64.3448089
"D12M105","12",0
"D12M46","12",6.1792124
"D12M34","12",21.5805108
"D12M5","12",29.0840434
"D12M99","12",41.7956887
"D12M150","12",54.4558222
"D13M59","13",0
"D13M88","13",0.286751
"D13M21","13",10.3658829
"D13M39","13",13.0498272
"D13M167","13",13.0508272
"D13M99","13",18.9088377
"D13M233","13",21.0125846
"D13M106","13",24.8753087
"D13M147","13",26.1595406
"D13M226","13",28.3927023
"D13M290","13",28.3937023
"D13M151","13",35.9870721
"D14M14","14",0
"D14M115","14",23.9074712
"D14M265","14",32.7867881
"D14M266","14",45.5502176
"D15M226","15",0
"D15M100","15",13.4619485
"D15M209","15",18.7908094
"D15M144","15",19.3647262
"D15M68","15",23.9137277
"D15M239","15",25.1265016
"D15M241","15",31.2760651
"D15M34","15",42.9720699
"D16M154","16",0
"D16M4","16",16.7668399
"D16M139","16",26.2313473
"D16M86","16",41.7990103
"D17M260","17",0
"D17M66","17",11.7282258
"D17M88","17",17.3352742
"D17M129","17",38.848065
"D18M94","18",0
"D18M58","18",0.6855995
"D18M106","18",16.983863
"D18M186","18",20.8998972
"D19M68","19",0
"D19M117","19",16.3639828
"D19M65","19",32.829349
"D19M10","19",44.4943174
"DXM186","X",0
"DXM64","X",42.345932
