,chr,pos
M1,1,1.02
M2,1,4.13
M3,1,4.73
M4,1,10.37
M5,1,11.7
M6,1,13.97
M7,1,14.9
M8,1,16.93
M9,1,20.27
M10,1,24.03
M11,1,24.97
M12,1,25.82
M13,1,26.35
M14,1,29.31
M15,1,32.68
M16,1,35.34
M17,1,35.91
M18,1,38.36
M19,1,38.46
M20,1,40.1
M21,1,40.29
M22,1,49.87
M23,1,50.32
M24,1,50.82
M25,1,51.4
M26,1,54.39
M27,1,57.27
M28,1,62.51
M29,1,65.84
M30,1,66.91
M31,1,67.93
M32,1,68.09
M33,1,70.38
M34,1,71.95
M35,1,73.28
M36,1,73.78
M37,1,76.73
M38,1,87.81
M39,1,91.55
M40,1,92.2
M41,1,94.07
M42,1,94.54
M43,1,95.22
M44,1,95.74
M45,1,96.85
M46,1,97.73
M47,1,99.74
M48,1,110.04
M49,1,110.94
M50,1,112.45
M51,1,114.13
M52,1,114.72
M53,1,118.35
M54,1,118.61
M55,1,127.61
M56,1,129.24
M57,1,129.8
M58,1,130.84
M59,1,131.04
M60,1,132.49
M61,1,133.05
M62,1,139.6
M63,1,140.37
M64,1,144.07
M65,1,147.27
M66,1,149.65
M67,1,152.08
M68,1,153.36
M69,1,153.99
M70,1,154.39
M71,1,155.17
M72,1,155.3
M73,1,155.49
M74,1,155.93
M75,1,157.5
M76,1,158.54
M77,2,3.75
M78,2,6.14
M79,2,6.34
M80,2,10.54
M81,2,10.69
M82,2,14.4
M83,2,16.54
M84,2,17.36
M85,2,18.64
M86,2,19.76
M87,2,21.52
M88,2,25.68
M89,2,26.4
M90,2,26.8
M91,2,27.78
M92,2,28.05
M93,2,29.64
M94,2,30.59
M95,2,30.97
M96,2,31
M97,2,31.88
M98,2,32.08
M99,2,32.26
M100,2,33.73
M101,2,33.95
M102,2,34.18
M103,2,34.28
M104,2,35.38
M105,2,35.61
M106,2,38.09
M107,2,39.14
M108,2,42.96
M109,2,44.45
M110,2,47.12
M111,2,49.2
