"","chr","pos"
"D10M44","1",0
"D1M3","1",0.99675
"D1M75","1",24.84773
"D1M215","1",40.41361
"D1M309","1",49.99468
"D1M218","1",52.8002
"D1M451","1",70.11204
"D1M504","1",70.80642
"D1M113","1",80.62324
"D1M355","1",81.39623
"D1M291","1",84.93474
"D1M209","1",92.68394
"D1M155","1",93.64344
"D2M365","2",0
"D2M37","2",27.94171
"D2M396","2",47.10541
"D2M493","2",67.26185
"D2M226","2",77.39805
"D2M148","2",90.8563
"D3M265","3",0
"D3M51","3",32.47839
"D3M106","3",43.93803
"D3M257","3",57.59338
"D3M147","3",63.1854
"D3M19","3",70.839
"D4M2","4",0
"D4M178","4",19.16072
"D4M187","4",35.32086
"D4M251","4",68.10316
"D5M148","5",0
"D5M232","5",6.10396
"D5M257","5",19.22335
"D5M83","5",19.54883
"D5M307","5",23.71714
"D5M357","5",25.50009
"D5M205","5",30.89665
"D5M398","5",30.89765
"D5M91","5",32.90522
"D5M338","5",38.06807
"D5M188","5",44.02376
"D5M29","5",50.98471
"D5M168","5",61.87613
"D6M223","6",10
"D6M188","6",18.18754
"D6M284","6",23.87218
"D6M39","6",31.0941
"D6M254","6",41.79506
"D6M194","6",45.14579
"D6M290","6",47.5299
"D6M25","6",51.24736
"D6M339","6",51.65073
"D6M59_","6",55.30478
"D6M201","6",59.00988
"D6M15","6",59.37089
"D6M294","6",60.76244
"D7M246","7",0
"D7M145","7",18.78851
"D7M62","7",34.91062
"D7M126","7",41.03048
"D7M105","7",60.11409
"D7M259","7",72.08424
"D8M94","8",0
"D8M339","8",1.33987
"D8M178","8",11.42091
"D8M242","8",27.14066
"D8M213","8",32.98625
"D8M156","8",50.86364
"D9M247","9",0
"D9M328","9",4.21823
"D9M106","9",14.71565
"D9M269","9",27.32417
"D9M346","9",32.95644
"D9M55","9",45.33567
"D9M18","9",52.50404
"D10M298","10",0
"D10M294","10",24.74745
"D10M42_","10",40.70983
"D10M10","10",48.73004
"D10M233","10",61.05621
"D11M78","11",0
"D11M20","11",15.15394
"D11M242","11",26.42149
"D11M356","11",38.52145
"D11M327","11",42.16139
"D11M333","11",64.34481
"D12M105","12",0
"D12M46","12",6.17921
"D12M34","12",21.58051
"D12M5","12",29.08404
"D12M99","12",41.79569
"D12M150","12",54.45582
"D13M59","13",0
"D13M88","13",0.28675
"D13M21","13",10.36588
"D13M39","13",13.04983
"D13M167","13",13.05083
"D13M99","13",18.90884
"D13M233","13",21.01258
"D13M106","13",24.87531
"D13M147","13",26.15954
"D13M226","13",28.3927
"D13M290","13",28.3937
"D13M151","13",35.98707
"D14M14","14",0
"D14M115","14",23.90747
"D14M265","14",32.78679
"D14M266","14",45.55022
"D15M226","15",0
"D15M100","15",13.46195
"D15M209","15",18.79081
"D15M144","15",19.36473
"D15M68","15",23.91373
"D15M239","15",25.1265
"D15M241","15",31.27607
"D15M34","15",42.97207
"D16M154","16",0
"D16M4","16",16.76684
"D16M139","16",26.23135
"D16M86","16",41.79901
"D17M260","17",0
"D17M66","17",11.72823
"D17M88","17",17.33527
"D17M129","17",38.84807
"D18M94","18",0
"D18M58","18",0.6856
"D18M106","18",16.98386
"D18M186","18",20.8999
"D19M68","19",0
"D19M117","19",16.36398
"D19M65","19",32.82935
"D19M10","19",44.49432
