QTL ANALYSIS

Method: Composite Interval Mapping

Markers above the threshold:

------------------------------------------ 
marker    Chr    Pos   LOD   m.eff     Rsq
------------------------------------------ 
D1M504      1  70.81  1.04   27.25  0.0068
D2M226      2  77.40  0.17   29.40  0.0066
D3M106      3  43.94  2.68   42.64  0.0025
D3M257      3  57.59  2.32  -33.94  0.0063
D4M251      4  68.10  1.20   13.61  0.0024
D5M357      5  25.50  8.72  -67.18  0.0060
D5M338      5  38.07  0.53   38.01  0.0100
D5M29       5  50.98  0.13  -36.46  0.0030
D5M168      5  61.88  0.29   20.87  0.0076
D6M39       6  31.09  2.65   18.21  0.0082
D6M59_      6  55.30  0.84   25.70  0.0086
D7M246      7   0.00  2.77  -19.41  0.0103
D7M126      7  41.03  3.19   51.52  0.0096
D7M105      7  60.11  2.01  -34.01  0.0170
D9M247      9   0.00  0.17  -15.86  0.0074
D9M269      9  27.32  0.55   30.69  0.0171
D9M55       9  45.34  1.00  -28.68  0.0166
D10M42_    10  40.71  2.96  -34.94  0.0225
D11M20     11  15.15  2.23  -46.05  0.0172
D11M242    11  26.42  2.13   42.77  0.0208
D12M34     12  21.58  0.50   21.41  0.0099
D13M88     13   0.29  1.11   26.17  0.0205
D13M99     13  18.91  3.91   41.43  0.0048
D13M151    13  35.99  1.13  -27.81  0.0168
D14M14     14   0.00  1.18   12.16  0.0196
D15M100    15  13.46  5.85   61.93  0.0191
D15M239    15  25.13  6.89  -68.39  0.0109
D16M4      16  16.77  0.14   16.05  0.0167
D18M94     18   0.00  1.36   17.61  0.0184
D18M186    18  20.90  1.16  -18.14  0.0192
D19M68     19   0.00  1.98  -20.53  0.0346
D19M117    19  16.36  0.84   28.48  0.1272
D19M65     19  32.83  0.57  -25.48  0.2226
------------------------------------------ 
